total_shots,num_flagged,num_discarded,num_incorrect
1000000,88886,0,0
1000000,88980,0,2
1000000,88514,0,1
1000000,88361,0,1
1000000,88455,0,1
1000000,88891,0,1
1000000,89094,0,2
1000000,88466,0,0
1000000,88817,0,0
1000000,88407,0,0
1000000,88726,0,1
1000000,88242,0,0
1000000,88904,0,0
1000000,88321,0,1
1000000,89341,0,1
1000000,88009,0,0
1000000,88632,0,0
1000000,88532,0,1
1000000,88390,0,3
1000000,88678,0,0
1000000,88741,0,1
1000000,88619,0,1
1000000,88878,0,1
1000000,89006,0,0
1000000,88714,0,1
1000000,88282,0,1
1000000,88782,0,1
1000000,88778,0,1
1000000,88527,0,0
1000000,88782,0,0
1000000,88803,0,0
1000000,88772,0,1
1000000,88795,0,1
1000000,88695,0,2
1000000,88217,0,0
1000000,88490,0,0
1000000,88439,0,2
1000000,89052,0,0
1000000,88948,0,2
1000000,88848,0,0
1000000,88774,0,0
1000000,88809,0,1
1000000,88447,0,2
1000000,88811,0,1
1000000,89460,0,0
1000000,89265,0,1
1000000,88335,0,3
1000000,88785,0,2
1000000,88665,0,1
1000000,88491,0,1
1000000,88477,0,1
1000000,88362,0,0
1000000,88553,0,3
1000000,88633,0,2
1000000,88165,0,1
1000000,88397,0,3
1000000,88743,0,1
1000000,88787,0,0
1000000,88471,0,0
1000000,88706,0,1
1000000,88403,0,0
1000000,89154,0,1
1000000,88869,0,1
1000000,88449,0,2
1000000,88312,0,1
1000000,88629,0,3
1000000,88780,0,0
1000000,88954,0,0
1000000,88685,0,1
1000000,88728,0,1
1000000,88793,0,0
1000000,88421,0,0
1000000,88587,0,1
1000000,88325,0,1
1000000,88579,0,1
1000000,88795,0,1
1000000,88162,0,2
1000000,89292,0,3
1000000,88494,0,2
1000000,88460,0,1
1000000,88132,0,1
1000000,88304,0,0
1000000,88572,0,2
1000000,89132,0,1
1000000,88016,0,0
1000000,88588,0,1
1000000,88716,0,0
1000000,88905,0,0
1000000,88525,0,3
1000000,88753,0,2
1000000,88640,0,0
1000000,89048,0,0
1000000,88290,0,0
1000000,88334,0,0
1000000,88917,0,2
1000000,88578,0,0
1000000,88627,0,0
1000000,89126,0,1
1000000,88978,0,1
1000000,88556,0,3
1000000,88589,0,0
1000000,88684,0,1
1000000,88331,0,0
1000000,88476,0,0
1000000,88852,0,1
1000000,88630,0,1
1000000,89221,0,0
1000000,88368,0,1
1000000,88399,0,0
1000000,88654,0,1
1000000,88042,0,0
1000000,89148,0,0
1000000,88502,0,0
1000000,88297,0,0
1000000,89279,0,2
1000000,89167,0,2
1000000,88632,0,1
1000000,88688,0,0
1000000,88760,0,0
1000000,88792,0,2
1000000,88604,0,0
1000000,88551,0,0
1000000,88854,0,0
1000000,88985,0,0
1000000,88543,0,1
1000000,88939,0,1
1000000,88395,0,2
1000000,88736,0,2
1000000,88508,0,0
1000000,88482,0,2
1000000,88175,0,0
1000000,88263,0,0
1000000,88411,0,0
1000000,88637,0,1
1000000,89203,0,1
1000000,89058,0,3
1000000,88418,0,0
1000000,88830,0,2
1000000,88990,0,2
1000000,88713,0,2
1000000,88749,0,0
1000000,88125,0,1
1000000,89001,0,0
1000000,88602,0,0
1000000,88969,0,1
1000000,88565,0,1
1000000,88940,0,0
1000000,88332,0,0
1000000,89380,0,0
1000000,88966,0,1
1000000,89515,0,3
1000000,88655,0,0
1000000,88685,0,1
1000000,89103,0,1
1000000,89592,0,0
1000000,88514,0,1
1000000,88588,0,1
1000000,88981,0,0
1000000,88727,0,0
1000000,88925,0,1
1000000,88737,0,1
1000000,88575,0,0
1000000,88630,0,2
1000000,88865,0,0
1000000,88852,0,0
1000000,88540,0,2
1000000,89406,0,1
1000000,88746,0,4
