total_shots,num_flagged,num_discarded,num_incorrect
1000000,89670,0,0
1000000,89258,0,1
1000000,89705,0,0
1000000,89575,0,1
1000000,89831,0,0
1000000,89587,0,0
1000000,89762,0,1
1000000,89745,0,2
1000000,89188,0,0
1000000,89564,0,1
1000000,89465,0,1
1000000,89204,0,1
1000000,89518,0,0
1000000,89564,0,2
1000000,89483,0,2
1000000,89214,0,2
1000000,89042,0,1
1000000,89586,0,1
1000000,89272,0,1
1000000,89319,0,1
1000000,89400,0,2
1000000,88912,0,0
1000000,89380,0,3
1000000,89089,0,0
1000000,89423,0,0
1000000,89659,0,0
1000000,90028,0,3
1000000,89454,0,1
1000000,89422,0,0
1000000,89180,0,2
1000000,89226,0,2
1000000,89177,0,2
1000000,89985,0,2
1000000,90129,0,0
1000000,89146,0,0
1000000,89290,0,1
1000000,90088,0,0
1000000,89510,0,3
1000000,89468,0,0
1000000,89659,0,1
1000000,89067,0,0
1000000,89519,0,0
1000000,89976,0,1
1000000,89088,0,0
1000000,89788,0,0
1000000,89698,0,0
1000000,89472,0,1
1000000,89427,0,0
1000000,89767,0,3
1000000,89723,0,0
1000000,89682,0,1
1000000,89114,0,1
1000000,89569,0,1
1000000,89528,0,3
1000000,89759,0,2
1000000,89582,0,0
1000000,89673,0,0
1000000,89064,0,1
1000000,89193,0,1
1000000,89362,0,0
1000000,90107,0,0
1000000,89126,0,1
1000000,89405,0,1
1000000,89728,0,0
1000000,89259,0,1
1000000,89317,0,0
1000000,89950,0,5
1000000,89699,0,0
1000000,89427,0,0
1000000,89122,0,0
1000000,89751,0,1
1000000,89768,0,1
1000000,89059,0,1
1000000,89298,0,0
1000000,89252,0,0
1000000,89163,0,2
1000000,89651,0,0
1000000,89807,0,3
1000000,88987,0,1
1000000,89640,0,1
1000000,89082,0,1
1000000,88983,0,3
1000000,89141,0,2
1000000,89374,0,0
1000000,89592,0,0
1000000,89083,0,0
1000000,89780,0,0
1000000,89843,0,1
1000000,89183,0,1
1000000,89720,0,2
1000000,89292,0,1
1000000,89264,0,0
1000000,88963,0,2
1000000,89922,0,0
1000000,89523,0,1
1000000,89411,0,1
1000000,89141,0,1
1000000,89958,0,1
1000000,89584,0,0
1000000,89203,0,1
1000000,89552,0,1
1000000,89853,0,1
1000000,89312,0,0
1000000,88980,0,0
1000000,89554,0,1
1000000,89873,0,0
1000000,88717,0,1
1000000,89825,0,0
1000000,89527,0,1
1000000,89344,0,1
1000000,89615,0,1
1000000,89413,0,0
1000000,89702,0,1
1000000,89531,0,1
1000000,89620,0,1
1000000,89421,0,1
1000000,89506,0,1
1000000,89392,0,2
1000000,89792,0,3
1000000,89459,0,0
1000000,89191,0,0
1000000,89486,0,0
1000000,89354,0,2
1000000,89975,0,0
1000000,89362,0,0
1000000,89773,0,1
1000000,89780,0,0
1000000,89565,0,2
1000000,89407,0,1
1000000,89574,0,1
1000000,89226,0,0
1000000,89665,0,0
1000000,89329,0,1
1000000,88998,0,0
1000000,89544,0,1
1000000,89346,0,1
1000000,89758,0,1
1000000,89404,0,3
1000000,89589,0,1
1000000,89622,0,2
1000000,89565,0,0
1000000,89452,0,1
1000000,89313,0,0
1000000,88970,0,1
1000000,89206,0,1
1000000,89517,0,1
1000000,89248,0,0
1000000,89110,0,2
1000000,89140,0,2
1000000,89751,0,0
1000000,89335,0,4
1000000,89633,0,0
1000000,89116,0,1
1000000,88971,0,1
1000000,89085,0,0
1000000,90124,0,1
1000000,89928,0,1
1000000,89328,0,0
1000000,89619,0,0
1000000,89420,0,1
1000000,89279,0,2
1000000,89817,0,0
1000000,89235,0,0
1000000,89431,0,1
1000000,89758,0,0
1000000,89746,0,2
1000000,89098,0,0
1000000,89727,0,0
1000000,89046,0,2
1000000,89559,0,1
1000000,89123,0,0
1000000,89706,0,0
1000000,89252,0,0
1000000,89485,0,0
1000000,89455,0,1
1000000,89877,0,1
1000000,89610,0,1
1000000,89702,0,0
1000000,89399,0,0
1000000,88953,0,1
1000000,89128,0,0
1000000,89525,0,2
1000000,89806,0,1
1000000,89464,0,2
1000000,89604,0,1
1000000,89963,0,1
1000000,89246,0,0
1000000,89590,0,0
1000000,89304,0,0
1000000,89432,0,1
