total_shots,num_flagged,num_discarded,num_incorrect
1000000,86992,0,2
1000000,86899,0,1
1000000,86903,0,1
1000000,86457,0,0
1000000,86670,0,0
1000000,87171,0,1
1000000,87186,0,0
1000000,87611,0,2
1000000,86528,0,0
1000000,86751,0,2
1000000,86774,0,0
1000000,86584,0,0
1000000,86738,0,1
1000000,86979,0,0
1000000,87008,0,0
1000000,87064,0,1
1000000,86928,0,0
1000000,86352,0,0
1000000,86517,0,0
1000000,86930,0,0
1000000,86961,0,0
1000000,86959,0,0
1000000,86771,0,0
1000000,87376,0,0
1000000,86485,0,1
1000000,86819,0,1
1000000,87203,0,0
1000000,87596,0,0
1000000,86596,0,1
1000000,87192,0,1
1000000,86904,0,0
1000000,87022,0,1
1000000,86641,0,0
1000000,86637,0,0
1000000,87233,0,0
1000000,86755,0,1
1000000,86810,0,1
1000000,86949,0,2
1000000,86953,0,2
1000000,86965,0,1
1000000,86494,0,0
1000000,86842,0,1
1000000,87059,0,0
1000000,86498,0,0
1000000,86642,0,1
1000000,87567,0,0
1000000,86629,0,1
1000000,87045,0,0
1000000,87205,0,0
1000000,87051,0,0
1000000,86889,0,1
1000000,86761,0,1
1000000,86770,0,1
1000000,87181,0,3
1000000,86990,0,0
1000000,86664,0,1
1000000,86945,0,1
1000000,86709,0,0
1000000,86793,0,0
1000000,86970,0,0
1000000,86703,0,0
1000000,87063,0,0
1000000,86437,0,1
1000000,86691,0,2
1000000,86804,0,0
1000000,86914,0,0
1000000,86916,0,0
1000000,86781,0,0
1000000,86718,0,0
1000000,86538,0,0
1000000,86994,0,0
1000000,86817,0,0
1000000,86767,0,0
1000000,86493,0,3
1000000,87062,0,2
1000000,86859,0,1
1000000,86375,0,0
1000000,86513,0,1
1000000,86925,0,0
1000000,86683,0,0
1000000,86702,0,0
1000000,87106,0,1
1000000,86962,0,0
1000000,86777,0,0
1000000,87269,0,0
1000000,86966,0,1
1000000,87307,0,2
1000000,87303,0,0
1000000,86868,0,0
1000000,86844,0,0
1000000,87246,0,1
1000000,86952,0,0
1000000,87203,0,1
1000000,86492,0,0
1000000,87121,0,2
1000000,86619,0,0
1000000,87222,0,1
1000000,86688,0,0
1000000,86997,0,0
1000000,86490,0,0
