total_shots,num_flagged,num_discarded,num_incorrect
1000000,89992,0,1
1000000,90136,0,0
1000000,90297,0,0
1000000,90059,0,1
1000000,89785,0,1
1000000,89808,0,1
1000000,89852,0,0
1000000,90449,0,3
1000000,90312,0,0
1000000,90176,0,1
1000000,89907,0,0
1000000,89867,0,0
1000000,89955,0,2
1000000,89880,0,0
1000000,90201,0,1
1000000,90146,0,0
1000000,90110,0,1
1000000,90131,0,0
1000000,90496,0,2
1000000,90403,0,0
1000000,90161,0,0
1000000,89924,0,2
1000000,89638,0,1
1000000,90033,0,0
1000000,90338,0,1
1000000,90170,0,1
1000000,89893,0,1
1000000,90097,0,0
1000000,90238,0,1
1000000,90231,0,0
1000000,89693,0,0
1000000,89978,0,0
1000000,89866,0,0
1000000,90452,0,1
1000000,90513,0,1
1000000,90492,0,0
1000000,89427,0,1
1000000,90646,0,0
1000000,89541,0,0
1000000,89843,0,0
1000000,90389,0,1
1000000,90225,0,1
1000000,90272,0,0
1000000,90616,0,1
1000000,89462,0,1
1000000,90272,0,1
1000000,90067,0,0
1000000,90137,0,0
1000000,90017,0,3
1000000,90063,0,0
1000000,90051,0,0
1000000,89954,0,2
1000000,90384,0,1
1000000,90035,0,0
1000000,90433,0,0
1000000,89856,0,1
1000000,90516,0,1
1000000,89770,0,1
1000000,90361,0,1
1000000,90350,0,2
1000000,90325,0,0
1000000,90108,0,1
1000000,89964,0,1
1000000,90563,0,0
1000000,90104,0,0
1000000,90142,0,0
1000000,90233,0,1
1000000,90970,0,0
1000000,90142,0,0
1000000,90225,0,0
1000000,90456,0,1
1000000,90286,0,1
1000000,89942,0,1
1000000,90166,0,3
1000000,89507,0,0
1000000,90131,0,1
1000000,90061,0,0
1000000,90281,0,0
1000000,90374,0,1
1000000,90477,0,0
1000000,90485,0,0
1000000,89930,0,1
1000000,90325,0,0
1000000,90071,0,0
1000000,89999,0,0
1000000,90098,0,3
1000000,89880,0,1
1000000,89886,0,0
1000000,90137,0,0
1000000,89943,0,0
1000000,90533,0,3
1000000,90523,0,1
1000000,90427,0,0
1000000,89780,0,1
1000000,90305,0,0
1000000,90103,0,0
1000000,90102,0,0
1000000,90791,0,0
1000000,90098,0,0
1000000,90325,0,0
1000000,89789,0,1
1000000,90457,0,0
1000000,90039,0,0
1000000,89789,0,2
1000000,90130,0,1
1000000,90181,0,0
1000000,90295,0,2
1000000,90070,0,1
1000000,90515,0,2
1000000,90045,0,2
1000000,90212,0,1
1000000,90222,0,1
1000000,90064,0,3
1000000,89951,0,1
1000000,90472,0,0
1000000,90190,0,2
1000000,90036,0,0
1000000,90489,0,1
1000000,90047,0,1
1000000,89863,0,1
1000000,90322,0,0
1000000,89898,0,0
1000000,90195,0,0
1000000,90281,0,0
1000000,90031,0,1
1000000,90565,0,1
1000000,89881,0,0
1000000,90636,0,1
1000000,89911,0,0
1000000,91042,0,2
1000000,90075,0,1
1000000,89727,0,0
1000000,90369,0,0
1000000,90182,0,0
1000000,90234,0,0
1000000,89534,0,1
1000000,90186,0,2
1000000,90380,0,2
1000000,90357,0,0
1000000,90145,0,1
1000000,89908,0,1
1000000,90221,0,2
1000000,90549,0,1
1000000,90370,0,0
1000000,90224,0,1
1000000,90043,0,0
1000000,90131,0,3
1000000,89728,0,2
1000000,90500,0,1
1000000,90124,0,1
1000000,90707,0,0
1000000,90334,0,1
1000000,90233,0,0
1000000,89956,0,0
1000000,90552,0,1
1000000,90087,0,0
1000000,90605,0,1
1000000,89816,0,1
1000000,89901,0,0
1000000,90040,0,1
1000000,90055,0,0
1000000,90369,0,1
1000000,89854,0,0
1000000,90216,0,1
1000000,90223,0,1
1000000,89941,0,1
1000000,90517,0,0
1000000,90184,0,0
1000000,90159,0,1
1000000,89945,0,0
1000000,90169,0,2
1000000,90594,0,1
1000000,89849,0,0
1000000,90153,0,1
1000000,89842,0,1
1000000,90573,0,1
1000000,90585,0,1
1000000,89955,0,2
1000000,90485,0,1
1000000,90255,0,0
1000000,90201,0,2
1000000,90141,0,0
1000000,90159,0,0
1000000,90536,0,1
1000000,90120,0,0
1000000,89961,0,1
1000000,89753,0,1
1000000,90434,0,0
1000000,89688,0,0
1000000,89929,0,1
1000000,90184,0,1
1000000,90403,0,1
1000000,90324,0,1
1000000,89787,0,3
1000000,90097,0,0
1000000,90459,0,0
1000000,89820,0,1
1000000,90348,0,0
1000000,90220,0,0
1000000,90264,0,2
1000000,90079,0,0
1000000,90534,0,0
1000000,89925,0,3
1000000,90166,0,0
1000000,90560,0,0
1000000,89969,0,0
1000000,90210,0,3
1000000,90313,0,0
1000000,90179,0,1
1000000,90435,0,1
1000000,89953,0,1
1000000,89539,0,0
1000000,89909,0,1
1000000,90009,0,0
1000000,90102,0,0
1000000,90424,0,1
1000000,89785,0,0
1000000,90191,0,1
1000000,90047,0,1
1000000,89909,0,2
1000000,89894,0,2
1000000,90038,0,1
1000000,90191,0,2
1000000,90127,0,1
1000000,90471,0,0
1000000,90385,0,3
1000000,90214,0,0
1000000,89971,0,1
1000000,89668,0,1
1000000,90293,0,0
1000000,89915,0,1
1000000,89998,0,2
1000000,89833,0,1
1000000,90118,0,1
1000000,90655,0,0
1000000,89911,0,1
1000000,90208,0,1
1000000,90558,0,1
1000000,90397,0,0
1000000,89841,0,0
1000000,90268,0,0
1000000,89520,0,2
1000000,90266,0,1
1000000,90516,0,2
1000000,89997,0,1
1000000,90335,0,2
1000000,90143,0,0
1000000,89858,0,0
1000000,89891,0,1
1000000,89590,0,1
1000000,90455,0,2
1000000,89806,0,1
1000000,89735,0,0
1000000,89953,0,0
1000000,90166,0,2
1000000,90328,0,0
1000000,90145,0,0
1000000,89774,0,1
1000000,90600,0,0
1000000,90332,0,2
1000000,90540,0,1
1000000,90206,0,2
1000000,90281,0,0
1000000,90095,0,1
1000000,90251,0,1
1000000,89888,0,0
1000000,90488,0,0
1000000,90054,0,2
1000000,89837,0,1
1000000,89987,0,1
1000000,89648,0,0
1000000,89700,0,0
1000000,90022,0,2
1000000,90458,0,0
1000000,90039,0,0
1000000,89929,0,1
1000000,90204,0,0
1000000,90692,0,0
1000000,90174,0,1
1000000,90078,0,1
1000000,90030,0,0
1000000,90353,0,0
1000000,89755,0,1
1000000,90244,0,0
1000000,90584,0,1
1000000,90067,0,1
1000000,90471,0,2
1000000,90534,0,1
1000000,90523,0,2
1000000,90630,0,1
1000000,90181,0,2
1000000,90407,0,0
1000000,89936,0,0
1000000,90265,0,0
1000000,90190,0,0
1000000,90060,0,0
1000000,90342,0,0
1000000,90117,0,2
1000000,89626,0,0
1000000,89594,0,0
1000000,89876,0,0
1000000,90414,0,0
1000000,90092,0,1
1000000,90055,0,1
1000000,90425,0,0
1000000,90316,0,0
1000000,90452,0,2
1000000,90250,0,0
1000000,89879,0,1
1000000,90072,0,1
1000000,90239,0,0
1000000,90371,0,1
1000000,90024,0,3
1000000,90449,0,1
1000000,89586,0,0
1000000,90240,0,0
1000000,89569,0,0
1000000,90172,0,0
1000000,89788,0,1
1000000,90294,0,0
1000000,90045,0,1
1000000,90391,0,0
1000000,90455,0,0
1000000,90167,0,0
1000000,89766,0,0
1000000,89750,0,1
1000000,89785,0,2
1000000,90696,0,1
1000000,90548,0,0
1000000,89880,0,2
1000000,90168,0,0
1000000,90160,0,1
1000000,90204,0,1
1000000,89985,0,2
1000000,90432,0,2
1000000,90274,0,0
1000000,89904,0,0
1000000,89832,0,1
1000000,89999,0,0
1000000,90144,0,0
1000000,90093,0,0
1000000,90365,0,1
1000000,90392,0,0
1000000,90400,0,1
1000000,90170,0,1
1000000,89762,0,1
1000000,89796,0,2
1000000,89484,0,1
1000000,89791,0,0
1000000,90543,0,0
1000000,90515,0,2
1000000,90276,0,0
1000000,90347,0,2
1000000,90237,0,0
1000000,90125,0,0
1000000,89742,0,1
1000000,90245,0,0
1000000,90142,0,1
1000000,89932,0,0
1000000,89594,0,0
1000000,90271,0,0
1000000,90302,0,0
1000000,90623,0,0
1000000,89869,0,2
1000000,90271,0,0
1000000,90462,0,1
1000000,89903,0,0
1000000,90018,0,0
1000000,90535,0,1
1000000,90198,0,1
1000000,90129,0,1
1000000,90173,0,0
1000000,90140,0,0
1000000,90357,0,0
1000000,90271,0,1
1000000,90215,0,0
1000000,90349,0,1
1000000,89754,0,0
1000000,90361,0,2
1000000,90329,0,0
1000000,90273,0,0
1000000,90467,0,0
1000000,90406,0,1
1000000,90734,0,1
1000000,89999,0,0
1000000,90352,0,0
1000000,90290,0,0
1000000,90058,0,0
1000000,90290,0,2
1000000,90067,0,1
1000000,90150,0,0
1000000,90272,0,1
1000000,90331,0,2
1000000,90332,0,0
1000000,90641,0,0
1000000,90136,0,0
1000000,90415,0,0
1000000,90395,0,0
1000000,90161,0,2
1000000,89372,0,2
1000000,90104,0,0
1000000,90711,0,0
1000000,89829,0,0
1000000,90279,0,1
1000000,90250,0,0
1000000,90359,0,3
1000000,90120,0,2
1000000,89928,0,1
1000000,89832,0,1
1000000,89889,0,1
1000000,89956,0,0
1000000,90242,0,2
1000000,90131,0,0
1000000,90325,0,1
1000000,90143,0,1
1000000,90597,0,0
1000000,89709,0,1
1000000,90443,0,1
1000000,90145,0,2
1000000,89892,0,0
1000000,90598,0,1
1000000,90011,0,1
1000000,90123,0,1
1000000,90181,0,1
1000000,90261,0,1
1000000,89941,0,0
1000000,90109,0,0
1000000,90136,0,0
1000000,90023,0,2
1000000,89734,0,1
1000000,89771,0,0
1000000,89892,0,3
1000000,89886,0,0
1000000,90581,0,1
1000000,90479,0,0
1000000,90314,0,0
1000000,90228,0,0
1000000,90526,0,0
1000000,90129,0,0
1000000,89956,0,2
1000000,90015,0,0
1000000,90295,0,0
1000000,89809,0,0
1000000,90125,0,0
1000000,89700,0,0
1000000,90332,0,1
1000000,89717,0,1
1000000,89699,0,2
1000000,90072,0,1
1000000,89843,0,1
1000000,89843,0,0
1000000,90317,0,0
1000000,89959,0,0
1000000,89314,0,0
1000000,90306,0,3
1000000,90163,0,2
1000000,90141,0,1
1000000,89211,0,0
1000000,89556,0,1
1000000,90055,0,1
1000000,89990,0,1
1000000,89979,0,0
1000000,89279,0,0
1000000,90201,0,0
1000000,90354,0,0
1000000,90106,0,1
1000000,90579,0,1
1000000,89535,0,0
1000000,89964,0,1
1000000,90386,0,1
1000000,90234,0,3
1000000,90493,0,1
1000000,90217,0,0
1000000,90328,0,1
1000000,90647,0,0
1000000,89895,0,1
1000000,90031,0,1
1000000,89985,0,2
1000000,90346,0,4
1000000,89717,0,0
1000000,90021,0,0
1000000,90507,0,2
1000000,89666,0,1
1000000,90176,0,1
1000000,90072,0,0
1000000,89695,0,1
1000000,90223,0,1
1000000,90274,0,0
1000000,90305,0,4
1000000,90344,0,1
1000000,90163,0,2
1000000,89959,0,2
1000000,89843,0,0
1000000,89911,0,2
1000000,89787,0,2
1000000,90628,0,0
1000000,89993,0,3
1000000,89999,0,1
1000000,90412,0,0
1000000,90008,0,0
1000000,90273,0,1
1000000,89559,0,0
1000000,89490,0,1
1000000,90487,0,0
1000000,90145,0,1
1000000,89893,0,1
1000000,90007,0,0
1000000,90285,0,0
1000000,89617,0,0
1000000,90040,0,0
1000000,90257,0,0
1000000,90305,0,0
1000000,90162,0,1
1000000,90314,0,1
1000000,90035,0,0
1000000,90535,0,1
1000000,90109,0,0
1000000,90144,0,1
1000000,90362,0,1
1000000,90255,0,0
1000000,89922,0,0
1000000,89765,0,0
1000000,89759,0,1
1000000,90004,0,0
1000000,90102,0,1
1000000,89761,0,1
1000000,90081,0,2
1000000,90344,0,1
1000000,90229,0,1
1000000,90230,0,2
1000000,89911,0,0
1000000,90252,0,0
1000000,90328,0,1
1000000,90158,0,2
1000000,90399,0,2
1000000,89750,0,0
1000000,90342,0,2
1000000,89991,0,1
1000000,90254,0,0
1000000,90376,0,1
1000000,89541,0,2
1000000,89887,0,1
1000000,90167,0,1
1000000,90422,0,1
1000000,90485,0,0
1000000,90196,0,1
1000000,89596,0,0
1000000,89900,0,0
1000000,89744,0,5
1000000,90493,0,0
1000000,89901,0,0
1000000,90711,0,1
1000000,90324,0,1
1000000,90071,0,0
1000000,90358,0,0
1000000,90384,0,0
1000000,90833,0,0
1000000,89978,0,2
1000000,89765,0,0
1000000,89997,0,0
1000000,90322,0,1
1000000,89969,0,1
1000000,89808,0,1
1000000,90099,0,0
1000000,90203,0,2
1000000,90779,0,2
1000000,90348,0,0
1000000,90113,0,2
1000000,90263,0,2
1000000,90124,0,0
1000000,89874,0,2
1000000,90313,0,0
1000000,89719,0,0
1000000,89657,0,1
1000000,90497,0,2
1000000,90279,0,2
1000000,90179,0,0
1000000,90399,0,2
1000000,90310,0,1
1000000,90227,0,0
1000000,90167,0,0
1000000,90187,0,1
1000000,90398,0,0
1000000,90254,0,0
1000000,90019,0,1
1000000,90484,0,0
1000000,90051,0,0
1000000,90552,0,1
1000000,90247,0,0
1000000,90039,0,1
1000000,90279,0,1
1000000,90033,0,0
1000000,90125,0,1
1000000,90464,0,0
1000000,89953,0,0
1000000,90301,0,1
1000000,90106,0,1
1000000,90368,0,1
1000000,90345,0,2
1000000,89856,0,0
1000000,90637,0,1
1000000,90272,0,1
1000000,89932,0,2
1000000,90269,0,0
1000000,90091,0,0
1000000,89709,0,1
1000000,90196,0,0
1000000,90493,0,0
1000000,90382,0,1
1000000,89618,0,0
1000000,90168,0,1
1000000,90348,0,1
1000000,89343,0,0
1000000,89872,0,0
1000000,89828,0,0
1000000,90088,0,0
1000000,89950,0,0
1000000,89788,0,0
1000000,90235,0,1
1000000,90487,0,0
1000000,89746,0,0
1000000,90132,0,1
1000000,90043,0,2
1000000,90224,0,2
1000000,89636,0,1
1000000,90068,0,1
1000000,90053,0,0
1000000,89915,0,0
1000000,90726,0,3
