total_shots,num_flagged,num_discarded,num_incorrect
1000000,88964,0,4
1000000,89024,0,2
1000000,89096,0,0
1000000,88929,0,0
1000000,88902,0,1
1000000,88552,0,1
1000000,88998,0,0
1000000,89007,0,0
1000000,88906,0,1
1000000,89108,0,0
1000000,88667,0,2
1000000,88845,0,1
1000000,88849,0,0
1000000,89413,0,1
1000000,88561,0,0
1000000,88499,0,0
1000000,89211,0,1
1000000,89075,0,1
1000000,89373,0,0
1000000,89071,0,1
1000000,88763,0,0
1000000,89220,0,1
1000000,88648,0,1
1000000,88951,0,1
1000000,88591,0,0
1000000,88893,0,0
1000000,89458,0,5
1000000,89439,0,0
1000000,88295,0,0
1000000,89152,0,1
1000000,89114,0,0
1000000,89312,0,0
1000000,89557,0,0
1000000,89016,0,1
1000000,88885,0,1
1000000,88767,0,1
1000000,89559,0,1
1000000,89327,0,0
1000000,89185,0,1
1000000,89099,0,0
1000000,89142,0,2
1000000,89067,0,0
1000000,88936,0,0
1000000,89077,0,2
1000000,88938,0,0
1000000,89315,0,1
1000000,88998,0,0
1000000,88787,0,0
1000000,88803,0,1
1000000,89226,0,0
1000000,88986,0,0
1000000,89312,0,1
1000000,89384,0,1
1000000,89397,0,1
1000000,89156,0,1
1000000,88851,0,0
1000000,88285,0,1
1000000,88910,0,2
1000000,89208,0,1
1000000,88658,0,0
1000000,88935,0,2
1000000,89379,0,0
1000000,88786,0,0
1000000,88865,0,0
1000000,89063,0,0
1000000,88909,0,0
1000000,89382,0,1
1000000,89306,0,1
1000000,88757,0,0
1000000,89040,0,2
1000000,89305,0,0
1000000,88819,0,1
1000000,89461,0,0
1000000,89042,0,0
1000000,89550,0,2
1000000,88936,0,0
1000000,89260,0,1
1000000,88475,0,1
1000000,89119,0,1
1000000,88807,0,1
1000000,88734,0,0
1000000,88825,0,1
1000000,88959,0,3
1000000,88874,0,1
1000000,89077,0,1
1000000,88806,0,0
1000000,89044,0,0
1000000,89063,0,1
1000000,89164,0,0
1000000,88965,0,1
1000000,89485,0,1
1000000,89599,0,1
1000000,88958,0,1
1000000,89091,0,1
1000000,89041,0,1
1000000,88803,0,0
1000000,89154,0,1
1000000,89148,0,0
1000000,89102,0,1
1000000,89120,0,2
1000000,89005,0,0
1000000,88502,0,0
1000000,89203,0,1
1000000,89535,0,0
1000000,88941,0,2
1000000,89313,0,0
1000000,88959,0,2
1000000,88801,0,1
1000000,88587,0,1
1000000,89477,0,2
1000000,89406,0,0
1000000,89345,0,0
1000000,88636,0,1
1000000,88844,0,2
1000000,88996,0,1
1000000,88907,0,2
1000000,88800,0,0
1000000,89275,0,0
1000000,89136,0,0
1000000,88971,0,2
1000000,89346,0,0
1000000,88759,0,1
1000000,89311,0,0
1000000,88605,0,1
1000000,88989,0,2
1000000,88870,0,2
1000000,89013,0,0
1000000,89299,0,1
1000000,89026,0,1
1000000,89165,0,0
1000000,88874,0,1
1000000,89046,0,0
1000000,89423,0,0
1000000,89049,0,0
1000000,88886,0,0
1000000,89000,0,1
1000000,88654,0,0
1000000,89126,0,0
1000000,89241,0,1
1000000,88718,0,1
1000000,89108,0,1
1000000,88654,0,1
1000000,89623,0,1
1000000,88593,0,1
1000000,89275,0,1
1000000,89010,0,1
1000000,88898,0,2
1000000,89237,0,0
1000000,89064,0,0
1000000,89694,0,2
1000000,88595,0,1
1000000,88800,0,1
1000000,88725,0,2
1000000,88968,0,0
1000000,88601,0,0
1000000,88714,0,2
1000000,89219,0,3
1000000,88874,0,0
1000000,88936,0,1
1000000,89071,0,0
1000000,88989,0,0
1000000,88599,0,1
1000000,89101,0,1
1000000,89079,0,0
1000000,88453,0,1
1000000,88306,0,1
1000000,89366,0,0
1000000,89186,0,2
1000000,88875,0,2
1000000,89048,0,0
1000000,89150,0,2
1000000,89170,0,0
1000000,88953,0,0
1000000,88578,0,0
1000000,89162,0,0
1000000,88476,0,1
1000000,88766,0,0
