total_shots,num_flagged,num_discarded,num_incorrect
1000000,89840,0,1
1000000,89708,0,0
1000000,90206,0,0
1000000,89940,0,2
1000000,89678,0,1
1000000,89164,0,1
1000000,89681,0,1
1000000,89514,0,0
1000000,89839,0,1
1000000,89387,0,1
1000000,89579,0,1
1000000,89827,0,1
1000000,90006,0,1
1000000,90001,0,0
1000000,89802,0,1
1000000,90062,0,0
1000000,90113,0,1
1000000,89833,0,0
1000000,90066,0,1
1000000,90005,0,1
1000000,89848,0,0
1000000,89681,0,2
1000000,89583,0,0
1000000,89379,0,1
1000000,90288,0,0
1000000,90260,0,0
1000000,89639,0,2
1000000,89663,0,0
1000000,89821,0,0
1000000,89700,0,1
1000000,89349,0,1
1000000,89825,0,0
1000000,89861,0,0
1000000,90074,0,0
1000000,89368,0,0
1000000,89847,0,1
1000000,89541,0,1
1000000,89398,0,1
1000000,89766,0,0
1000000,89299,0,1
1000000,89321,0,1
1000000,89855,0,0
1000000,89865,0,0
1000000,90118,0,0
1000000,90022,0,0
1000000,89552,0,0
1000000,89659,0,1
1000000,89941,0,1
1000000,89873,0,1
1000000,89876,0,0
1000000,90071,0,2
1000000,89382,0,2
1000000,89592,0,4
1000000,89466,0,1
1000000,89879,0,1
1000000,89743,0,0
1000000,89969,0,1
1000000,89467,0,2
1000000,90049,0,0
1000000,90070,0,2
1000000,90131,0,0
1000000,89988,0,0
1000000,89994,0,0
1000000,89960,0,0
1000000,90060,0,1
1000000,89758,0,2
1000000,89121,0,1
1000000,90086,0,2
1000000,89612,0,1
1000000,89367,0,2
1000000,89817,0,2
1000000,89665,0,1
1000000,90370,0,0
1000000,89682,0,0
1000000,89911,0,2
1000000,89138,0,2
1000000,89694,0,0
1000000,89490,0,1
1000000,89979,0,0
1000000,89529,0,0
1000000,89699,0,3
1000000,89941,0,0
1000000,89378,0,0
1000000,89491,0,0
1000000,89729,0,1
1000000,90046,0,1
1000000,89371,0,0
1000000,89761,0,1
1000000,90063,0,2
1000000,89589,0,3
1000000,89738,0,0
1000000,90167,0,0
1000000,89758,0,3
1000000,89364,0,0
1000000,89741,0,2
1000000,89599,0,0
1000000,90119,0,2
1000000,89180,0,1
1000000,89897,0,1
1000000,89962,0,1
1000000,89842,0,2
1000000,89772,0,1
1000000,89520,0,1
1000000,89942,0,2
1000000,89741,0,0
1000000,89627,0,0
1000000,89605,0,2
1000000,89311,0,0
1000000,89862,0,0
1000000,89858,0,0
1000000,89845,0,1
1000000,89614,0,2
1000000,89662,0,1
1000000,89693,0,1
1000000,89942,0,1
1000000,89745,0,1
1000000,89569,0,0
1000000,89367,0,1
1000000,90409,0,0
1000000,89619,0,1
1000000,89602,0,1
1000000,89697,0,1
1000000,89758,0,1
1000000,89729,0,1
1000000,89448,0,2
1000000,89798,0,1
1000000,89787,0,0
1000000,90235,0,1
1000000,89732,0,1
1000000,89823,0,0
1000000,90000,0,1
1000000,89720,0,3
1000000,89900,0,1
1000000,89825,0,0
1000000,89786,0,1
1000000,89939,0,1
1000000,89761,0,0
1000000,89596,0,2
1000000,89967,0,2
1000000,89403,0,2
1000000,89799,0,1
1000000,89506,0,4
1000000,89572,0,0
1000000,89742,0,0
1000000,89939,0,2
1000000,89808,0,2
1000000,89846,0,0
1000000,89916,0,2
1000000,89857,0,1
1000000,89756,0,2
1000000,89564,0,1
1000000,89829,0,1
1000000,89955,0,3
1000000,89749,0,2
1000000,89594,0,1
1000000,89869,0,0
1000000,89696,0,0
1000000,89743,0,1
1000000,89678,0,2
1000000,90061,0,3
1000000,89847,0,2
1000000,89791,0,1
1000000,89701,0,0
1000000,90057,0,0
1000000,90052,0,3
1000000,89725,0,1
1000000,89599,0,0
1000000,89901,0,3
1000000,89884,0,0
1000000,89934,0,1
1000000,89283,0,2
1000000,89130,0,1
1000000,89870,0,1
1000000,89800,0,0
1000000,90403,0,0
1000000,89577,0,1
1000000,90108,0,0
1000000,89990,0,2
1000000,89831,0,0
1000000,89554,0,0
1000000,89530,0,0
1000000,89684,0,1
1000000,89117,0,0
1000000,89482,0,0
1000000,89799,0,1
1000000,89826,0,1
1000000,89574,0,1
1000000,89693,0,2
1000000,89796,0,0
1000000,90020,0,1
1000000,89670,0,0
1000000,89661,0,2
1000000,89547,0,1
1000000,89700,0,1
1000000,90339,0,1
1000000,89853,0,1
1000000,89448,0,0
1000000,90264,0,1
1000000,89557,0,2
1000000,89582,0,1
1000000,89772,0,0
1000000,89924,0,2
1000000,89945,0,1
1000000,89540,0,1
1000000,89509,0,0
1000000,89601,0,0
1000000,89618,0,1
1000000,89990,0,1
1000000,89921,0,2
1000000,89800,0,0
1000000,89852,0,1
1000000,89919,0,2
1000000,89299,0,3
1000000,89518,0,1
1000000,89873,0,2
1000000,89586,0,0
1000000,89359,0,1
1000000,89963,0,2
1000000,89704,0,1
1000000,89876,0,0
1000000,89365,0,0
1000000,89896,0,1
1000000,89643,0,0
1000000,89404,0,0
1000000,90072,0,2
1000000,90058,0,0
1000000,89695,0,2
1000000,90008,0,1
1000000,89906,0,0
1000000,90126,0,2
1000000,89642,0,0
1000000,89870,0,2
1000000,89789,0,1
1000000,90266,0,0
1000000,89692,0,1
1000000,90183,0,0
1000000,89849,0,0
1000000,90220,0,0
1000000,89640,0,0
1000000,90140,0,0
1000000,90063,0,1
1000000,89573,0,1
1000000,89637,0,0
1000000,89725,0,0
1000000,89702,0,2
1000000,89387,0,3
1000000,89305,0,1
1000000,89867,0,0
1000000,89574,0,1
1000000,89539,0,1
1000000,90043,0,0
1000000,89896,0,1
1000000,89632,0,0
1000000,89596,0,1
1000000,89177,0,1
1000000,89680,0,1
1000000,89748,0,0
1000000,89647,0,0
1000000,89438,0,0
1000000,89345,0,1
1000000,88994,0,0
1000000,89914,0,1
1000000,89734,0,0
1000000,89388,0,0
1000000,89614,0,3
1000000,89500,0,0
1000000,89528,0,1
1000000,90020,0,0
1000000,89850,0,1
