total_shots,num_flagged,num_discarded,num_incorrect
1000000,90750,0,0
1000000,90887,0,1
1000000,90702,0,0
1000000,90734,0,1
1000000,90590,0,1
1000000,90636,0,1
1000000,90703,0,1
1000000,90808,0,2
1000000,90018,0,0
1000000,90959,0,1
1000000,90635,0,0
1000000,90192,0,0
1000000,90778,0,1
1000000,90925,0,1
1000000,90718,0,0
1000000,90367,0,0
1000000,90473,0,1
1000000,90195,0,1
1000000,90619,0,0
1000000,90693,0,0
1000000,90428,0,0
1000000,90857,0,2
1000000,90223,0,2
1000000,90826,0,1
1000000,90951,0,1
1000000,90963,0,0
1000000,90833,0,0
1000000,90563,0,1
1000000,90532,0,0
1000000,90539,0,0
1000000,90589,0,1
1000000,90622,0,1
1000000,90865,0,1
1000000,90862,0,1
1000000,90108,0,0
1000000,90222,0,2
1000000,90664,0,1
1000000,90688,0,0
1000000,90450,0,3
1000000,90252,0,0
1000000,90318,0,1
1000000,90759,0,0
1000000,90761,0,1
1000000,90362,0,1
1000000,90269,0,0
1000000,91027,0,0
1000000,91219,0,2
1000000,90167,0,0
1000000,90150,0,0
1000000,90687,0,0
1000000,90560,0,0
1000000,90467,0,0
1000000,90465,0,1
1000000,90644,0,2
1000000,90578,0,1
1000000,90642,0,1
1000000,90454,0,1
1000000,90699,0,1
1000000,90393,0,0
1000000,90543,0,2
1000000,90537,0,0
1000000,90310,0,0
1000000,90517,0,0
1000000,90768,0,1
1000000,90010,0,2
1000000,91127,0,3
1000000,90845,0,1
1000000,90727,0,0
1000000,90289,0,1
1000000,90919,0,1
1000000,90325,0,2
1000000,90259,0,0
1000000,90430,0,2
1000000,90561,0,0
1000000,90810,0,0
1000000,90551,0,0
1000000,90949,0,1
1000000,90725,0,0
1000000,90165,0,0
1000000,91029,0,0
1000000,90839,0,1
1000000,90623,0,1
1000000,90979,0,0
1000000,90177,0,1
1000000,90249,0,1
1000000,91231,0,0
1000000,90422,0,0
1000000,90502,0,1
1000000,90626,0,3
1000000,90990,0,2
1000000,90607,0,1
1000000,90580,0,0
1000000,90486,0,0
1000000,90235,0,0
1000000,90313,0,0
1000000,90572,0,1
1000000,90579,0,1
1000000,90523,0,1
1000000,90269,0,0
1000000,90524,0,0
1000000,90617,0,2
1000000,90638,0,1
1000000,90401,0,0
1000000,90446,0,1
1000000,90981,0,3
1000000,90705,0,2
1000000,90217,0,0
1000000,90607,0,0
1000000,90813,0,1
1000000,91013,0,0
1000000,90585,0,2
1000000,90917,0,3
1000000,90674,0,0
1000000,91020,0,2
1000000,90326,0,0
1000000,90802,0,1
1000000,90961,0,1
1000000,90641,0,1
1000000,90492,0,1
1000000,90867,0,1
1000000,90130,0,2
1000000,91417,0,1
1000000,90764,0,1
1000000,90597,0,1
1000000,90639,0,0
1000000,90980,0,1
1000000,90986,0,1
1000000,90323,0,1
1000000,90352,0,1
1000000,90660,0,1
1000000,90290,0,0
1000000,91068,0,0
1000000,90546,0,1
1000000,90459,0,0
1000000,90968,0,0
1000000,90946,0,2
1000000,90381,0,0
1000000,90382,0,0
1000000,90137,0,1
1000000,90714,0,2
1000000,91006,0,1
1000000,90903,0,1
1000000,90600,0,1
1000000,90665,0,0
1000000,90392,0,3
1000000,90510,0,0
1000000,90500,0,0
1000000,89921,0,0
1000000,90164,0,0
1000000,90208,0,0
1000000,90054,0,0
1000000,90158,0,0
1000000,90688,0,0
1000000,90662,0,0
1000000,90535,0,0
1000000,90249,0,0
1000000,91309,0,0
1000000,90508,0,0
1000000,90228,0,1
1000000,90642,0,1
1000000,90682,0,0
1000000,90707,0,1
1000000,90402,0,0
1000000,90408,0,0
1000000,90671,0,1
1000000,90502,0,0
1000000,90304,0,0
1000000,90911,0,2
1000000,90636,0,1
1000000,90472,0,1
1000000,90715,0,1
1000000,90862,0,1
1000000,90697,0,1
1000000,90547,0,2
1000000,90271,0,1
1000000,90506,0,1
1000000,90372,0,0
1000000,90655,0,0
1000000,90211,0,0
1000000,90317,0,1
1000000,90552,0,1
1000000,90347,0,2
1000000,90640,0,0
1000000,91073,0,0
1000000,90001,0,0
1000000,90713,0,0
1000000,90537,0,0
1000000,90404,0,0
1000000,90855,0,2
1000000,90604,0,2
1000000,90410,0,1
