total_shots,num_flagged,num_discarded,num_incorrect
1000000,89364,0,0
1000000,88944,0,0
1000000,88378,0,1
1000000,88687,0,0
1000000,88877,0,0
1000000,88785,0,0
1000000,88930,0,0
1000000,88482,0,1
1000000,88812,0,1
1000000,88910,0,1
1000000,88553,0,0
1000000,89119,0,0
1000000,88696,0,0
1000000,89460,0,1
1000000,88825,0,0
1000000,88745,0,0
1000000,89086,0,1
1000000,88744,0,1
1000000,89121,0,0
1000000,88896,0,1
1000000,88780,0,1
1000000,88584,0,0
1000000,88450,0,1
1000000,89159,0,0
1000000,88747,0,0
1000000,88889,0,2
1000000,89431,0,1
1000000,89108,0,0
1000000,88803,0,1
1000000,88873,0,0
1000000,88566,0,1
1000000,89317,0,0
1000000,88722,0,0
1000000,89275,0,0
1000000,88749,0,2
1000000,89376,0,0
1000000,88892,0,0
1000000,89230,0,0
1000000,88537,0,0
1000000,88906,0,2
1000000,88537,0,1
1000000,88741,0,1
1000000,89122,0,3
1000000,88924,0,0
1000000,88746,0,1
1000000,89029,0,1
1000000,89152,0,2
1000000,88995,0,1
1000000,88785,0,0
1000000,88555,0,1
1000000,88858,0,0
1000000,89202,0,0
1000000,89010,0,1
1000000,89047,0,2
1000000,88646,0,1
1000000,89445,0,0
1000000,89433,0,2
1000000,88751,0,1
1000000,88996,0,0
1000000,88928,0,2
1000000,88801,0,1
1000000,89148,0,2
1000000,88370,0,0
1000000,89377,0,0
1000000,88980,0,0
1000000,88735,0,1
1000000,89282,0,1
1000000,89349,0,1
1000000,88524,0,0
1000000,88216,0,1
1000000,89018,0,2
1000000,88815,0,4
1000000,88792,0,0
1000000,88618,0,1
1000000,88866,0,0
1000000,88892,0,1
1000000,88608,0,0
1000000,88706,0,0
1000000,89072,0,2
1000000,88748,0,1
1000000,89388,0,0
1000000,88893,0,0
1000000,88878,0,0
1000000,89023,0,1
1000000,88962,0,1
1000000,88820,0,0
1000000,88708,0,2
1000000,89077,0,3
1000000,88521,0,0
1000000,89038,0,1
1000000,88521,0,1
1000000,89013,0,0
1000000,88611,0,1
1000000,89276,0,0
1000000,89699,0,2
1000000,88756,0,0
1000000,89119,0,0
1000000,88954,0,0
1000000,88895,0,1
1000000,89023,0,3
1000000,88888,0,0
1000000,89269,0,1
1000000,88623,0,1
1000000,88860,0,0
1000000,88887,0,0
1000000,89143,0,0
1000000,88689,0,0
1000000,89510,0,1
1000000,89490,0,2
1000000,88714,0,1
1000000,88758,0,1
1000000,89244,0,1
1000000,88643,0,1
1000000,89200,0,1
1000000,88703,0,0
1000000,89358,0,0
1000000,88708,0,0
1000000,88824,0,2
1000000,88987,0,0
1000000,89085,0,1
1000000,89111,0,2
1000000,89110,0,1
1000000,88862,0,0
1000000,88792,0,2
1000000,89091,0,1
1000000,88793,0,1
1000000,88342,0,1
1000000,89310,0,3
1000000,88670,0,0
1000000,89081,0,0
1000000,89311,0,2
1000000,89056,0,3
1000000,89199,0,1
1000000,88520,0,0
1000000,88960,0,2
1000000,88811,0,0
1000000,88927,0,0
1000000,88689,0,0
1000000,89519,0,2
1000000,88629,0,2
1000000,88538,0,2
1000000,88919,0,1
1000000,88862,0,1
1000000,88597,0,0
1000000,88691,0,0
1000000,88408,0,2
1000000,89190,0,1
1000000,88986,0,0
1000000,89244,0,1
1000000,88575,0,2
1000000,88905,0,1
1000000,88816,0,0
1000000,89302,0,0
1000000,89303,0,2
1000000,88798,0,1
1000000,88550,0,1
1000000,88995,0,1
1000000,89235,0,2
1000000,88821,0,0
1000000,88899,0,0
1000000,88272,0,1
1000000,88857,0,5
1000000,88475,0,1
1000000,88365,0,1
1000000,89087,0,1
1000000,89208,0,2
1000000,88476,0,1
1000000,88874,0,0
1000000,88821,0,1
1000000,88739,0,0
1000000,89134,0,2
1000000,88760,0,0
1000000,88680,0,1
1000000,88802,0,1
1000000,88864,0,1
1000000,89031,0,0
1000000,88603,0,0
1000000,88585,0,0
1000000,89348,0,1
1000000,89478,0,0
1000000,88906,0,1
1000000,89339,0,0
1000000,89063,0,1
1000000,88987,0,1
1000000,88796,0,0
1000000,88455,0,1
1000000,88567,0,0
1000000,88780,0,0
1000000,88794,0,1
1000000,88555,0,0
1000000,88692,0,3
1000000,88932,0,2
1000000,88625,0,1
1000000,88715,0,1
1000000,88672,0,0
1000000,89136,0,0
1000000,88877,0,2
1000000,89435,0,0
1000000,88928,0,4
1000000,88652,0,1
1000000,88827,0,3
1000000,88948,0,4
1000000,88869,0,0
1000000,88906,0,0
1000000,88648,0,1
1000000,88625,0,1
1000000,88743,0,3
1000000,88746,0,0
1000000,88704,0,1
1000000,88848,0,0
1000000,88749,0,1
1000000,88858,0,0
1000000,88525,0,2
1000000,88895,0,0
1000000,88449,0,2
1000000,88825,0,1
1000000,88738,0,1
1000000,88962,0,2
1000000,88557,0,0
1000000,88637,0,1
1000000,88628,0,1
1000000,89249,0,0
1000000,89067,0,1
1000000,88841,0,1
1000000,89227,0,1
1000000,89069,0,0
1000000,89189,0,0
1000000,88557,0,0
1000000,88808,0,1
1000000,88735,0,0
1000000,88517,0,1
1000000,88643,0,0
1000000,88892,0,2
1000000,89068,0,1
1000000,88645,0,0
1000000,89415,0,1
1000000,88909,0,1
1000000,88711,0,0
1000000,89097,0,0
1000000,88321,0,1
1000000,88450,0,1
1000000,89014,0,0
1000000,88602,0,3
1000000,89310,0,1
1000000,88454,0,0
1000000,89160,0,0
1000000,89313,0,0
1000000,89057,0,1
1000000,89003,0,1
1000000,89307,0,0
1000000,88655,0,0
1000000,88491,0,1
1000000,89288,0,2
1000000,88899,0,2
1000000,88825,0,0
1000000,88711,0,1
1000000,88665,0,1
1000000,88784,0,0
1000000,88729,0,1
1000000,88411,0,0
1000000,88921,0,0
1000000,88928,0,1
1000000,88645,0,0
1000000,88605,0,1
1000000,89228,0,1
1000000,88442,0,1
1000000,88844,0,1
1000000,88625,0,2
1000000,88624,0,1
1000000,88765,0,1
1000000,88914,0,2
1000000,88647,0,0
1000000,88863,0,1
1000000,89490,0,1
1000000,88593,0,0
1000000,88892,0,0
1000000,88644,0,0
1000000,89134,0,1
1000000,88574,0,2
1000000,89070,0,1
1000000,89082,0,1
1000000,89208,0,0
1000000,88191,0,0
1000000,88976,0,1
1000000,88892,0,3
1000000,89013,0,0
1000000,88893,0,1
1000000,88958,0,1
1000000,88880,0,0
1000000,88765,0,0
1000000,88908,0,0
1000000,88987,0,2
1000000,88571,0,0
1000000,89127,0,0
1000000,88808,0,0
1000000,89642,0,1
1000000,89008,0,2
1000000,89325,0,0
1000000,89022,0,1
1000000,89028,0,1
1000000,88905,0,0
1000000,88739,0,1
1000000,89002,0,0
1000000,89152,0,1
1000000,88954,0,1
1000000,88162,0,2
1000000,88727,0,0
1000000,89049,0,0
1000000,89206,0,1
1000000,88980,0,1
1000000,88762,0,1
1000000,88744,0,1
1000000,88551,0,0
1000000,89235,0,0
1000000,88972,0,1
1000000,88776,0,2
1000000,88692,0,1
1000000,89154,0,1
1000000,88850,0,2
1000000,88580,0,0
1000000,89102,0,0
1000000,88600,0,2
1000000,88706,0,0
1000000,88905,0,0
1000000,88617,0,1
1000000,88867,0,1
1000000,89311,0,1
1000000,88917,0,1
1000000,89311,0,1
1000000,88726,0,2
1000000,89019,0,2
1000000,89187,0,1
1000000,89192,0,1
1000000,88780,0,0
1000000,88711,0,0
1000000,88800,0,1
1000000,88909,0,1
1000000,88748,0,1
1000000,88858,0,0
1000000,88704,0,0
1000000,89272,0,3
1000000,88930,0,3
1000000,89153,0,2
1000000,88335,0,1
1000000,89059,0,1
1000000,89726,0,1
1000000,88523,0,2
1000000,88598,0,2
1000000,88498,0,2
1000000,88865,0,0
1000000,88711,0,0
1000000,88891,0,1
1000000,89125,0,1
1000000,88906,0,1
1000000,89058,0,1
1000000,88373,0,1
1000000,88368,0,2
1000000,88850,0,0
1000000,88482,0,2
1000000,88757,0,0
1000000,88564,0,1
1000000,89307,0,0
1000000,89072,0,0
1000000,88830,0,3
1000000,88827,0,0
1000000,88419,0,1
1000000,88832,0,0
1000000,88461,0,1
1000000,88781,0,0
1000000,88700,0,0
1000000,88587,0,1
1000000,88819,0,0
1000000,88838,0,0
1000000,89087,0,1
1000000,88829,0,0
1000000,88786,0,3
1000000,88635,0,1
1000000,88919,0,0
1000000,88500,0,3
1000000,88966,0,0
1000000,88911,0,1
1000000,89100,0,0
1000000,88829,0,1
1000000,89037,0,1
1000000,88872,0,0
1000000,88920,0,0
1000000,88744,0,2
1000000,89242,0,0
1000000,88977,0,1
1000000,88379,0,0
1000000,88798,0,1
1000000,88634,0,1
1000000,88867,0,1
1000000,88683,0,1
1000000,89254,0,1
1000000,88642,0,0
1000000,89294,0,1
1000000,88726,0,2
1000000,88800,0,2
1000000,89122,0,1
1000000,88384,0,1
1000000,89229,0,2
1000000,88453,0,3
1000000,88703,0,0
1000000,89079,0,2
1000000,88546,0,0
1000000,89529,0,1
1000000,88803,0,0
1000000,89197,0,0
1000000,88901,0,1
1000000,88856,0,1
1000000,89039,0,0
1000000,88832,0,2
1000000,88880,0,1
1000000,89174,0,0
1000000,88805,0,1
1000000,89212,0,1
1000000,89009,0,1
1000000,88775,0,1
1000000,89115,0,0
1000000,89521,0,1
1000000,88340,0,0
1000000,89159,0,0
1000000,88398,0,0
1000000,89080,0,2
1000000,89293,0,1
1000000,88951,0,1
1000000,88749,0,0
1000000,88361,0,0
1000000,88864,0,2
1000000,88575,0,0
1000000,88655,0,2
1000000,88512,0,0
1000000,89274,0,2
1000000,89319,0,0
1000000,88668,0,2
1000000,88499,0,1
1000000,89046,0,0
1000000,88829,0,1
1000000,88845,0,0
1000000,88827,0,1
1000000,89059,0,0
1000000,88488,0,0
1000000,88941,0,0
1000000,89082,0,0
1000000,88791,0,0
1000000,89354,0,0
1000000,88952,0,0
1000000,88985,0,2
1000000,89245,0,1
1000000,89141,0,1
1000000,88448,0,2
1000000,88617,0,0
1000000,88963,0,0
1000000,88797,0,0
1000000,88821,0,0
1000000,89104,0,2
1000000,88794,0,2
1000000,88946,0,1
1000000,88710,0,0
1000000,88939,0,1
1000000,89278,0,1
1000000,89507,0,1
1000000,88723,0,2
1000000,89170,0,0
1000000,88827,0,1
1000000,88676,0,1
1000000,88323,0,2
1000000,89115,0,2
1000000,88351,0,0
1000000,88607,0,0
1000000,89064,0,0
1000000,88210,0,0
1000000,88910,0,2
1000000,88838,0,1
1000000,88521,0,0
1000000,89098,0,1
1000000,88553,0,1
1000000,88801,0,0
1000000,88533,0,0
1000000,88726,0,1
1000000,89054,0,1
1000000,88977,0,0
1000000,88471,0,1
1000000,88875,0,1
1000000,89136,0,2
1000000,88992,0,1
1000000,89556,0,0
1000000,88569,0,1
1000000,88558,0,1
1000000,88489,0,1
1000000,89141,0,1
