total_shots,num_flagged,num_discarded,num_incorrect
1000000,90531,0,0
1000000,90765,0,1
1000000,90563,0,1
1000000,90818,0,0
1000000,90754,0,2
1000000,90792,0,1
1000000,90645,0,1
1000000,90543,0,1
1000000,90154,0,0
1000000,90603,0,0
1000000,90408,0,1
1000000,90776,0,4
1000000,90584,0,0
1000000,90351,0,1
1000000,90353,0,0
1000000,90529,0,1
1000000,90558,0,1
1000000,90145,0,1
1000000,90514,0,0
1000000,90869,0,1
1000000,90468,0,1
1000000,90661,0,2
1000000,90717,0,1
1000000,91339,0,1
1000000,90832,0,2
1000000,89882,0,0
1000000,90481,0,0
1000000,90701,0,1
1000000,90306,0,2
1000000,91010,0,0
1000000,90145,0,2
1000000,90682,0,0
1000000,91270,0,1
1000000,90402,0,0
1000000,90320,0,2
1000000,90589,0,2
1000000,90810,0,1
1000000,90705,0,0
1000000,90682,0,1
1000000,90424,0,1
1000000,90613,0,0
1000000,90566,0,1
1000000,90831,0,4
1000000,90535,0,1
1000000,90384,0,0
1000000,90754,0,0
1000000,90441,0,1
1000000,90573,0,0
1000000,91264,0,1
1000000,90866,0,1
1000000,90780,0,0
1000000,90508,0,0
1000000,90521,0,1
1000000,90399,0,1
1000000,90697,0,2
1000000,90253,0,1
1000000,90836,0,0
1000000,91083,0,2
1000000,90094,0,0
1000000,90775,0,0
1000000,90960,0,0
1000000,90306,0,0
1000000,90439,0,1
1000000,90418,0,1
1000000,90547,0,0
1000000,90620,0,3
1000000,90830,0,1
1000000,90630,0,2
1000000,90703,0,1
1000000,90766,0,1
1000000,90445,0,0
1000000,90750,0,1
1000000,90355,0,0
1000000,90847,0,0
1000000,90308,0,0
1000000,90479,0,1
1000000,90159,0,0
1000000,90590,0,0
1000000,91045,0,1
1000000,91404,0,0
1000000,91432,0,0
1000000,90633,0,4
1000000,91063,0,0
1000000,90822,0,2
1000000,90851,0,2
1000000,91000,0,1
1000000,90683,0,1
1000000,91133,0,1
1000000,90667,0,0
1000000,90463,0,2
1000000,90886,0,0
1000000,90922,0,1
1000000,91505,0,1
1000000,91175,0,1
1000000,91016,0,0
1000000,91027,0,0
1000000,90481,0,4
1000000,90511,0,2
1000000,90726,0,0
1000000,90894,0,0
1000000,90668,0,1
1000000,90766,0,2
1000000,91075,0,3
1000000,91083,0,0
1000000,90587,0,0
1000000,90163,0,1
1000000,90954,0,1
1000000,90530,0,3
1000000,90398,0,3
1000000,90971,0,0
1000000,90335,0,0
1000000,90631,0,1
1000000,90499,0,1
1000000,90566,0,0
1000000,90465,0,1
1000000,90709,0,0
1000000,90967,0,2
1000000,90547,0,0
1000000,90639,0,2
1000000,90930,0,1
1000000,90545,0,0
1000000,90842,0,1
1000000,90371,0,1
1000000,90746,0,2
1000000,90727,0,0
1000000,90373,0,0
1000000,91305,0,0
1000000,90579,0,1
1000000,90650,0,2
1000000,90470,0,0
1000000,90020,0,1
1000000,90262,0,1
1000000,90779,0,0
1000000,90785,0,2
1000000,90033,0,0
1000000,90321,0,1
1000000,90669,0,0
1000000,90732,0,0
1000000,91053,0,0
1000000,90408,0,0
1000000,90604,0,0
1000000,90296,0,3
1000000,90423,0,0
1000000,90259,0,0
1000000,90935,0,0
1000000,91019,0,0
1000000,89976,0,1
1000000,90969,0,1
1000000,90823,0,2
1000000,91016,0,0
1000000,90260,0,0
1000000,91056,0,0
1000000,90534,0,1
1000000,91016,0,0
1000000,91186,0,0
1000000,91199,0,1
1000000,90496,0,1
1000000,90475,0,2
1000000,91220,0,0
1000000,90770,0,1
1000000,90674,0,0
1000000,90932,0,1
1000000,90616,0,1
1000000,90451,0,2
1000000,90366,0,0
1000000,90544,0,0
1000000,90501,0,1
1000000,91301,0,0
1000000,90461,0,0
1000000,90337,0,2
1000000,90343,0,0
1000000,90869,0,1
1000000,91341,0,0
1000000,90588,0,0
1000000,90685,0,2
1000000,90809,0,3
1000000,90383,0,1
1000000,91037,0,1
1000000,90989,0,1
1000000,91156,0,1
1000000,90792,0,1
1000000,90669,0,0
1000000,90647,0,0
1000000,91185,0,1
1000000,91150,0,0
1000000,90429,0,2
1000000,91045,0,1
1000000,90441,0,0
1000000,90398,0,3
1000000,90680,0,0
1000000,90380,0,0
1000000,91019,0,0
1000000,90636,0,0
1000000,90550,0,1
1000000,90852,0,0
1000000,90632,0,1
1000000,90704,0,0
1000000,90253,0,1
1000000,90587,0,1
1000000,90537,0,1
1000000,91076,0,1
1000000,90210,0,3
1000000,90984,0,1
1000000,90703,0,1
1000000,91110,0,0
1000000,90869,0,0
1000000,90902,0,0
1000000,90791,0,2
1000000,90295,0,0
1000000,90640,0,0
1000000,90637,0,3
1000000,90897,0,1
1000000,90247,0,1
1000000,90840,0,1
1000000,90916,0,0
1000000,90661,0,1
1000000,90542,0,0
1000000,90703,0,1
1000000,91083,0,0
1000000,90580,0,1
1000000,90249,0,0
1000000,90598,0,1
1000000,90635,0,0
1000000,90501,0,1
1000000,90708,0,1
1000000,90721,0,0
1000000,91328,0,1
1000000,90635,0,0
1000000,91233,0,0
1000000,90796,0,0
1000000,90936,0,0
1000000,90675,0,0
1000000,90203,0,2
1000000,90751,0,1
1000000,91157,0,1
1000000,90912,0,0
1000000,90438,0,0
1000000,90642,0,0
1000000,90837,0,2
1000000,90680,0,0
1000000,90668,0,3
1000000,90761,0,0
1000000,90748,0,1
1000000,90593,0,2
1000000,91061,0,1
1000000,90882,0,1
1000000,91331,0,1
1000000,90929,0,0
1000000,90473,0,1
1000000,90726,0,0
1000000,90738,0,0
1000000,91150,0,0
1000000,90229,0,0
1000000,90725,0,1
1000000,90860,0,2
1000000,90520,0,2
1000000,90372,0,1
1000000,90670,0,0
1000000,90509,0,0
1000000,90947,0,2
1000000,90888,0,0
1000000,90620,0,1
1000000,90529,0,1
1000000,90791,0,1
1000000,90351,0,1
1000000,90696,0,2
1000000,90518,0,1
1000000,90245,0,1
1000000,91072,0,1
