total_shots,num_flagged,num_discarded,num_incorrect
1000000,89259,0,0
1000000,89768,0,0
1000000,89833,0,0
1000000,90056,0,2
1000000,89520,0,1
1000000,89871,0,1
1000000,89075,0,0
1000000,89358,0,2
1000000,89711,0,0
1000000,89016,0,1
1000000,89588,0,1
1000000,89054,0,2
1000000,89489,0,1
1000000,88801,0,0
1000000,89711,0,1
1000000,89414,0,0
1000000,89307,0,0
1000000,89520,0,0
1000000,89060,0,0
1000000,89253,0,0
1000000,89590,0,0
1000000,89286,0,0
1000000,89184,0,0
1000000,89529,0,1
1000000,90299,0,1
1000000,89068,0,1
1000000,89494,0,1
1000000,89910,0,0
1000000,89264,0,1
1000000,89766,0,0
1000000,89523,0,1
1000000,88808,0,1
1000000,89558,0,0
1000000,89375,0,0
1000000,89708,0,1
1000000,89394,0,0
1000000,89595,0,1
1000000,89730,0,1
1000000,89516,0,0
1000000,89927,0,1
1000000,89226,0,0
1000000,89792,0,2
1000000,89326,0,0
1000000,89412,0,1
1000000,89701,0,1
1000000,89125,0,0
1000000,89960,0,0
1000000,89591,0,0
1000000,89234,0,0
1000000,89705,0,1
1000000,89414,0,2
1000000,89816,0,1
1000000,89932,0,0
1000000,89600,0,0
1000000,89567,0,1
1000000,89793,0,1
1000000,89678,0,1
1000000,89366,0,1
1000000,89720,0,1
1000000,89965,0,3
1000000,89701,0,1
1000000,90058,0,1
1000000,89732,0,0
1000000,89830,0,1
1000000,89404,0,2
1000000,89241,0,0
1000000,89914,0,2
1000000,89591,0,0
1000000,89416,0,0
1000000,89653,0,2
1000000,89618,0,1
1000000,89345,0,1
1000000,89233,0,1
1000000,89399,0,1
1000000,89872,0,1
1000000,89667,0,0
1000000,89508,0,0
1000000,89727,0,0
1000000,89502,0,1
1000000,89553,0,1
1000000,89164,0,1
1000000,89796,0,2
1000000,89429,0,2
1000000,89363,0,1
1000000,89613,0,0
1000000,89516,0,1
1000000,89823,0,0
1000000,89367,0,1
1000000,89473,0,1
1000000,89820,0,0
1000000,89638,0,0
1000000,89845,0,0
1000000,89755,0,2
1000000,89501,0,1
1000000,90335,0,0
1000000,89785,0,0
1000000,89430,0,2
1000000,89977,0,1
1000000,89340,0,1
1000000,89521,0,0
1000000,89103,0,2
1000000,89406,0,1
1000000,89283,0,0
1000000,89665,0,1
1000000,89845,0,0
1000000,89692,0,1
1000000,89686,0,1
1000000,89452,0,2
1000000,89264,0,2
1000000,89193,0,1
1000000,90176,0,0
1000000,89314,0,1
1000000,90283,0,1
1000000,89434,0,0
1000000,89302,0,1
1000000,89672,0,0
1000000,89765,0,1
1000000,89294,0,0
1000000,89261,0,0
1000000,89330,0,0
1000000,89565,0,2
1000000,89394,0,1
1000000,89238,0,3
1000000,89612,0,4
1000000,89683,0,2
1000000,89393,0,2
1000000,89202,0,0
1000000,90368,0,0
1000000,89525,0,0
1000000,89565,0,0
1000000,89770,0,1
1000000,88848,0,2
1000000,89503,0,0
1000000,89446,0,4
1000000,89591,0,3
1000000,89369,0,1
1000000,89886,0,1
1000000,89725,0,1
1000000,89723,0,1
1000000,89785,0,0
1000000,89630,0,0
1000000,89539,0,0
1000000,89374,0,0
1000000,89619,0,0
1000000,89305,0,2
1000000,89353,0,2
1000000,89859,0,1
1000000,90190,0,1
1000000,89471,0,1
1000000,89396,0,2
1000000,89750,0,2
1000000,89381,0,0
1000000,89374,0,0
1000000,89774,0,0
1000000,89588,0,0
1000000,88980,0,0
1000000,89421,0,0
1000000,89304,0,1
1000000,90080,0,0
1000000,89916,0,2
1000000,89720,0,0
1000000,89627,0,2
1000000,89424,0,1
1000000,89454,0,0
1000000,89911,0,0
1000000,90294,0,1
1000000,89956,0,0
1000000,89795,0,1
1000000,89350,0,0
1000000,89586,0,2
1000000,89770,0,1
1000000,89808,0,0
1000000,89453,0,1
1000000,89358,0,2
1000000,89558,0,0
1000000,89278,0,1
1000000,89388,0,0
1000000,89490,0,0
1000000,89086,0,2
1000000,89470,0,1
1000000,89441,0,1
1000000,89911,0,0
1000000,89987,0,2
1000000,89251,0,3
1000000,89291,0,0
1000000,89374,0,3
1000000,89649,0,0
1000000,89797,0,3
1000000,89318,0,0
1000000,89778,0,1
1000000,89709,0,0
1000000,89770,0,0
1000000,89402,0,0
1000000,89288,0,0
1000000,89740,0,0
1000000,89549,0,0
1000000,89503,0,1
1000000,89834,0,1
1000000,89504,0,1
1000000,88840,0,0
1000000,89506,0,1
1000000,89708,0,1
1000000,89130,0,1
1000000,90092,0,1
1000000,89200,0,0
1000000,89843,0,2
1000000,89503,0,1
1000000,89428,0,1
1000000,89562,0,0
1000000,89301,0,1
1000000,89305,0,1
1000000,89579,0,1
1000000,89424,0,0
1000000,89653,0,3
1000000,90052,0,0
1000000,89726,0,0
1000000,89793,0,2
1000000,89445,0,1
1000000,89551,0,2
1000000,89874,0,2
1000000,89651,0,0
1000000,89691,0,0
1000000,89539,0,0
1000000,89204,0,1
1000000,89649,0,1
1000000,90131,0,1
1000000,89261,0,1
1000000,89791,0,0
1000000,90079,0,1
1000000,89534,0,0
1000000,89292,0,3
1000000,89587,0,0
1000000,89686,0,1
1000000,89511,0,1
1000000,89970,0,2
1000000,89637,0,2
1000000,89570,0,0
1000000,89088,0,0
1000000,89558,0,2
1000000,89613,0,4
1000000,89670,0,0
1000000,89652,0,1
1000000,89203,0,1
1000000,89035,0,0
1000000,89757,0,0
1000000,89088,0,0
1000000,89497,0,1
1000000,89452,0,0
1000000,89339,0,0
1000000,89674,0,0
1000000,89347,0,0
1000000,89393,0,1
1000000,89614,0,1
1000000,89392,0,0
1000000,89474,0,4
1000000,89670,0,0
1000000,89942,0,1
1000000,89867,0,0
1000000,89615,0,1
1000000,89321,0,0
1000000,88945,0,1
1000000,89850,0,1
1000000,89331,0,2
1000000,89845,0,1
1000000,89256,0,0
1000000,89873,0,0
1000000,89598,0,1
1000000,89861,0,1
1000000,89618,0,2
1000000,89146,0,2
1000000,88923,0,2
1000000,89273,0,0
1000000,89944,0,0
1000000,90149,0,1
1000000,89609,0,2
1000000,89812,0,0
1000000,89373,0,1
1000000,89573,0,2
1000000,89293,0,0
1000000,89626,0,0
1000000,89782,0,0
1000000,89465,0,2
1000000,89155,0,1
1000000,89605,0,1
1000000,89380,0,0
1000000,89433,0,1
1000000,88936,0,0
1000000,89011,0,0
1000000,89331,0,0
1000000,89257,0,0
1000000,89790,0,0
1000000,89445,0,0
1000000,89517,0,0
1000000,90013,0,2
1000000,89171,0,2
1000000,89279,0,0
1000000,89777,0,1
1000000,90466,0,0
1000000,89617,0,2
1000000,89862,0,0
1000000,89524,0,0
1000000,89668,0,3
1000000,89927,0,0
1000000,89679,0,0
1000000,89037,0,0
1000000,89823,0,1
1000000,89630,0,0
1000000,89665,0,2
1000000,89631,0,0
1000000,89384,0,1
1000000,89829,0,0
1000000,90304,0,0
1000000,89125,0,2
1000000,89305,0,1
1000000,89685,0,0
1000000,89955,0,0
1000000,89062,0,1
1000000,90037,0,1
1000000,89609,0,0
1000000,89749,0,2
1000000,89118,0,0
1000000,89574,0,0
1000000,89550,0,0
1000000,89789,0,0
1000000,89905,0,0
1000000,89621,0,2
1000000,89157,0,0
1000000,89585,0,0
1000000,89777,0,0
1000000,89543,0,3
1000000,89721,0,1
1000000,89743,0,1
1000000,89436,0,2
1000000,89148,0,0
1000000,89667,0,1
1000000,89466,0,0
1000000,89621,0,0
1000000,89829,0,2
1000000,89328,0,0
1000000,89802,0,2
1000000,89195,0,0
1000000,89164,0,0
1000000,89556,0,1
1000000,89466,0,1
1000000,89604,0,0
1000000,89396,0,1
1000000,89672,0,1
1000000,89137,0,0
1000000,89567,0,1
1000000,89400,0,2
1000000,89478,0,1
1000000,89299,0,1
1000000,89642,0,0
1000000,89417,0,0
1000000,89278,0,1
1000000,89577,0,0
1000000,89438,0,1
1000000,89691,0,2
1000000,89461,0,0
1000000,89980,0,2
1000000,89929,0,1
1000000,89498,0,0
1000000,90098,0,0
1000000,89259,0,0
1000000,90011,0,1
1000000,90726,0,0
1000000,89380,0,0
1000000,89640,0,2
1000000,89489,0,0
1000000,89978,0,0
1000000,89166,0,0
1000000,89627,0,1
1000000,89745,0,1
1000000,89231,0,0
1000000,89465,0,1
1000000,89838,0,0
1000000,89882,0,1
1000000,89620,0,1
1000000,89627,0,0
1000000,89503,0,0
1000000,89590,0,1
1000000,90144,0,1
1000000,89433,0,0
1000000,89163,0,0
1000000,89312,0,1
1000000,89475,0,1
1000000,90123,0,0
1000000,88878,0,0
1000000,89763,0,0
1000000,88855,0,1
1000000,89320,0,1
1000000,89191,0,0
1000000,89182,0,1
1000000,89826,0,0
1000000,89520,0,2
1000000,89832,0,1
1000000,89127,0,2
1000000,89381,0,1
1000000,89898,0,0
1000000,88992,0,1
1000000,88947,0,1
1000000,89724,0,2
1000000,89601,0,1
1000000,89145,0,1
1000000,89971,0,0
1000000,89642,0,1
1000000,90056,0,1
1000000,89578,0,1
1000000,89400,0,1
1000000,89335,0,1
1000000,89384,0,0
1000000,89598,0,1
1000000,89198,0,1
1000000,89231,0,0
1000000,89201,0,0
1000000,89642,0,0
1000000,89898,0,0
1000000,89569,0,0
1000000,89674,0,1
1000000,89449,0,1
1000000,89413,0,0
1000000,89702,0,1
1000000,89154,0,2
1000000,89518,0,0
1000000,89679,0,0
1000000,89516,0,0
1000000,89041,0,0
1000000,89577,0,0
1000000,89935,0,1
1000000,89506,0,0
1000000,89510,0,1
1000000,89604,0,0
1000000,89561,0,1
1000000,89163,0,1
1000000,89614,0,1
1000000,89740,0,0
1000000,89496,0,2
1000000,90137,0,1
1000000,89542,0,1
1000000,89295,0,0
1000000,89475,0,0
1000000,89585,0,0
1000000,89442,0,0
1000000,89732,0,0
1000000,90107,0,1
1000000,90009,0,0
1000000,89626,0,0
1000000,89764,0,0
1000000,90158,0,1
1000000,89554,0,0
1000000,88912,0,0
1000000,89929,0,0
1000000,89575,0,0
1000000,89001,0,2
1000000,89328,0,2
1000000,89782,0,2
1000000,89614,0,0
1000000,89240,0,1
1000000,89326,0,0
1000000,89028,0,0
1000000,89577,0,1
1000000,89773,0,1
1000000,89712,0,1
1000000,89933,0,0
1000000,89646,0,2
1000000,89591,0,2
1000000,89439,0,1
1000000,89385,0,1
1000000,89564,0,1
1000000,89835,0,1
1000000,89989,0,0
1000000,89921,0,1
1000000,89663,0,3
1000000,89512,0,0
1000000,89416,0,2
1000000,89618,0,1
1000000,88847,0,0
1000000,89564,0,0
1000000,89920,0,0
1000000,89855,0,0
1000000,89620,0,2
1000000,89299,0,1
1000000,89647,0,0
1000000,89658,0,0
1000000,89920,0,2
1000000,89912,0,0
1000000,89552,0,1
1000000,89627,0,0
1000000,89396,0,2
1000000,88706,0,0
1000000,89206,0,0
1000000,89300,0,1
1000000,89779,0,0
1000000,89625,0,2
1000000,90065,0,1
1000000,89543,0,0
1000000,90050,0,0
1000000,89179,0,2
1000000,89536,0,1
1000000,89569,0,0
1000000,89535,0,0
1000000,90018,0,0
1000000,89647,0,1
1000000,89123,0,1
1000000,89512,0,0
1000000,89614,0,2
1000000,89511,0,3
1000000,89387,0,2
1000000,88992,0,0
1000000,89460,0,1
1000000,89798,0,2
1000000,89914,0,1
1000000,89557,0,1
1000000,90015,0,0
1000000,89182,0,0
1000000,89287,0,1
1000000,89911,0,0
1000000,88881,0,2
1000000,88911,0,1
1000000,89587,0,1
1000000,89908,0,3
1000000,89807,0,0
1000000,89059,0,1
1000000,89930,0,0
1000000,89664,0,0
1000000,89719,0,2
1000000,89714,0,1
1000000,89643,0,0
1000000,89407,0,1
1000000,89786,0,2
1000000,89836,0,2
1000000,89552,0,0
1000000,89417,0,1
1000000,89667,0,1
1000000,89410,0,1
1000000,89066,0,2
1000000,89898,0,0
1000000,89155,0,1
1000000,89923,0,1
1000000,89715,0,0
1000000,89256,0,1
1000000,89680,0,1
1000000,89820,0,3
1000000,89755,0,0
1000000,89295,0,1
1000000,89351,0,2
1000000,89923,0,1
1000000,89167,0,0
1000000,89793,0,1
1000000,89380,0,0
1000000,89090,0,0
1000000,89242,0,1
1000000,89560,0,3
1000000,89781,0,2
1000000,89897,0,1
1000000,89786,0,1
1000000,89845,0,2
1000000,89929,0,0
1000000,89788,0,0
1000000,89817,0,0
1000000,89781,0,0
1000000,89450,0,0
1000000,89539,0,0
1000000,89430,0,2
1000000,90246,0,1
1000000,89748,0,0
1000000,89332,0,0
1000000,89185,0,0
1000000,89254,0,4
1000000,89893,0,2
1000000,89491,0,1
1000000,90159,0,0
1000000,89625,0,0
1000000,89283,0,0
1000000,90110,0,1
1000000,88982,0,3
1000000,89532,0,0
1000000,89879,0,2
1000000,90022,0,0
1000000,89533,0,0
1000000,89556,0,0
1000000,89860,0,1
1000000,90208,0,1
1000000,89429,0,1
1000000,89667,0,1
1000000,89796,0,0
1000000,89179,0,2
1000000,89459,0,1
1000000,88967,0,2
1000000,89570,0,1
1000000,89796,0,1
1000000,89355,0,1
1000000,89319,0,0
1000000,89905,0,0
1000000,89655,0,2
1000000,89409,0,0
1000000,89682,0,0
1000000,89524,0,1
1000000,89292,0,3
1000000,89625,0,2
1000000,89618,0,2
1000000,89303,0,0
1000000,89201,0,1
1000000,89113,0,3
1000000,89813,0,0
1000000,89436,0,0
1000000,89691,0,1
1000000,89446,0,2
1000000,89265,0,1
1000000,89214,0,0
1000000,89907,0,0
1000000,89537,0,2
1000000,89708,0,3
1000000,89650,0,1
1000000,89461,0,0
1000000,89677,0,2
1000000,89445,0,1
1000000,89514,0,0
1000000,89674,0,0
1000000,89132,0,0
1000000,89897,0,0
1000000,89956,0,1
1000000,89525,0,2
1000000,89352,0,0
1000000,89814,0,0
1000000,89224,0,0
1000000,90128,0,4
1000000,89388,0,2
1000000,89746,0,1
1000000,89460,0,1
1000000,89198,0,0
1000000,89566,0,0
1000000,89000,0,1
1000000,89714,0,1
1000000,89366,0,1
1000000,89086,0,1
1000000,89678,0,1
1000000,89967,0,3
1000000,89913,0,1
1000000,89692,0,2
1000000,89562,0,0
1000000,89489,0,1
1000000,89684,0,1
1000000,89629,0,0
1000000,89829,0,0
