total_shots,num_flagged,num_discarded,num_incorrect
1000000,89999,0,0
1000000,90253,0,1
1000000,90399,0,0
1000000,89963,0,1
1000000,89967,0,1
1000000,90346,0,1
1000000,89808,0,1
1000000,90064,0,1
1000000,89998,0,0
1000000,89904,0,0
1000000,90188,0,0
1000000,89881,0,1
1000000,90338,0,1
1000000,90651,0,0
1000000,89828,0,0
1000000,89257,0,1
1000000,89466,0,2
1000000,89710,0,1
1000000,89351,0,0
1000000,89750,0,0
1000000,89589,0,0
1000000,89497,0,0
1000000,89547,0,2
1000000,89568,0,1
1000000,89488,0,1
1000000,89778,0,0
1000000,89958,0,0
1000000,89736,0,0
1000000,90335,0,0
1000000,89634,0,3
1000000,89073,0,0
1000000,90041,0,1
1000000,89873,0,0
1000000,89791,0,1
1000000,90187,0,1
1000000,90107,0,0
1000000,89999,0,0
1000000,89685,0,1
1000000,89461,0,0
1000000,90388,0,1
1000000,89964,0,1
1000000,89729,0,0
1000000,89912,0,0
1000000,89774,0,1
1000000,89734,0,2
1000000,90118,0,0
1000000,90653,0,2
1000000,89721,0,3
1000000,90209,0,1
1000000,90603,0,1
1000000,89752,0,0
1000000,90155,0,1
1000000,89561,0,0
1000000,89728,0,1
1000000,89674,0,3
1000000,89749,0,0
1000000,89885,0,1
1000000,89514,0,1
1000000,89919,0,1
1000000,90176,0,1
1000000,89622,0,0
1000000,89560,0,0
1000000,89841,0,0
1000000,90169,0,0
1000000,89919,0,1
1000000,89911,0,0
1000000,89786,0,3
1000000,89523,0,0
1000000,89684,0,1
1000000,90185,0,1
1000000,89796,0,0
1000000,89429,0,1
1000000,90125,0,2
1000000,89843,0,0
1000000,89966,0,1
1000000,89558,0,0
1000000,89769,0,0
1000000,90392,0,2
1000000,89970,0,1
1000000,89592,0,0
1000000,89680,0,0
1000000,89919,0,0
1000000,90041,0,1
1000000,89606,0,0
1000000,90182,0,1
1000000,89832,0,2
1000000,90141,0,0
1000000,89815,0,1
1000000,89979,0,0
1000000,89469,0,1
1000000,89382,0,2
1000000,88836,0,0
1000000,90492,0,1
1000000,89798,0,0
1000000,90082,0,1
1000000,89664,0,0
1000000,89689,0,0
1000000,89347,0,0
1000000,89806,0,0
1000000,89819,0,1
1000000,89600,0,0
1000000,89599,0,0
1000000,89838,0,3
1000000,89877,0,1
1000000,89745,0,0
1000000,89655,0,1
1000000,89971,0,0
1000000,89869,0,0
1000000,89791,0,1
1000000,90167,0,2
1000000,90758,0,0
1000000,89700,0,0
1000000,89699,0,0
1000000,89883,0,0
1000000,89995,0,1
1000000,89766,0,0
1000000,89721,0,0
1000000,89916,0,0
1000000,90045,0,2
1000000,89836,0,0
1000000,89965,0,1
1000000,89826,0,2
1000000,90235,0,1
1000000,89837,0,2
1000000,89803,0,1
1000000,89764,0,0
1000000,90313,0,2
1000000,90032,0,3
1000000,89685,0,0
1000000,90248,0,0
1000000,90182,0,1
1000000,89976,0,0
1000000,89963,0,2
1000000,90144,0,1
1000000,89710,0,0
1000000,89976,0,2
1000000,89992,0,1
1000000,89673,0,1
1000000,90036,0,2
1000000,89879,0,0
1000000,89655,0,3
1000000,90331,0,1
1000000,89731,0,0
1000000,89931,0,2
1000000,89244,0,0
1000000,89835,0,2
1000000,90309,0,3
1000000,89800,0,1
1000000,90171,0,0
1000000,90097,0,1
1000000,89779,0,0
1000000,89558,0,0
1000000,89912,0,0
1000000,89996,0,1
1000000,89605,0,1
1000000,89831,0,2
1000000,90209,0,0
1000000,89338,0,3
1000000,89907,0,1
1000000,90352,0,2
1000000,89766,0,0
1000000,89268,0,1
1000000,90049,0,0
1000000,89791,0,0
1000000,90162,0,1
1000000,89832,0,1
1000000,89634,0,2
1000000,90008,0,2
1000000,89558,0,1
1000000,89993,0,0
1000000,89554,0,1
1000000,90178,0,1
1000000,89910,0,1
1000000,89695,0,0
1000000,90153,0,1
1000000,90298,0,1
1000000,89544,0,0
1000000,89935,0,1
1000000,89953,0,0
1000000,89982,0,0
1000000,90158,0,1
1000000,89769,0,2
1000000,90151,0,0
1000000,89657,0,0
1000000,89756,0,0
1000000,89632,0,0
1000000,90201,0,1
1000000,89631,0,0
1000000,90182,0,1
1000000,89796,0,0
1000000,89751,0,0
1000000,89856,0,2
1000000,89518,0,1
1000000,90040,0,0
1000000,90147,0,0
1000000,89143,0,0
1000000,90108,0,0
1000000,90185,0,1
1000000,89486,0,0
1000000,89555,0,1
1000000,89489,0,0
1000000,90114,0,0
1000000,90023,0,2
1000000,89670,0,0
1000000,89309,0,3
1000000,90115,0,0
1000000,89493,0,0
1000000,90331,0,2
1000000,89890,0,0
1000000,89907,0,2
1000000,89646,0,0
1000000,90093,0,0
1000000,90113,0,1
1000000,89787,0,0
1000000,89745,0,1
1000000,89896,0,2
1000000,89579,0,1
1000000,89909,0,1
1000000,90293,0,4
1000000,90240,0,0
1000000,90160,0,2
1000000,90047,0,3
1000000,89745,0,0
1000000,90019,0,0
1000000,89604,0,1
1000000,89809,0,1
1000000,89970,0,1
1000000,89408,0,0
1000000,89357,0,2
1000000,89884,0,3
1000000,90489,0,1
1000000,90270,0,2
1000000,90196,0,0
1000000,89711,0,0
1000000,89650,0,2
1000000,89726,0,0
1000000,89907,0,0
1000000,89973,0,1
1000000,89711,0,0
1000000,90280,0,1
1000000,89982,0,2
1000000,89628,0,3
1000000,89495,0,0
1000000,89989,0,1
1000000,90172,0,0
1000000,89567,0,3
1000000,89600,0,0
1000000,90002,0,0
1000000,90021,0,1
1000000,89886,0,0
1000000,90164,0,0
1000000,89734,0,0
1000000,89845,0,0
1000000,89914,0,1
1000000,89417,0,0
1000000,90052,0,0
1000000,90242,0,0
1000000,90094,0,1
1000000,89201,0,0
1000000,89777,0,0
1000000,89842,0,1
1000000,90354,0,0
1000000,89601,0,1
1000000,89808,0,0
1000000,90333,0,2
1000000,89905,0,0
1000000,89814,0,1
1000000,90310,0,1
1000000,89743,0,2
1000000,90190,0,1
1000000,90330,0,2
1000000,90297,0,2
1000000,89643,0,2
1000000,89740,0,1
1000000,90429,0,0
1000000,89710,0,0
1000000,89762,0,1
1000000,89703,0,0
1000000,89678,0,2
1000000,89616,0,0
1000000,90219,0,0
1000000,89924,0,1
1000000,90128,0,0
1000000,89920,0,0
1000000,89943,0,2
1000000,90259,0,0
1000000,89824,0,0
1000000,89120,0,1
1000000,89835,0,1
1000000,90129,0,1
1000000,89728,0,0
1000000,89421,0,0
1000000,89693,0,0
1000000,90415,0,1
1000000,89939,0,0
1000000,89451,0,0
1000000,89791,0,0
1000000,89605,0,1
1000000,90057,0,0
1000000,89669,0,0
1000000,89437,0,0
1000000,89775,0,0
1000000,90243,0,1
1000000,89946,0,1
1000000,89705,0,2
1000000,90230,0,1
1000000,89723,0,0
1000000,89691,0,2
1000000,89564,0,1
1000000,89889,0,0
1000000,89949,0,0
1000000,90053,0,2
1000000,90267,0,0
1000000,89428,0,1
1000000,89652,0,0
1000000,89644,0,0
1000000,89313,0,0
1000000,90095,0,0
1000000,89872,0,1
1000000,89981,0,1
1000000,89689,0,1
1000000,89824,0,1
1000000,90435,0,0
1000000,89262,0,1
1000000,90191,0,0
1000000,89418,0,0
1000000,89854,0,0
1000000,89699,0,1
1000000,90165,0,1
1000000,89890,0,2
1000000,89978,0,0
1000000,89464,0,0
1000000,89976,0,0
1000000,90093,0,0
1000000,89526,0,0
1000000,89583,0,0
1000000,89598,0,1
1000000,89604,0,0
1000000,89871,0,0
1000000,90068,0,0
1000000,89704,0,0
1000000,89639,0,1
1000000,89808,0,1
1000000,89482,0,0
1000000,89742,0,2
1000000,89411,0,1
1000000,90022,0,1
1000000,90036,0,0
1000000,89858,0,0
1000000,89665,0,0
1000000,89616,0,0
1000000,89666,0,0
1000000,90091,0,1
1000000,90191,0,0
1000000,90034,0,0
1000000,89329,0,2
1000000,90368,0,0
1000000,89769,0,4
1000000,89936,0,0
1000000,90121,0,0
1000000,89952,0,2
1000000,90021,0,1
1000000,90111,0,1
1000000,89457,0,0
1000000,89742,0,1
1000000,89897,0,1
1000000,89648,0,0
1000000,89645,0,2
1000000,89997,0,0
1000000,90020,0,1
1000000,89990,0,0
1000000,89949,0,2
1000000,90304,0,1
1000000,90378,0,0
1000000,90113,0,0
1000000,90247,0,0
1000000,89912,0,1
1000000,89556,0,0
1000000,89653,0,1
1000000,90295,0,0
1000000,89431,0,0
1000000,89700,0,1
1000000,90317,0,1
1000000,89904,0,2
1000000,90010,0,2
1000000,89799,0,1
1000000,89825,0,0
1000000,90185,0,1
1000000,89878,0,0
1000000,90203,0,2
1000000,89573,0,1
1000000,90052,0,1
1000000,89823,0,0
1000000,89478,0,0
1000000,90128,0,0
1000000,89746,0,0
1000000,89791,0,0
1000000,90111,0,1
1000000,89813,0,1
1000000,90015,0,1
1000000,90082,0,1
1000000,89765,0,1
1000000,90283,0,0
1000000,89496,0,0
1000000,89578,0,3
1000000,89336,0,0
1000000,89793,0,1
1000000,90102,0,1
1000000,90137,0,0
1000000,90011,0,2
1000000,89740,0,1
1000000,89759,0,2
1000000,90108,0,0
1000000,90071,0,0
1000000,89811,0,2
1000000,89896,0,1
1000000,90488,0,0
1000000,89570,0,1
1000000,90051,0,1
1000000,89833,0,0
1000000,90114,0,0
1000000,90054,0,0
1000000,90211,0,1
1000000,89869,0,2
1000000,90452,0,1
1000000,90346,0,0
1000000,89887,0,0
1000000,89958,0,1
1000000,89881,0,0
1000000,89891,0,0
1000000,89957,0,2
1000000,89766,0,0
1000000,89494,0,1
1000000,89865,0,0
1000000,90134,0,3
1000000,90241,0,0
1000000,89782,0,0
1000000,90146,0,1
1000000,90458,0,0
1000000,89954,0,2
1000000,89385,0,2
1000000,89994,0,2
1000000,89825,0,3
1000000,90229,0,1
1000000,89914,0,2
1000000,89868,0,1
1000000,90509,0,0
1000000,89651,0,0
1000000,89712,0,2
1000000,89952,0,1
1000000,90003,0,3
1000000,89595,0,1
1000000,89672,0,0
1000000,90018,0,0
1000000,89919,0,1
1000000,89859,0,1
1000000,90029,0,1
1000000,89599,0,3
1000000,89378,0,1
1000000,90083,0,0
1000000,89545,0,2
1000000,90046,0,1
1000000,90194,0,0
1000000,89585,0,2
1000000,89515,0,0
1000000,90010,0,0
1000000,90439,0,4
1000000,89750,0,1
1000000,89499,0,0
1000000,89677,0,2
1000000,89660,0,3
1000000,89870,0,3
1000000,90616,0,0
1000000,89948,0,3
1000000,89531,0,1
1000000,89531,0,0
1000000,89404,0,1
1000000,89914,0,1
1000000,90065,0,2
1000000,90299,0,0
1000000,90115,0,2
1000000,90048,0,0
1000000,90304,0,0
1000000,89811,0,0
1000000,89618,0,0
1000000,89849,0,0
1000000,89798,0,0
1000000,90339,0,0
1000000,89272,0,0
1000000,89631,0,2
1000000,90071,0,1
1000000,90210,0,1
1000000,89673,0,0
1000000,90420,0,1
1000000,90332,0,0
1000000,89683,0,0
1000000,89577,0,1
1000000,90203,0,1
1000000,89210,0,1
1000000,90351,0,3
1000000,89685,0,0
1000000,89816,0,1
1000000,89642,0,3
1000000,89853,0,0
1000000,89837,0,1
1000000,90080,0,1
1000000,89873,0,1
1000000,89608,0,2
1000000,89581,0,4
1000000,89586,0,0
1000000,90314,0,0
1000000,89910,0,1
1000000,89713,0,1
1000000,89431,0,0
1000000,89992,0,0
1000000,89700,0,1
1000000,89529,0,3
1000000,90733,0,2
1000000,90170,0,0
1000000,89356,0,2
1000000,89975,0,0
1000000,89810,0,1
1000000,89470,0,0
1000000,89573,0,1
1000000,89725,0,0
1000000,90223,0,3
1000000,89918,0,0
1000000,89576,0,2
1000000,89821,0,1
1000000,89650,0,0
1000000,89581,0,0
1000000,90108,0,0
1000000,89958,0,2
1000000,89618,0,0
1000000,89948,0,1
1000000,89924,0,0
1000000,90479,0,0
1000000,90250,0,1
1000000,90124,0,0
1000000,89943,0,0
1000000,89761,0,0
1000000,90337,0,1
1000000,90358,0,0
1000000,89946,0,1
1000000,89539,0,1
1000000,89666,0,0
1000000,90561,0,0
1000000,89522,0,0
1000000,89918,0,1
1000000,89819,0,1
