total_shots,num_flagged,num_discarded,num_incorrect
1000000,90753,0,1
1000000,90465,0,1
1000000,90311,0,1
1000000,90939,0,3
1000000,89889,0,0
1000000,90668,0,1
1000000,90792,0,0
1000000,90376,0,1
1000000,90760,0,1
1000000,90655,0,1
1000000,90124,0,0
1000000,90543,0,0
1000000,90657,0,0
1000000,90403,0,1
1000000,90291,0,3
1000000,90597,0,0
1000000,90082,0,1
1000000,90277,0,0
1000000,89986,0,3
1000000,90624,0,0
1000000,90755,0,1
1000000,90714,0,0
1000000,90315,0,1
1000000,90500,0,1
1000000,90310,0,2
1000000,90651,0,1
1000000,91321,0,0
1000000,90803,0,0
1000000,90362,0,1
1000000,90184,0,1
1000000,90972,0,0
1000000,90625,0,0
1000000,90296,0,0
1000000,90275,0,1
1000000,89984,0,0
1000000,90767,0,0
1000000,90710,0,1
1000000,90255,0,1
1000000,90523,0,1
1000000,89916,0,3
1000000,90811,0,3
1000000,90851,0,0
1000000,90159,0,0
1000000,90097,0,2
1000000,90152,0,0
1000000,90606,0,3
1000000,90658,0,1
1000000,90564,0,0
1000000,90533,0,0
1000000,90827,0,3
1000000,90900,0,1
1000000,90496,0,0
1000000,90912,0,1
1000000,90926,0,0
1000000,90802,0,1
1000000,90670,0,0
1000000,90856,0,1
1000000,90565,0,0
1000000,90111,0,1
1000000,90736,0,1
1000000,90000,0,1
1000000,90342,0,1
1000000,90561,0,1
1000000,90575,0,0
1000000,90556,0,1
1000000,90414,0,0
1000000,91040,0,1
1000000,91023,0,0
1000000,91504,0,0
1000000,90835,0,1
1000000,90493,0,1
1000000,90357,0,1
1000000,91145,0,1
1000000,90390,0,1
1000000,90866,0,1
1000000,90515,0,0
1000000,90781,0,0
1000000,90488,0,2
1000000,90058,0,0
1000000,90389,0,1
1000000,90680,0,2
1000000,91305,0,0
1000000,90510,0,0
1000000,90811,0,0
1000000,90226,0,0
1000000,90205,0,0
1000000,89944,0,0
1000000,90543,0,0
1000000,90523,0,0
1000000,90363,0,1
1000000,90434,0,0
1000000,90669,0,1
1000000,90281,0,1
1000000,90546,0,0
1000000,90378,0,0
1000000,90555,0,1
1000000,90703,0,2
1000000,90418,0,0
1000000,90513,0,0
1000000,90716,0,1
1000000,90772,0,0
1000000,90451,0,1
1000000,90101,0,0
1000000,90561,0,0
1000000,90706,0,2
1000000,90454,0,0
1000000,90786,0,1
1000000,90203,0,1
1000000,90330,0,1
1000000,90223,0,0
1000000,91103,0,2
1000000,90656,0,1
1000000,90678,0,1
1000000,90650,0,0
1000000,90436,0,2
1000000,90984,0,1
1000000,90768,0,1
1000000,90590,0,0
1000000,90724,0,5
1000000,90277,0,1
1000000,90687,0,0
1000000,90655,0,0
1000000,89978,0,1
1000000,90186,0,1
1000000,90700,0,1
1000000,90699,0,0
1000000,90577,0,2
1000000,90740,0,2
1000000,90274,0,0
1000000,90594,0,0
1000000,90797,0,0
1000000,90407,0,3
1000000,90673,0,1
1000000,90512,0,2
1000000,90844,0,1
1000000,90488,0,2
1000000,90093,0,1
1000000,90593,0,0
1000000,90183,0,2
1000000,90547,0,0
1000000,89906,0,1
1000000,90408,0,1
1000000,90388,0,1
1000000,90505,0,1
1000000,90492,0,0
1000000,90863,0,2
1000000,90421,0,1
1000000,90396,0,0
1000000,90708,0,0
1000000,90086,0,2
1000000,90381,0,1
1000000,90832,0,0
1000000,90091,0,0
1000000,90559,0,0
1000000,90511,0,2
1000000,90125,0,0
1000000,90596,0,2
1000000,90650,0,1
1000000,90863,0,1
1000000,90779,0,2
1000000,91310,0,0
1000000,91074,0,2
1000000,90993,0,2
1000000,90434,0,1
1000000,90313,0,1
1000000,90993,0,0
1000000,91057,0,0
1000000,90258,0,1
1000000,90510,0,1
1000000,91125,0,3
1000000,90256,0,0
1000000,91150,0,1
1000000,90307,0,1
1000000,90631,0,1
1000000,90626,0,0
1000000,90376,0,0
1000000,91200,0,0
1000000,90935,0,0
1000000,89907,0,4
1000000,90895,0,0
1000000,90872,0,1
1000000,90746,0,0
1000000,90849,0,2
1000000,90470,0,1
1000000,90729,0,0
1000000,90696,0,2
1000000,90867,0,0
1000000,90820,0,2
1000000,90184,0,3
1000000,90164,0,2
1000000,90798,0,1
1000000,90977,0,1
1000000,90696,0,1
1000000,90668,0,2
1000000,90697,0,0
1000000,90749,0,0
1000000,90902,0,3
1000000,90634,0,0
1000000,90666,0,1
1000000,90475,0,1
1000000,90450,0,0
1000000,90249,0,0
1000000,90326,0,0
1000000,90805,0,0
1000000,90855,0,0
1000000,90480,0,1
1000000,89957,0,2
1000000,90503,0,0
1000000,90510,0,3
1000000,91012,0,1
1000000,90714,0,0
1000000,90319,0,0
1000000,91271,0,1
1000000,90683,0,1
1000000,90843,0,1
1000000,90577,0,4
1000000,91070,0,2
1000000,91167,0,1
1000000,90250,0,0
1000000,90868,0,2
1000000,90272,0,0
1000000,90728,0,1
1000000,90670,0,0
1000000,90759,0,0
1000000,90523,0,1
1000000,90961,0,1
1000000,90441,0,1
1000000,90327,0,1
1000000,90564,0,1
1000000,90197,0,1
1000000,89777,0,1
1000000,90767,0,1
1000000,90385,0,2
1000000,90745,0,1
1000000,90339,0,2
1000000,90565,0,1
1000000,90564,0,1
1000000,90440,0,0
1000000,91012,0,0
1000000,90626,0,1
1000000,90990,0,3
1000000,90306,0,0
1000000,90658,0,1
1000000,90410,0,1
1000000,90124,0,1
1000000,90959,0,1
1000000,90422,0,2
1000000,90430,0,0
1000000,90342,0,1
1000000,90678,0,0
1000000,90451,0,1
1000000,90464,0,2
1000000,90213,0,0
1000000,90312,0,2
1000000,90135,0,0
1000000,90789,0,0
1000000,90384,0,0
1000000,90342,0,1
1000000,90514,0,0
1000000,90664,0,2
1000000,90785,0,1
1000000,90506,0,0
1000000,90845,0,1
1000000,90728,0,1
1000000,90344,0,1
1000000,91276,0,2
1000000,90606,0,0
1000000,89791,0,1
1000000,90756,0,2
1000000,90254,0,0
1000000,90689,0,0
1000000,91052,0,0
1000000,90954,0,0
1000000,90544,0,0
1000000,90290,0,2
1000000,90863,0,0
1000000,91012,0,2
1000000,90119,0,1
1000000,90725,0,0
1000000,91388,0,0
1000000,90948,0,0
1000000,90402,0,0
1000000,90470,0,0
1000000,90652,0,0
1000000,90741,0,0
1000000,90575,0,1
1000000,90843,0,3
1000000,90143,0,0
1000000,90792,0,0
1000000,90485,0,0
1000000,90806,0,1
