total_shots,num_flagged,num_discarded,num_incorrect
1000000,89797,0,1
1000000,90037,0,0
1000000,89580,0,3
1000000,90051,0,0
1000000,89988,0,2
1000000,89863,0,0
1000000,89271,0,1
1000000,89807,0,0
1000000,90119,0,0
1000000,90031,0,2
1000000,89740,0,2
1000000,89469,0,1
1000000,90147,0,1
1000000,90160,0,0
1000000,90191,0,3
1000000,89818,0,0
1000000,90033,0,0
1000000,89967,0,2
1000000,89659,0,0
1000000,89911,0,3
1000000,90247,0,0
1000000,90437,0,0
1000000,89841,0,1
1000000,89593,0,1
1000000,89859,0,0
1000000,89894,0,0
1000000,90103,0,0
1000000,89899,0,0
1000000,89611,0,2
1000000,89570,0,2
1000000,89259,0,1
1000000,90456,0,1
1000000,89627,0,1
1000000,89950,0,1
1000000,89990,0,1
1000000,89836,0,1
1000000,90492,0,0
1000000,89839,0,0
1000000,89863,0,1
1000000,89762,0,1
1000000,90119,0,0
1000000,89650,0,4
1000000,89887,0,0
1000000,90529,0,1
1000000,89929,0,0
1000000,89808,0,2
1000000,89963,0,1
1000000,90113,0,3
1000000,89839,0,0
1000000,90139,0,1
1000000,89600,0,1
1000000,89851,0,1
1000000,89977,0,1
1000000,90022,0,1
1000000,89846,0,1
1000000,90344,0,0
1000000,89751,0,1
1000000,89917,0,0
1000000,89973,0,0
1000000,89484,0,0
1000000,89682,0,2
1000000,90343,0,1
1000000,90497,0,0
1000000,90224,0,1
1000000,90337,0,1
1000000,89961,0,0
1000000,89839,0,0
1000000,90199,0,0
1000000,89839,0,0
1000000,89870,0,1
1000000,89738,0,0
1000000,90139,0,2
1000000,90141,0,1
1000000,90378,0,3
1000000,89690,0,2
1000000,90029,0,0
1000000,90315,0,0
1000000,90221,0,2
1000000,89778,0,1
1000000,89669,0,1
1000000,89614,0,2
1000000,90065,0,0
1000000,89759,0,1
1000000,89691,0,1
1000000,90062,0,2
1000000,89982,0,1
1000000,89378,0,1
1000000,90212,0,3
1000000,89875,0,0
1000000,89922,0,2
1000000,89657,0,5
1000000,90266,0,1
1000000,90158,0,0
1000000,90250,0,0
1000000,90070,0,0
1000000,89669,0,2
1000000,89746,0,2
1000000,90011,0,0
1000000,90163,0,0
1000000,89923,0,1
1000000,90236,0,0
1000000,90446,0,3
1000000,89353,0,0
1000000,89654,0,0
1000000,90412,0,0
1000000,90276,0,0
1000000,90003,0,1
1000000,89636,0,0
1000000,89898,0,0
1000000,89988,0,1
1000000,90117,0,1
1000000,90523,0,1
1000000,90172,0,1
1000000,90475,0,0
1000000,90082,0,1
1000000,89551,0,2
1000000,89810,0,2
1000000,89854,0,0
1000000,89445,0,1
1000000,89817,0,0
1000000,89519,0,0
1000000,89849,0,1
1000000,89594,0,0
1000000,89683,0,0
1000000,89731,0,1
1000000,89703,0,0
1000000,89893,0,0
1000000,89923,0,1
1000000,89760,0,1
1000000,90175,0,2
1000000,90092,0,3
1000000,89648,0,0
1000000,89870,0,0
1000000,89913,0,2
1000000,90022,0,0
1000000,90096,0,0
1000000,89752,0,0
1000000,90019,0,0
1000000,89765,0,2
1000000,90567,0,0
1000000,89758,0,1
1000000,89748,0,0
1000000,89894,0,1
1000000,90236,0,1
1000000,89746,0,0
1000000,89618,0,0
1000000,89528,0,0
1000000,89653,0,0
1000000,89382,0,1
1000000,89788,0,1
1000000,90004,0,1
1000000,89951,0,2
1000000,89965,0,0
1000000,89665,0,1
1000000,89939,0,1
1000000,89849,0,1
1000000,90348,0,0
1000000,90090,0,0
1000000,89521,0,1
1000000,89505,0,1
1000000,89752,0,1
1000000,89667,0,1
1000000,89945,0,1
1000000,89461,0,0
1000000,89946,0,0
1000000,89722,0,1
1000000,89863,0,0
1000000,89338,0,3
1000000,89426,0,1
1000000,89813,0,4
1000000,89927,0,0
1000000,90041,0,1
1000000,89790,0,1
1000000,89837,0,2
1000000,90012,0,2
1000000,90105,0,2
1000000,90033,0,0
1000000,90348,0,1
1000000,89728,0,1
1000000,90044,0,1
1000000,90247,0,1
1000000,89523,0,2
1000000,89718,0,1
1000000,89671,0,0
1000000,89811,0,1
1000000,89549,0,1
1000000,90480,0,2
1000000,89904,0,0
1000000,89967,0,0
1000000,90385,0,0
1000000,89730,0,0
1000000,90208,0,3
1000000,89925,0,0
1000000,90134,0,2
1000000,89805,0,2
1000000,89821,0,1
1000000,89829,0,0
1000000,90427,0,0
1000000,89916,0,0
1000000,89997,0,0
1000000,89853,0,0
1000000,90042,0,0
1000000,89941,0,1
1000000,90088,0,1
1000000,89880,0,0
1000000,90266,0,0
1000000,90275,0,1
1000000,90454,0,2
1000000,90070,0,1
1000000,89935,0,1
1000000,90278,0,0
1000000,90037,0,1
1000000,90209,0,3
1000000,90254,0,1
1000000,89670,0,1
1000000,90054,0,2
1000000,89478,0,1
1000000,90564,0,0
1000000,89552,0,1
