total_shots,num_flagged,num_discarded,num_incorrect
1000000,88930,0,2
1000000,89187,0,1
1000000,89145,0,1
1000000,88453,0,1
1000000,89071,0,1
1000000,89141,0,0
1000000,89090,0,0
1000000,88998,0,1
1000000,89363,0,0
1000000,89378,0,1
1000000,88998,0,2
1000000,88588,0,0
1000000,89337,0,1
1000000,89647,0,2
1000000,88969,0,0
1000000,89213,0,0
1000000,88649,0,0
1000000,88688,0,1
1000000,89079,0,1
1000000,88673,0,1
1000000,88879,0,0
1000000,88744,0,0
1000000,90048,0,1
1000000,89298,0,0
1000000,89317,0,1
1000000,88974,0,2
1000000,88920,0,0
1000000,89064,0,0
1000000,89015,0,1
1000000,88949,0,2
1000000,89088,0,0
1000000,89368,0,0
1000000,88691,0,0
1000000,89139,0,0
1000000,89714,0,1
1000000,88702,0,1
1000000,89393,0,3
1000000,89239,0,1
1000000,89100,0,2
1000000,88638,0,1
1000000,89245,0,0
1000000,88920,0,2
1000000,89159,0,1
1000000,89591,0,0
1000000,89337,0,0
1000000,89182,0,1
1000000,89013,0,0
1000000,89157,0,0
1000000,89514,0,2
1000000,89476,0,0
1000000,88980,0,0
1000000,89150,0,0
1000000,89354,0,1
1000000,88846,0,2
1000000,89589,0,0
1000000,89016,0,1
1000000,88764,0,2
1000000,89610,0,1
1000000,89275,0,1
1000000,89393,0,0
1000000,88935,0,0
1000000,88962,0,1
1000000,89312,0,1
1000000,89089,0,1
1000000,88738,0,2
1000000,89116,0,1
1000000,88645,0,0
1000000,88732,0,0
1000000,88958,0,1
1000000,89446,0,1
1000000,88785,0,0
1000000,88741,0,0
1000000,89109,0,1
1000000,88818,0,2
1000000,88750,0,0
1000000,88905,0,0
1000000,88818,0,0
1000000,88698,0,0
1000000,88999,0,0
1000000,89329,0,1
1000000,89118,0,1
1000000,89206,0,2
1000000,88762,0,0
1000000,88664,0,2
1000000,88798,0,2
1000000,89435,0,0
1000000,89525,0,0
1000000,89264,0,1
1000000,88894,0,0
1000000,88845,0,1
1000000,89209,0,1
1000000,89200,0,2
1000000,89205,0,1
1000000,88964,0,0
1000000,88816,0,1
1000000,89060,0,3
1000000,89010,0,1
1000000,89552,0,0
1000000,88840,0,1
1000000,89213,0,0
1000000,88876,0,1
1000000,89638,0,0
1000000,89500,0,2
1000000,89055,0,0
1000000,89072,0,2
1000000,88701,0,1
1000000,88899,0,0
1000000,89487,0,1
1000000,89362,0,0
1000000,88625,0,3
1000000,88931,0,2
1000000,89604,0,2
1000000,89263,0,0
1000000,89274,0,1
1000000,89250,0,0
1000000,88925,0,0
1000000,89254,0,1
1000000,88760,0,0
1000000,88505,0,1
1000000,88834,0,2
1000000,89029,0,2
1000000,88840,0,0
1000000,89315,0,1
1000000,88932,0,2
1000000,88942,0,2
1000000,89047,0,1
1000000,89157,0,1
1000000,88929,0,1
1000000,88899,0,1
1000000,89115,0,1
1000000,88882,0,0
1000000,88529,0,1
1000000,89158,0,0
1000000,89156,0,1
1000000,89065,0,0
1000000,89297,0,0
1000000,89730,0,1
1000000,89421,0,2
1000000,89153,0,1
1000000,89065,0,0
1000000,89427,0,1
1000000,88354,0,1
1000000,89077,0,1
1000000,88804,0,0
1000000,88855,0,0
1000000,89196,0,0
1000000,88732,0,1
1000000,89556,0,0
1000000,88949,0,1
1000000,88770,0,0
1000000,88972,0,1
1000000,88850,0,1
1000000,89072,0,0
1000000,88846,0,0
1000000,89319,0,1
1000000,89221,0,2
1000000,88885,0,1
1000000,89116,0,1
1000000,89410,0,1
1000000,89181,0,0
1000000,88595,0,0
1000000,88615,0,3
1000000,88910,0,2
1000000,89335,0,1
1000000,89329,0,2
1000000,88928,0,0
1000000,88883,0,1
1000000,88830,0,1
1000000,88955,0,0
1000000,89055,0,0
1000000,89376,0,3
1000000,88845,0,0
1000000,89153,0,0
1000000,89338,0,3
1000000,89113,0,0
1000000,88574,0,0
1000000,88851,0,1
1000000,89357,0,0
1000000,88779,0,0
1000000,89425,0,2
1000000,88800,0,2
1000000,89238,0,0
1000000,89441,0,0
1000000,88923,0,0
1000000,89388,0,2
1000000,89266,0,1
1000000,88946,0,1
1000000,89022,0,0
1000000,89156,0,2
1000000,88700,0,1
1000000,89438,0,2
1000000,89270,0,1
1000000,88998,0,0
1000000,88584,0,0
1000000,88860,0,2
1000000,88905,0,0
1000000,88114,0,1
1000000,89222,0,1
1000000,89154,0,1
1000000,89367,0,1
1000000,89217,0,0
1000000,89287,0,0
1000000,89675,0,0
1000000,89061,0,2
1000000,88875,0,1
1000000,89006,0,1
1000000,89457,0,2
1000000,88844,0,1
1000000,89322,0,1
1000000,88652,0,2
1000000,88959,0,2
1000000,89244,0,2
1000000,89214,0,1
1000000,89407,0,0
1000000,88901,0,1
1000000,89024,0,0
1000000,88833,0,0
1000000,89367,0,1
1000000,88855,0,2
1000000,89398,0,0
1000000,89188,0,2
1000000,88914,0,0
1000000,88811,0,0
1000000,89075,0,2
1000000,89011,0,0
1000000,89466,0,0
1000000,89690,0,0
1000000,89385,0,0
1000000,88412,0,1
