total_shots,num_flagged,num_discarded,num_incorrect
1000000,88205,0,0
1000000,88038,0,0
1000000,88151,0,2
1000000,88688,0,0
1000000,88620,0,1
1000000,88406,0,1
1000000,87930,0,1
1000000,88286,0,1
1000000,87942,0,0
1000000,88216,0,0
1000000,87831,0,2
1000000,87659,0,0
1000000,87869,0,0
1000000,88512,0,1
1000000,88131,0,1
1000000,88188,0,1
1000000,87880,0,0
1000000,87687,0,1
1000000,88255,0,0
1000000,88100,0,0
1000000,87437,0,1
1000000,87819,0,2
1000000,88012,0,1
1000000,88484,0,0
1000000,88426,0,0
1000000,88266,0,0
1000000,88220,0,1
1000000,87372,0,2
1000000,88124,0,2
1000000,87779,0,1
1000000,88309,0,0
1000000,88422,0,2
1000000,87676,0,0
1000000,88301,0,3
1000000,88667,0,0
1000000,88630,0,1
1000000,88123,0,1
1000000,88146,0,1
1000000,88315,0,0
1000000,88252,0,0
1000000,87812,0,2
1000000,88453,0,2
1000000,88214,0,0
1000000,87983,0,1
1000000,88311,0,0
1000000,88248,0,1
1000000,88026,0,0
1000000,87638,0,1
1000000,87917,0,0
1000000,87547,0,0
1000000,87758,0,1
1000000,88449,0,0
1000000,88036,0,0
1000000,88323,0,0
1000000,88535,0,2
1000000,88543,0,0
1000000,88253,0,0
1000000,87480,0,0
1000000,88005,0,0
1000000,88032,0,1
1000000,88135,0,1
1000000,88082,0,1
1000000,87835,0,0
1000000,87975,0,2
1000000,88055,0,0
1000000,88064,0,1
1000000,87723,0,1
1000000,88423,0,1
1000000,88184,0,0
1000000,88103,0,2
1000000,88149,0,0
1000000,88667,0,1
1000000,88290,0,0
1000000,88529,0,1
1000000,87845,0,4
1000000,88191,0,0
1000000,88354,0,1
1000000,88367,0,2
1000000,88074,0,1
1000000,87843,0,1
1000000,88028,0,2
1000000,88444,0,1
1000000,88168,0,1
1000000,87866,0,1
1000000,87689,0,0
1000000,88038,0,3
1000000,88244,0,2
1000000,87967,0,0
1000000,88338,0,0
1000000,88310,0,0
1000000,88308,0,0
1000000,88399,0,2
1000000,88263,0,1
1000000,88335,0,0
1000000,88169,0,1
1000000,88216,0,0
1000000,88353,0,0
1000000,88760,0,2
1000000,88186,0,1
1000000,88706,0,0
1000000,88068,0,1
1000000,87980,0,1
1000000,87879,0,2
1000000,88341,0,2
1000000,88103,0,1
1000000,88155,0,0
1000000,88300,0,0
1000000,88241,0,1
1000000,88253,0,1
1000000,87817,0,2
1000000,88486,0,1
1000000,87974,0,0
1000000,88427,0,2
1000000,88324,0,1
1000000,87869,0,0
1000000,88192,0,1
1000000,88162,0,1
1000000,88597,0,0
1000000,88184,0,0
1000000,88140,0,1
1000000,88096,0,1
1000000,88188,0,1
1000000,87576,0,1
1000000,88286,0,0
1000000,88231,0,1
1000000,88028,0,1
1000000,87897,0,0
1000000,88202,0,0
1000000,88438,0,1
1000000,88467,0,2
1000000,88358,0,1
1000000,88309,0,1
1000000,88000,0,3
1000000,88255,0,1
1000000,88358,0,1
1000000,87874,0,0
1000000,88463,0,0
1000000,87638,0,0
1000000,87863,0,0
1000000,88256,0,0
1000000,88201,0,1
1000000,87819,0,1
1000000,88258,0,0
1000000,87700,0,0
1000000,88461,0,1
1000000,88035,0,0
1000000,87823,0,1
1000000,87886,0,0
1000000,87812,0,1
1000000,88202,0,0
1000000,88257,0,0
1000000,88185,0,0
1000000,88319,0,4
1000000,87948,0,0
1000000,88126,0,2
1000000,88449,0,0
1000000,87991,0,1
1000000,88129,0,0
1000000,88266,0,2
1000000,87888,0,2
1000000,88188,0,0
1000000,88262,0,1
1000000,88205,0,1
1000000,88084,0,0
1000000,88072,0,2
1000000,87872,0,1
1000000,87635,0,0
1000000,88538,0,1
1000000,87993,0,0
1000000,88322,0,0
1000000,87913,0,1
1000000,88120,0,0
1000000,87789,0,0
1000000,88084,0,2
1000000,88544,0,0
1000000,88986,0,1
1000000,87500,0,1
1000000,87831,0,0
1000000,88439,0,0
1000000,87747,0,1
1000000,87516,0,1
1000000,88483,0,0
1000000,88122,0,1
1000000,88095,0,0
1000000,88395,0,0
1000000,88398,0,1
1000000,87988,0,1
1000000,88167,0,3
1000000,88196,0,0
1000000,87758,0,0
1000000,87876,0,2
1000000,88288,0,1
1000000,87920,0,0
1000000,88153,0,0
1000000,88365,0,2
1000000,88223,0,0
1000000,88591,0,3
1000000,88151,0,0
1000000,88594,0,0
1000000,88016,0,0
1000000,87589,0,0
1000000,88176,0,2
1000000,87922,0,2
1000000,88161,0,1
1000000,88066,0,1
1000000,88025,0,0
1000000,87849,0,0
1000000,87983,0,0
1000000,88635,0,1
1000000,88062,0,2
1000000,87878,0,1
1000000,88153,0,1
1000000,87898,0,0
1000000,88405,0,0
1000000,88271,0,0
1000000,87948,0,0
1000000,88293,0,0
1000000,87977,0,0
1000000,87955,0,0
1000000,87836,0,2
1000000,88434,0,3
1000000,87945,0,0
1000000,88422,0,0
1000000,88492,0,0
1000000,87988,0,2
1000000,88259,0,0
1000000,87814,0,0
1000000,88597,0,1
1000000,88237,0,3
1000000,88214,0,0
1000000,88315,0,0
1000000,87721,0,1
1000000,88728,0,0
1000000,88124,0,1
1000000,87848,0,1
1000000,87865,0,0
1000000,88293,0,1
1000000,88330,0,0
1000000,87839,0,1
1000000,88429,0,1
1000000,87515,0,1
1000000,88244,0,0
1000000,88260,0,0
1000000,88400,0,0
1000000,88369,0,1
1000000,88335,0,2
1000000,88555,0,0
1000000,87934,0,1
1000000,87974,0,1
1000000,88409,0,0
1000000,88111,0,0
1000000,88147,0,0
1000000,88713,0,0
1000000,88105,0,1
1000000,87877,0,0
1000000,87594,0,1
1000000,87653,0,2
1000000,87988,0,0
1000000,88241,0,0
1000000,88223,0,2
1000000,87729,0,1
1000000,88483,0,1
1000000,87847,0,1
1000000,87820,0,0
1000000,88186,0,0
1000000,88136,0,0
1000000,88011,0,2
1000000,87837,0,0
1000000,88352,0,1
1000000,88458,0,1
1000000,87935,0,1
1000000,87797,0,1
1000000,88293,0,0
1000000,87927,0,1
1000000,88205,0,1
1000000,87904,0,2
1000000,88381,0,0
1000000,88036,0,0
1000000,88378,0,1
1000000,88269,0,0
1000000,88245,0,0
1000000,88051,0,0
1000000,88477,0,2
1000000,88285,0,0
1000000,88393,0,1
1000000,87684,0,1
1000000,87812,0,0
1000000,87912,0,1
1000000,88025,0,0
1000000,88297,0,0
1000000,88455,0,1
1000000,88264,0,4
1000000,88164,0,0
1000000,88024,0,1
1000000,88323,0,1
1000000,88188,0,1
1000000,87567,0,0
1000000,88077,0,1
1000000,88043,0,1
1000000,87937,0,0
1000000,88234,0,4
1000000,87973,0,0
1000000,88682,0,1
1000000,88296,0,0
1000000,88239,0,3
1000000,87631,0,2
1000000,88172,0,1
1000000,88350,0,0
1000000,88197,0,1
1000000,88113,0,0
1000000,88396,0,1
1000000,87935,0,1
1000000,87947,0,0
1000000,88201,0,1
1000000,88273,0,3
1000000,88251,0,1
1000000,87630,0,0
1000000,87895,0,3
1000000,88328,0,1
1000000,88526,0,0
1000000,88031,0,2
1000000,88275,0,0
1000000,88158,0,0
1000000,88249,0,1
1000000,87892,0,0
1000000,88130,0,1
1000000,88035,0,0
1000000,88563,0,1
1000000,88213,0,1
1000000,87741,0,1
1000000,88509,0,0
1000000,88179,0,0
1000000,88515,0,0
1000000,88307,0,1
1000000,88105,0,0
1000000,87963,0,3
1000000,88453,0,0
1000000,88144,0,1
