total_shots,num_flagged,num_discarded,num_incorrect
1000000,86817,0,0
1000000,86652,0,0
1000000,86331,0,2
1000000,86984,0,1
1000000,86457,0,0
1000000,86793,0,1
1000000,86983,0,1
1000000,86581,0,0
1000000,86596,0,0
1000000,87329,0,0
1000000,87065,0,1
1000000,86414,0,1
1000000,86554,0,0
1000000,86988,0,1
1000000,86476,0,0
1000000,87043,0,1
1000000,86768,0,3
1000000,87131,0,0
1000000,86714,0,1
1000000,87045,0,1
1000000,86962,0,1
1000000,87126,0,0
1000000,87184,0,0
1000000,87054,0,2
1000000,87005,0,0
1000000,86768,0,0
1000000,86816,0,0
1000000,87015,0,2
1000000,86356,0,0
1000000,86544,0,1
1000000,86959,0,0
1000000,87191,0,0
1000000,86576,0,0
1000000,87370,0,0
1000000,87308,0,1
1000000,86597,0,0
1000000,86899,0,1
1000000,87307,0,0
1000000,86518,0,0
1000000,86979,0,0
1000000,87011,0,0
1000000,86372,0,0
1000000,86616,0,0
1000000,86790,0,0
1000000,87232,0,2
1000000,87283,0,1
1000000,86955,0,0
1000000,86313,0,0
1000000,86914,0,1
1000000,87332,0,3
1000000,86886,0,1
1000000,87302,0,0
1000000,86685,0,2
1000000,86643,0,0
1000000,86789,0,0
1000000,86294,0,1
1000000,87161,0,0
1000000,86912,0,0
1000000,87127,0,0
1000000,87093,0,1
1000000,87192,0,0
1000000,86666,0,1
1000000,87036,0,0
1000000,87325,0,2
1000000,86431,0,2
1000000,86815,0,0
1000000,86392,0,0
1000000,86569,0,2
1000000,86660,0,2
1000000,87086,0,1
1000000,86824,0,0
1000000,86381,0,1
1000000,86816,0,1
1000000,87204,0,1
1000000,87492,0,0
1000000,87135,0,0
1000000,87217,0,2
1000000,87242,0,1
1000000,86784,0,1
1000000,86949,0,1
1000000,86745,0,0
1000000,87094,0,1
1000000,86775,0,1
1000000,86828,0,1
1000000,86965,0,0
1000000,86933,0,1
1000000,86615,0,0
1000000,86657,0,0
1000000,86924,0,1
1000000,87125,0,1
1000000,86240,0,3
1000000,86779,0,2
1000000,87263,0,0
1000000,87136,0,2
1000000,86637,0,0
1000000,86822,0,1
1000000,86622,0,1
1000000,86863,0,0
1000000,86626,0,1
1000000,87000,0,2
1000000,86943,0,0
1000000,86522,0,0
1000000,86830,0,2
1000000,87217,0,1
1000000,87240,0,2
1000000,86610,0,0
1000000,86654,0,0
1000000,87102,0,0
1000000,87201,0,0
