total_shots,num_flagged,num_discarded,num_incorrect
1000000,88795,0,3
1000000,88290,0,1
1000000,88675,0,0
1000000,88705,0,1
1000000,89320,0,0
1000000,88294,0,1
1000000,89185,0,1
1000000,88577,0,0
1000000,88735,0,0
1000000,89206,0,1
1000000,88759,0,1
1000000,88802,0,0
1000000,88374,0,0
1000000,88965,0,1
1000000,88566,0,1
1000000,88779,0,3
1000000,88636,0,4
1000000,88659,0,1
1000000,88881,0,0
1000000,88409,0,1
1000000,88850,0,0
1000000,88802,0,0
1000000,88811,0,2
1000000,88760,0,0
1000000,88674,0,2
1000000,88607,0,0
1000000,88740,0,0
1000000,88457,0,1
1000000,88852,0,1
1000000,89175,0,0
1000000,88658,0,0
1000000,88555,0,2
1000000,88675,0,0
1000000,88725,0,1
1000000,88586,0,0
1000000,88995,0,2
1000000,88759,0,1
1000000,88887,0,2
1000000,88659,0,0
1000000,88387,0,1
1000000,88705,0,0
1000000,89158,0,0
1000000,88719,0,0
1000000,88044,0,0
1000000,88208,0,1
1000000,88802,0,0
1000000,88395,0,4
1000000,88596,0,1
1000000,88633,0,1
1000000,88596,0,0
1000000,88759,0,2
1000000,88414,0,1
1000000,89041,0,0
1000000,88842,0,5
1000000,88675,0,4
1000000,88768,0,0
1000000,89306,0,1
1000000,88629,0,1
1000000,89359,0,1
1000000,88366,0,2
1000000,88926,0,0
1000000,88589,0,4
1000000,88544,0,0
1000000,88986,0,0
1000000,88483,0,2
1000000,88510,0,0
1000000,88713,0,0
1000000,88160,0,0
1000000,88746,0,0
1000000,88928,0,1
1000000,88883,0,5
1000000,88646,0,1
1000000,88711,0,3
1000000,88342,0,2
1000000,88500,0,0
1000000,88342,0,0
1000000,88598,0,0
1000000,88369,0,0
1000000,88626,0,1
1000000,89140,0,1
1000000,88101,0,1
1000000,88811,0,0
1000000,88842,0,1
1000000,89585,0,0
1000000,88586,0,1
1000000,88733,0,1
1000000,88288,0,1
1000000,88317,0,3
1000000,88848,0,1
1000000,88405,0,0
1000000,88357,0,1
1000000,88522,0,0
1000000,88664,0,1
1000000,88896,0,1
1000000,88615,0,1
1000000,88422,0,2
1000000,88929,0,2
1000000,88021,0,1
1000000,88585,0,1
1000000,88866,0,2
1000000,89051,0,0
1000000,88527,0,0
1000000,88374,0,1
1000000,88483,0,1
1000000,88635,0,2
1000000,89158,0,0
1000000,88399,0,0
1000000,88268,0,1
1000000,88669,0,0
1000000,88789,0,1
1000000,89415,0,2
1000000,88794,0,3
1000000,88863,0,0
1000000,89030,0,1
1000000,88137,0,2
1000000,88596,0,0
1000000,88790,0,2
1000000,88718,0,3
1000000,88508,0,1
1000000,88884,0,2
1000000,88521,0,4
1000000,89206,0,2
1000000,88989,0,3
1000000,88880,0,5
1000000,88180,0,0
1000000,88629,0,0
1000000,88355,0,1
1000000,87998,0,2
1000000,89201,0,0
1000000,88840,0,0
1000000,89328,0,1
1000000,88852,0,1
1000000,88536,0,0
1000000,89098,0,1
1000000,88331,0,0
1000000,88760,0,2
1000000,88641,0,0
1000000,89030,0,1
1000000,88838,0,1
1000000,88450,0,2
1000000,88433,0,1
1000000,88505,0,0
1000000,89120,0,1
1000000,88612,0,1
1000000,88599,0,0
1000000,88818,0,1
1000000,89474,0,1
1000000,88731,0,0
1000000,88696,0,0
1000000,88957,0,1
1000000,88448,0,1
1000000,89030,0,1
1000000,88803,0,1
1000000,89161,0,3
1000000,88599,0,0
1000000,89086,0,4
1000000,88872,0,1
1000000,88558,0,0
1000000,89221,0,1
1000000,88759,0,1
1000000,88805,0,1
1000000,88373,0,2
1000000,88709,0,0
1000000,89125,0,1
1000000,88557,0,0
1000000,88666,0,0
1000000,88560,0,0
1000000,88409,0,1
1000000,89156,0,0
1000000,88770,0,1
1000000,88938,0,1
1000000,88893,0,0
1000000,88138,0,2
1000000,88555,0,2
1000000,88946,0,0
1000000,88815,0,1
1000000,89016,0,0
1000000,88407,0,2
1000000,88449,0,1
1000000,88505,0,2
1000000,88824,0,1
1000000,88830,0,1
1000000,88960,0,1
1000000,88479,0,0
1000000,88269,0,2
1000000,88299,0,1
1000000,88482,0,0
1000000,88126,0,0
1000000,88617,0,0
1000000,88422,0,2
1000000,88589,0,0
1000000,88527,0,2
1000000,88891,0,0
1000000,88597,0,0
1000000,88639,0,1
1000000,89167,0,1
1000000,88707,0,0
1000000,88732,0,1
1000000,88970,0,2
1000000,88992,0,0
1000000,88336,0,1
1000000,88778,0,0
1000000,89020,0,2
1000000,88879,0,1
1000000,88515,0,1
1000000,88401,0,1
1000000,88541,0,0
1000000,88954,0,0
1000000,89034,0,1
1000000,88544,0,0
1000000,88335,0,0
1000000,88549,0,2
1000000,88066,0,0
1000000,88263,0,1
1000000,88953,0,0
1000000,88601,0,0
1000000,88927,0,1
1000000,88880,0,0
1000000,88729,0,2
1000000,88962,0,1
1000000,88435,0,1
1000000,88607,0,0
1000000,88877,0,1
1000000,89310,0,1
1000000,88280,0,3
1000000,87835,0,1
1000000,88813,0,1
1000000,89026,0,1
1000000,88397,0,2
1000000,88738,0,1
1000000,88612,0,1
1000000,88415,0,1
1000000,88765,0,1
1000000,88788,0,0
1000000,88540,0,2
1000000,88816,0,0
1000000,89096,0,0
1000000,89110,0,1
1000000,88493,0,0
1000000,88864,0,0
1000000,88922,0,1
1000000,89029,0,0
1000000,88938,0,2
1000000,88767,0,1
1000000,88896,0,0
1000000,88681,0,0
1000000,88609,0,0
1000000,88802,0,0
1000000,88214,0,1
1000000,88869,0,1
1000000,88525,0,2
1000000,88652,0,1
1000000,89068,0,0
1000000,88834,0,1
1000000,89264,0,0
1000000,88755,0,2
1000000,89401,0,0
1000000,88811,0,1
1000000,88668,0,2
1000000,88851,0,1
1000000,88475,0,3
1000000,89056,0,1
1000000,87926,0,2
1000000,88795,0,1
1000000,88889,0,1
1000000,88763,0,0
1000000,88383,0,1
1000000,88788,0,2
1000000,88354,0,0
1000000,88478,0,1
1000000,89019,0,1
1000000,88609,0,0
1000000,89174,0,0
1000000,88713,0,0
1000000,89186,0,3
1000000,88498,0,1
1000000,88409,0,1
1000000,88761,0,1
1000000,88663,0,2
1000000,88862,0,2
1000000,89256,0,3
1000000,88805,0,1
1000000,88346,0,0
1000000,88974,0,0
1000000,88216,0,1
1000000,88842,0,0
1000000,88963,0,1
1000000,88591,0,2
1000000,89372,0,0
1000000,88431,0,2
1000000,88862,0,1
1000000,88609,0,2
1000000,88068,0,3
1000000,88953,0,1
1000000,89042,0,3
1000000,88530,0,1
1000000,88423,0,0
1000000,88892,0,2
1000000,88836,0,1
1000000,88963,0,0
1000000,89018,0,1
1000000,88433,0,0
1000000,88566,0,0
1000000,88550,0,0
1000000,88541,0,1
1000000,88301,0,1
1000000,88787,0,1
1000000,88386,0,3
1000000,88943,0,0
1000000,89022,0,0
1000000,88752,0,1
1000000,88507,0,3
1000000,88770,0,0
1000000,88528,0,0
1000000,88501,0,1
1000000,88817,0,1
1000000,88593,0,0
1000000,88401,0,0
1000000,88691,0,2
1000000,88564,0,1
1000000,88736,0,1
1000000,88560,0,2
1000000,88103,0,4
1000000,88608,0,0
1000000,88838,0,1
1000000,88424,0,0
1000000,88460,0,0
1000000,89382,0,0
1000000,88857,0,1
1000000,88285,0,2
1000000,88509,0,0
1000000,88496,0,1
1000000,88363,0,2
1000000,89042,0,3
1000000,89067,0,0
1000000,88227,0,0
1000000,89274,0,0
1000000,89345,0,2
1000000,88658,0,2
1000000,88774,0,0
1000000,88575,0,0
1000000,88658,0,0
1000000,88747,0,0
1000000,89287,0,1
1000000,88863,0,0
1000000,88629,0,0
1000000,88363,0,0
1000000,88299,0,0
1000000,89178,0,0
1000000,88542,0,0
1000000,88976,0,1
1000000,88803,0,3
1000000,88572,0,1
1000000,88858,0,2
1000000,88661,0,1
1000000,88522,0,0
1000000,88574,0,1
1000000,88565,0,0
1000000,88543,0,0
1000000,88418,0,0
1000000,89129,0,0
1000000,88697,0,1
1000000,88684,0,1
1000000,88513,0,0
1000000,89012,0,0
1000000,88690,0,1
1000000,88825,0,0
1000000,88568,0,0
1000000,88947,0,2
1000000,88704,0,0
1000000,88667,0,1
1000000,88925,0,0
1000000,88769,0,3
1000000,88767,0,1
1000000,88717,0,0
1000000,88810,0,2
1000000,88320,0,1
1000000,88640,0,0
