total_shots,num_flagged,num_discarded,num_incorrect
1000000,192286,6,0
1000000,192625,5,1
1000000,193125,4,0
1000000,193112,3,0
1000000,192541,5,0
1000000,191905,4,0
1000000,192887,1,0
1000000,193632,7,0
1000000,193206,4,0
1000000,193238,3,0
1000000,193416,3,0
1000000,192672,3,0
1000000,192690,2,0
1000000,193126,1,0
1000000,192668,4,0
1000000,192978,4,0
1000000,192776,7,0
1000000,193016,4,0
1000000,192437,4,0
1000000,192971,5,0
1000000,192986,3,0
1000000,192749,5,0
1000000,192894,5,0
1000000,192822,4,0
1000000,192285,5,0
1000000,193006,3,0
1000000,192719,7,0
1000000,192602,3,0
1000000,193067,9,0
1000000,193019,4,0
1000000,192506,7,0
1000000,192848,6,0
1000000,193426,3,0
1000000,192428,3,0
1000000,193269,2,0
1000000,192672,2,0
1000000,192961,8,0
1000000,193496,5,0
1000000,192009,5,0
1000000,192598,5,0
1000000,193050,8,0
1000000,192751,2,0
1000000,192488,6,0
1000000,193443,1,0
1000000,192041,2,0
1000000,192964,5,0
1000000,192768,2,0
1000000,193088,2,0
1000000,193194,2,0
1000000,192788,4,0
1000000,193324,0,1
1000000,192426,7,0
1000000,193150,6,0
1000000,192693,7,0
1000000,192594,5,0
1000000,192880,5,0
1000000,192931,5,0
1000000,192558,1,0
1000000,192827,3,0
1000000,192672,5,0
1000000,192524,3,0
1000000,191808,5,0
1000000,192793,3,0
1000000,193218,3,0
1000000,192420,5,0
1000000,192803,3,0
1000000,192174,5,0
1000000,192059,6,0
1000000,192172,1,0
1000000,192285,4,0
1000000,192694,3,1
1000000,192873,2,0
1000000,193523,1,0
1000000,192111,4,0
1000000,192373,3,0
1000000,193358,4,0
1000000,193350,2,0
1000000,192167,5,0
1000000,192331,4,0
1000000,192662,4,0
1000000,192772,6,0
1000000,192136,9,0
1000000,193007,3,0
1000000,192135,2,0
1000000,193053,5,0
1000000,193062,5,0
1000000,192048,7,0
1000000,193400,2,0
1000000,192408,2,0
1000000,192803,0,0
1000000,192989,0,0
1000000,193326,6,0
1000000,192532,6,0
1000000,193128,4,0
1000000,193183,2,0
1000000,192618,5,0
1000000,192815,4,0
1000000,192778,5,0
1000000,192696,4,0
1000000,192845,5,0
1000000,193214,5,0
1000000,192205,3,0
1000000,192627,5,0
1000000,192682,4,0
1000000,192292,3,0
1000000,192496,2,1
1000000,193068,6,0
1000000,192681,4,0
1000000,193246,4,0
1000000,192713,3,0
1000000,193188,8,0
1000000,192926,2,0
1000000,193212,1,0
1000000,192465,2,0
1000000,192081,8,0
1000000,193239,1,0
1000000,193187,1,0
1000000,193365,2,0
1000000,193229,1,0
1000000,192547,5,0
1000000,193308,7,0
1000000,192394,5,0
1000000,192673,5,0
1000000,192767,1,0
1000000,193184,4,0
1000000,192423,1,0
1000000,192811,6,0
1000000,192940,6,0
1000000,193282,8,0
1000000,192459,2,0
1000000,193231,3,0
1000000,192544,6,0
1000000,193053,3,0
1000000,192871,3,0
1000000,192860,5,0
1000000,192471,3,0
1000000,192680,3,0
1000000,192316,2,0
1000000,193561,7,0
1000000,192459,6,0
1000000,192172,1,0
1000000,192551,4,0
1000000,192530,4,0
1000000,192233,5,0
1000000,192294,2,0
1000000,191523,4,0
1000000,192667,4,0
1000000,192832,3,0
1000000,193168,4,0
1000000,192165,4,0
1000000,192872,4,0
1000000,192947,2,0
1000000,192929,6,0
1000000,192429,5,0
1000000,192226,5,0
1000000,192928,4,1
1000000,192801,5,0
1000000,192937,3,0
1000000,192689,5,0
1000000,192142,7,0
1000000,192986,2,0
1000000,192196,5,0
1000000,193435,2,0
1000000,192641,4,0
1000000,192358,2,0
1000000,192770,3,0
1000000,193054,1,0
1000000,193587,2,0
1000000,192620,3,0
1000000,192676,6,0
1000000,192469,5,0
1000000,192510,4,0
1000000,193197,3,0
1000000,192774,3,0
1000000,193034,6,0
1000000,193015,4,0
1000000,192510,2,0
1000000,193065,3,0
1000000,192442,2,0
1000000,192109,4,0
1000000,192859,3,0
1000000,193082,9,0
1000000,193179,4,0
1000000,192370,3,0
1000000,193263,2,0
1000000,192401,2,0
1000000,192303,2,0
1000000,192966,4,0
1000000,193240,7,0
1000000,192416,3,0
1000000,192896,4,0
1000000,192802,5,0
1000000,192276,2,0
1000000,192136,4,0
1000000,192482,2,0
1000000,192413,5,0
1000000,192222,5,0
1000000,193024,5,0
1000000,192339,6,0
1000000,193117,5,0
1000000,192356,4,0
1000000,192887,9,0
1000000,192829,7,0
1000000,193129,3,0
1000000,192764,9,0
1000000,193429,8,0
1000000,192443,4,0
1000000,192628,4,0
1000000,193123,5,0
1000000,192303,6,0
1000000,192666,10,0
1000000,192257,3,0
1000000,192922,3,0
1000000,192149,3,0
1000000,193214,1,0
1000000,193857,10,0
1000000,192036,2,0
1000000,192106,4,0
1000000,192616,2,0
1000000,192835,1,0
1000000,192805,6,0
1000000,192856,4,0
1000000,192431,0,1
1000000,192941,5,0
1000000,193076,6,0
1000000,193013,2,0
1000000,192854,8,0
1000000,192216,4,0
1000000,192684,3,0
1000000,192330,5,0
1000000,192970,5,0
1000000,192613,8,0
1000000,192415,6,0
1000000,192858,5,0
1000000,192084,6,0
1000000,192765,2,0
1000000,192577,2,0
1000000,192861,3,0
1000000,192832,7,1
1000000,192356,4,0
1000000,192618,5,0
1000000,192434,5,0
1000000,192299,2,0
1000000,192616,3,0
1000000,193367,3,0
1000000,192494,4,0
1000000,192129,1,0
1000000,193005,3,0
1000000,192238,3,0
1000000,192966,3,0
