total_shots,num_flagged,num_discarded,num_incorrect
1000000,191668,5,0
1000000,191941,10,0
1000000,191605,3,0
1000000,191458,7,0
1000000,191748,11,1
1000000,192053,10,0
1000000,192452,7,0
1000000,192520,5,0
1000000,192472,5,0
1000000,191533,3,0
1000000,191394,9,0
1000000,191639,6,0
1000000,191903,10,0
1000000,191443,6,0
1000000,192169,6,0
1000000,191989,3,1
1000000,191363,10,0
1000000,191932,3,0
1000000,192268,7,0
1000000,193042,10,0
1000000,192442,7,0
1000000,192434,11,0
1000000,192355,3,0
1000000,192193,9,0
1000000,191762,7,0
1000000,191728,3,0
1000000,192181,7,0
1000000,191922,4,0
1000000,192009,6,0
1000000,192029,5,0
1000000,191494,3,0
1000000,191710,3,0
1000000,191639,10,0
1000000,191499,9,0
1000000,192644,9,0
1000000,191718,8,0
1000000,191581,9,0
1000000,191578,8,0
1000000,191930,4,0
1000000,192138,4,0
1000000,191988,7,0
1000000,191584,11,0
1000000,192104,9,0
1000000,192369,15,0
1000000,191891,9,0
1000000,191069,7,0
1000000,192461,4,0
1000000,191760,10,0
1000000,192235,6,0
1000000,192351,7,0
1000000,192080,5,0
1000000,192550,11,0
1000000,191385,6,0
1000000,192586,6,0
1000000,191364,6,0
1000000,191587,6,0
1000000,191904,9,0
1000000,192142,7,0
1000000,191741,7,0
1000000,192328,6,0
1000000,192257,10,0
1000000,191025,4,0
1000000,192038,6,0
1000000,192356,3,0
1000000,192017,5,0
1000000,191556,7,0
1000000,192018,7,0
1000000,192074,5,0
1000000,191574,8,0
1000000,192022,11,0
1000000,192085,3,0
1000000,191514,7,0
1000000,191619,4,0
1000000,191273,8,0
1000000,191932,8,0
1000000,192247,6,0
1000000,192241,5,0
1000000,191505,9,0
1000000,191161,6,0
1000000,191811,2,0
1000000,191627,3,0
1000000,192051,8,0
1000000,191311,3,0
1000000,192614,9,0
1000000,192772,4,0
1000000,191895,5,0
1000000,192188,3,0
1000000,192083,9,0
1000000,192019,5,0
1000000,192033,11,0
1000000,191723,3,0
1000000,191782,3,0
1000000,192541,7,0
1000000,191960,5,0
1000000,191910,6,0
1000000,192007,4,0
1000000,192192,7,0
1000000,192536,9,0
1000000,192135,7,0
1000000,192443,6,0
1000000,192098,5,0
1000000,192153,16,1
1000000,192452,14,0
1000000,191155,4,0
1000000,192607,6,0
1000000,192516,8,0
1000000,192186,7,0
1000000,192250,12,0
1000000,192013,8,0
1000000,191977,9,0
1000000,191508,7,0
1000000,192037,5,0
1000000,192008,6,0
1000000,192250,6,0
1000000,192330,5,0
1000000,191151,2,0
1000000,192177,5,0
1000000,191718,10,0
1000000,192493,8,0
1000000,191762,5,0
1000000,192227,8,0
1000000,191783,7,0
1000000,191625,5,0
1000000,192253,7,0
1000000,192918,8,0
1000000,191917,5,0
1000000,192136,7,1
1000000,191442,6,0
1000000,191598,7,0
1000000,191351,6,0
1000000,191760,1,0
1000000,191996,13,0
1000000,192184,8,0
1000000,191605,7,0
1000000,192076,5,0
1000000,191892,6,0
1000000,191798,5,0
1000000,192089,11,0
1000000,192129,5,0
1000000,191961,4,0
1000000,191617,8,0
1000000,191148,11,0
1000000,191477,8,0
1000000,191965,7,0
1000000,191742,8,0
1000000,191750,9,0
1000000,191615,7,0
1000000,191487,7,0
1000000,191454,10,0
1000000,191890,5,0
1000000,191929,3,0
1000000,191801,6,0
1000000,191754,5,0
1000000,191958,7,0
1000000,192252,7,1
1000000,192203,7,0
1000000,192211,5,0
1000000,191838,9,0
1000000,191612,10,0
1000000,191790,9,0
1000000,192104,7,0
1000000,191494,2,0
1000000,192407,5,0
1000000,191698,12,0
1000000,191789,8,0
1000000,190562,9,2
1000000,191352,3,0
1000000,191867,6,0
1000000,192415,6,0
1000000,191947,8,0
1000000,192656,6,0
1000000,192408,8,0
1000000,191809,6,0
1000000,191401,6,0
1000000,192099,6,0
1000000,192255,6,0
1000000,192076,8,0
1000000,192113,6,0
1000000,191626,9,0
1000000,192049,6,0
1000000,191702,7,0
1000000,191854,5,0
1000000,191516,10,0
1000000,192039,6,0
1000000,191739,1,0
1000000,191694,6,0
1000000,192243,5,0
1000000,192209,5,0
1000000,192099,2,0
1000000,191831,6,0
1000000,191615,9,0
1000000,191957,5,0
1000000,192284,7,0
1000000,192181,9,0
1000000,191927,8,0
1000000,191483,5,0
1000000,191559,6,0
1000000,191754,11,0
1000000,191588,7,0
1000000,192077,8,0
