total_shots,num_flagged,num_discarded,num_incorrect
1000000,190918,2,0
1000000,190185,4,0
1000000,190772,2,0
1000000,191248,7,0
1000000,190600,4,0
1000000,190956,3,0
1000000,191088,2,0
1000000,190471,5,0
1000000,190257,6,0
1000000,190954,4,0
1000000,191236,4,0
1000000,191846,3,0
1000000,190241,7,0
1000000,191519,5,0
1000000,191203,7,0
1000000,190584,3,0
1000000,191073,4,0
1000000,191349,7,0
1000000,190017,2,0
1000000,190932,4,0
1000000,190438,7,0
1000000,190766,4,0
1000000,191131,4,0
1000000,191404,6,0
1000000,191095,6,0
1000000,191549,10,0
1000000,190715,3,0
1000000,190965,3,0
1000000,191184,5,0
1000000,191003,5,0
1000000,190769,3,0
1000000,190588,9,0
1000000,189951,4,0
1000000,190634,6,0
1000000,190842,3,0
1000000,190121,2,0
1000000,190963,13,0
1000000,190665,4,0
1000000,190450,3,0
1000000,191283,12,0
1000000,191201,5,0
1000000,191053,8,0
1000000,190410,8,0
1000000,191507,3,0
1000000,189959,1,0
1000000,190717,10,0
1000000,190405,5,0
1000000,190786,4,0
1000000,190437,4,0
1000000,190859,1,0
1000000,190644,2,0
1000000,190771,12,0
1000000,190019,4,0
1000000,190618,6,0
1000000,191028,4,0
1000000,190310,3,0
1000000,190486,5,0
1000000,190813,6,0
1000000,190409,5,0
1000000,191071,3,0
1000000,190488,6,0
1000000,190840,7,1
1000000,190499,6,0
1000000,189920,9,0
1000000,190583,4,0
1000000,191291,7,0
1000000,191010,7,0
1000000,190462,6,0
1000000,190953,5,0
1000000,190700,7,0
1000000,190694,3,0
1000000,191170,7,0
1000000,191036,2,0
1000000,190733,8,0
1000000,190480,6,0
1000000,190589,3,0
1000000,190590,4,0
1000000,190850,5,0
1000000,190899,6,0
1000000,191221,4,0
1000000,191101,6,0
1000000,190685,4,0
1000000,190289,10,0
1000000,190009,5,0
1000000,190636,7,0
1000000,191789,1,0
1000000,190776,6,0
1000000,190674,5,0
1000000,190569,3,0
1000000,190881,7,0
1000000,190960,7,0
1000000,190754,5,0
1000000,190505,5,0
1000000,190654,5,0
1000000,191250,5,0
1000000,190773,7,0
1000000,190738,2,0
1000000,191092,2,0
1000000,190836,6,0
1000000,190905,7,0
1000000,191021,5,0
1000000,190254,6,0
1000000,191150,3,0
1000000,190929,1,0
1000000,190682,3,0
1000000,191103,4,0
1000000,190777,4,0
1000000,190556,5,0
1000000,190906,4,0
1000000,190855,6,0
1000000,191317,6,0
1000000,190720,13,0
1000000,191802,6,0
1000000,190790,4,0
1000000,190664,2,0
1000000,190383,6,0
1000000,190931,7,0
1000000,190267,10,0
1000000,190230,8,0
1000000,191047,3,0
1000000,191261,7,0
1000000,190467,3,0
1000000,190900,5,0
1000000,190892,8,1
1000000,190347,7,0
1000000,190667,3,0
1000000,191280,11,0
1000000,190595,6,0
1000000,190539,4,0
1000000,190997,8,0
1000000,190276,6,0
1000000,190455,4,0
1000000,190387,2,0
1000000,191132,7,0
1000000,190686,5,0
1000000,190071,6,0
1000000,190472,5,0
1000000,190446,5,0
1000000,190949,6,0
1000000,190811,6,0
1000000,191174,5,0
1000000,190718,7,0
1000000,190259,3,0
1000000,191662,5,0
1000000,191266,2,0
1000000,189763,4,0
1000000,190197,3,0
1000000,190807,5,0
1000000,190712,5,0
1000000,190558,4,0
1000000,190648,5,0
1000000,190268,4,0
1000000,190492,7,0
1000000,190940,5,0
1000000,190170,7,0
1000000,191417,5,0
1000000,190927,3,0
1000000,190200,5,0
1000000,190677,4,0
1000000,190701,10,0
1000000,191064,5,0
1000000,189965,5,0
1000000,190411,4,0
1000000,191323,1,0
1000000,190715,4,0
1000000,190569,6,0
1000000,190445,5,0
1000000,191057,8,0
1000000,191398,7,0
1000000,190402,6,0
1000000,190691,5,0
1000000,190728,2,0
1000000,190355,9,0
1000000,190517,3,0
1000000,190185,3,0
1000000,190417,4,0
1000000,190604,6,0
1000000,190889,4,0
1000000,190362,3,0
1000000,191055,5,0
1000000,190774,8,0
1000000,191179,10,0
1000000,190732,2,0
1000000,191131,7,0
1000000,191024,7,0
1000000,190703,7,0
1000000,190843,6,0
1000000,190788,9,0
1000000,190783,7,0
1000000,190406,6,0
1000000,191192,6,0
1000000,190766,5,1
1000000,191285,3,0
1000000,190831,7,0
1000000,190972,6,0
1000000,190691,10,0
1000000,191245,7,0
1000000,190511,3,0
1000000,190976,2,0
1000000,190583,7,0
1000000,190828,7,0
1000000,190947,5,0
1000000,190468,3,0
1000000,190605,9,0
1000000,190678,6,0
1000000,190002,5,0
1000000,190115,5,0
1000000,190190,7,0
1000000,191069,7,0
1000000,190420,6,0
1000000,190451,10,0
1000000,191404,7,0
1000000,190951,4,0
1000000,190822,10,0
1000000,189979,3,0
1000000,190556,6,0
1000000,191032,3,0
1000000,191019,4,0
1000000,190558,8,0
1000000,191448,6,0
1000000,190348,4,0
1000000,190650,3,0
1000000,190633,8,1
1000000,190509,7,0
1000000,190469,3,0
1000000,189760,4,0
1000000,190374,8,0
1000000,191071,6,0
1000000,190664,5,0
1000000,190631,4,0
1000000,191381,4,0
1000000,190034,4,0
1000000,191373,6,0
1000000,190444,4,0
1000000,190833,4,0
1000000,191138,7,0
1000000,190142,6,0
1000000,190779,3,0
1000000,191070,5,0
1000000,191031,2,0
1000000,190469,5,0
1000000,191366,9,0
1000000,190654,2,0
1000000,190247,4,0
1000000,190719,3,0
1000000,190777,5,0
1000000,190019,6,0
1000000,191311,5,0
1000000,191144,4,0
1000000,190952,5,0
