total_shots,num_flagged,num_discarded,num_incorrect
1000000,190638,9,1
1000000,191015,7,0
1000000,190973,5,0
1000000,190804,7,0
1000000,190916,7,0
1000000,190410,9,0
1000000,190180,3,0
1000000,190868,6,0
1000000,190109,6,0
1000000,190517,5,0
1000000,191120,4,1
1000000,191174,9,0
1000000,190362,8,0
1000000,190891,4,0
1000000,190775,8,0
1000000,190749,4,0
1000000,189495,4,0
1000000,190943,5,0
1000000,189928,8,0
1000000,190347,6,0
1000000,190350,4,0
1000000,190336,4,0
1000000,189874,5,0
1000000,189876,8,0
1000000,190674,7,0
1000000,190839,3,0
1000000,190723,6,0
1000000,190628,6,0
1000000,190446,8,0
1000000,190937,3,0
1000000,190531,3,0
1000000,190382,8,0
1000000,191041,9,0
1000000,190543,7,0
1000000,190483,4,0
1000000,191067,7,0
1000000,190477,3,0
1000000,190267,1,0
1000000,190672,7,0
1000000,190415,4,0
1000000,190701,3,0
1000000,190462,5,0
1000000,190671,4,0
1000000,191030,8,0
1000000,190705,5,0
1000000,190445,1,0
1000000,190557,10,0
1000000,190748,6,0
1000000,190876,6,0
1000000,190613,7,0
1000000,190192,3,0
1000000,191107,7,0
1000000,190673,5,0
1000000,190319,3,0
1000000,190865,3,0
1000000,190547,3,0
1000000,190921,3,0
1000000,190898,4,0
1000000,190551,5,0
1000000,190613,11,0
1000000,190935,4,0
1000000,190166,7,0
1000000,190921,4,0
1000000,190357,7,0
1000000,190148,7,0
1000000,190200,5,0
1000000,190188,7,0
1000000,189789,8,0
1000000,191030,5,0
1000000,190279,8,0
1000000,190220,6,0
1000000,191551,2,0
1000000,189725,6,0
1000000,191288,9,0
1000000,190501,11,0
1000000,191247,6,0
1000000,190789,7,0
1000000,190382,6,0
1000000,190325,7,1
1000000,190158,8,0
1000000,190111,5,0
1000000,191334,8,0
1000000,190910,3,0
1000000,191255,3,0
1000000,190878,5,0
1000000,190398,4,0
1000000,190762,7,0
1000000,189963,8,1
1000000,190722,12,0
1000000,190537,9,0
1000000,189911,8,0
1000000,190727,8,0
1000000,190368,6,0
1000000,190965,7,0
1000000,190134,6,0
1000000,191418,4,0
1000000,191087,5,0
1000000,190622,6,0
1000000,190392,6,0
1000000,190979,6,0
1000000,190071,2,0
1000000,191004,7,0
1000000,190210,8,0
1000000,190635,8,0
1000000,190061,3,0
1000000,191086,4,0
1000000,189907,6,0
1000000,190154,3,0
1000000,190116,6,0
1000000,190561,7,0
1000000,191124,3,0
1000000,190685,6,0
1000000,191145,4,0
1000000,190355,6,0
1000000,191057,4,0
1000000,190897,7,0
1000000,191002,2,0
1000000,190229,8,0
1000000,190627,6,0
1000000,190981,4,0
1000000,190849,6,0
1000000,190988,10,0
1000000,190107,6,0
1000000,190209,8,0
1000000,191566,5,0
1000000,190016,4,0
1000000,190396,4,0
1000000,191284,4,0
1000000,190762,6,0
1000000,190146,8,0
1000000,190467,10,0
1000000,191340,7,0
1000000,190571,5,0
1000000,189600,5,0
1000000,190241,9,0
1000000,189471,5,0
1000000,190717,5,0
1000000,190709,4,0
1000000,190921,12,0
1000000,190551,5,0
1000000,190693,8,0
1000000,190138,4,1
1000000,190455,4,0
1000000,190535,5,0
1000000,191106,2,0
1000000,190536,5,0
1000000,190028,10,0
1000000,190134,6,0
1000000,191033,11,0
1000000,190902,4,0
1000000,190525,4,0
1000000,190680,6,0
1000000,190518,9,0
