total_shots,num_flagged,num_discarded,num_incorrect
1000000,191111,3,0
1000000,191559,5,0
1000000,191009,3,0
1000000,191099,4,0
1000000,191229,5,0
1000000,191712,10,0
1000000,190953,5,0
1000000,191591,4,0
1000000,191424,6,0
1000000,190758,6,0
1000000,191526,6,0
1000000,191174,2,0
1000000,191818,4,0
1000000,191330,5,0
1000000,191831,2,0
1000000,191527,5,0
1000000,191618,8,0
1000000,191726,3,0
1000000,190673,4,0
1000000,190382,2,0
1000000,191013,4,0
1000000,192446,3,1
1000000,191613,6,0
1000000,190358,3,0
1000000,191530,4,0
1000000,191734,8,0
1000000,191300,7,0
1000000,191374,3,1
1000000,191094,5,0
1000000,191683,8,0
1000000,191651,10,0
1000000,191418,3,0
1000000,191725,8,1
1000000,191821,7,0
1000000,191263,3,0
1000000,191239,10,0
1000000,191686,10,0
1000000,191777,3,0
1000000,191001,5,0
1000000,191334,5,0
1000000,191094,5,0
1000000,191165,6,0
1000000,191246,5,0
1000000,191299,4,0
1000000,191526,5,0
1000000,190797,3,0
1000000,190847,8,0
1000000,191676,3,0
1000000,190785,3,0
1000000,191523,16,0
1000000,190801,10,0
1000000,191567,5,0
1000000,192197,6,0
1000000,191345,3,0
1000000,191488,8,0
1000000,192424,5,0
1000000,191360,3,0
1000000,192337,5,1
1000000,190663,4,0
1000000,191835,3,0
1000000,191472,4,0
1000000,191369,7,0
1000000,191319,3,0
1000000,191198,2,0
1000000,190899,10,0
1000000,191846,1,0
1000000,192004,4,0
1000000,191529,7,0
1000000,191266,6,0
1000000,190919,8,0
1000000,191805,3,0
1000000,191304,5,0
1000000,191639,6,0
1000000,191697,6,0
1000000,191681,6,0
1000000,191568,7,1
1000000,191190,5,0
1000000,191276,1,0
1000000,191295,2,0
1000000,191463,7,0
1000000,191373,6,0
1000000,191110,7,0
1000000,190925,6,0
1000000,191074,2,0
1000000,191566,2,0
1000000,191618,4,0
1000000,191533,4,0
1000000,191088,4,0
1000000,191362,6,0
1000000,190847,9,0
1000000,192089,4,0
1000000,191549,7,0
1000000,191832,5,0
1000000,191433,8,0
1000000,191553,5,0
1000000,190767,6,0
1000000,190331,6,0
1000000,191751,7,0
1000000,191971,5,0
1000000,191189,1,0
1000000,190835,5,0
1000000,191898,1,0
1000000,191511,4,0
1000000,191158,4,1
1000000,190878,8,0
1000000,191462,7,0
1000000,190966,9,0
1000000,191618,7,0
1000000,191443,2,0
1000000,191475,4,0
1000000,191782,6,0
1000000,191445,4,0
1000000,191628,6,0
1000000,191402,4,0
1000000,190839,4,0
1000000,191260,5,1
1000000,191470,5,0
1000000,191985,4,0
1000000,191803,5,0
1000000,191639,6,0
1000000,191203,4,0
1000000,191570,12,0
1000000,192155,8,0
1000000,191774,4,0
1000000,192051,4,0
1000000,192191,4,0
1000000,191707,3,0
1000000,192127,6,0
1000000,191829,4,0
1000000,191693,5,0
1000000,191808,3,0
1000000,191645,3,0
1000000,191852,10,0
1000000,190662,4,0
1000000,191162,2,0
1000000,190948,2,0
1000000,191765,8,0
1000000,191370,7,0
1000000,191852,6,0
1000000,191228,1,0
1000000,191267,6,1
1000000,191696,3,0
1000000,190652,4,0
1000000,191345,5,0
1000000,191385,7,0
1000000,191696,8,0
1000000,191299,5,0
1000000,191952,5,0
1000000,191355,4,0
1000000,191249,4,0
1000000,191721,2,0
1000000,191353,3,0
1000000,191405,7,0
1000000,191570,5,0
1000000,191934,8,0
1000000,191395,5,0
1000000,191501,7,0
1000000,191503,2,0
1000000,191336,5,0
1000000,191034,4,0
1000000,191879,3,0
1000000,191807,7,0
1000000,191603,2,0
1000000,191986,5,0
1000000,191530,5,0
1000000,191665,8,0
1000000,191806,3,0
1000000,191538,4,0
1000000,191890,9,0
1000000,191350,6,0
1000000,191218,3,0
1000000,191341,4,0
1000000,190784,5,0
1000000,192197,8,0
1000000,191116,4,0
1000000,191700,7,0
1000000,191322,2,0
1000000,191732,5,0
1000000,191221,3,0
1000000,191542,5,0
1000000,191589,7,0
1000000,190987,11,0
1000000,191957,8,0
1000000,191231,6,0
1000000,191425,7,0
1000000,191250,5,0
1000000,192352,11,0
1000000,192056,7,0
1000000,191655,6,0
1000000,190725,8,0
1000000,191659,3,0
1000000,191609,4,0
