total_shots,num_flagged,num_discarded,num_incorrect
1000000,195231,5,0
1000000,194760,9,0
1000000,195468,9,0
1000000,194567,9,0
1000000,194669,6,0
1000000,194672,6,0
1000000,194817,2,0
1000000,195019,5,0
1000000,195555,5,1
1000000,194677,8,0
1000000,194480,5,0
1000000,194358,4,0
1000000,195477,8,0
1000000,195607,9,0
1000000,194502,8,0
1000000,194173,4,0
1000000,194582,0,0
1000000,195084,5,0
1000000,194282,7,0
1000000,194654,2,0
1000000,194840,7,0
1000000,195027,7,0
1000000,196064,11,0
1000000,195310,5,0
1000000,194093,4,0
1000000,195257,7,0
1000000,194753,2,0
1000000,194614,6,0
1000000,195674,6,0
1000000,194114,7,0
1000000,194565,2,0
1000000,194460,11,0
1000000,195335,5,0
1000000,195082,3,0
1000000,194598,3,0
1000000,194775,3,0
1000000,195426,6,0
1000000,194655,7,0
1000000,194749,7,0
1000000,195152,5,0
1000000,195512,9,0
1000000,194744,5,0
1000000,195021,9,0
1000000,194217,5,0
1000000,195036,8,0
1000000,194635,1,0
1000000,194769,9,0
1000000,194999,9,0
1000000,194741,4,0
1000000,194810,9,0
1000000,194654,5,0
1000000,195158,7,0
1000000,194846,10,1
1000000,195202,7,0
1000000,194758,7,0
1000000,194254,4,0
1000000,194464,5,0
1000000,194926,7,0
1000000,194977,8,0
1000000,194819,3,0
1000000,195100,7,0
1000000,195084,4,0
1000000,195666,7,0
1000000,194892,4,0
1000000,194551,7,0
1000000,194842,4,1
1000000,194521,3,0
1000000,194516,6,0
1000000,194725,6,0
1000000,194846,4,2
1000000,195069,2,0
1000000,195285,7,1
1000000,193953,9,0
1000000,194978,4,0
1000000,194822,5,0
1000000,195215,5,0
1000000,195535,5,1
1000000,194620,4,0
1000000,195496,8,0
1000000,194661,4,0
1000000,194443,4,0
1000000,194598,5,0
1000000,195403,7,0
1000000,194770,10,0
1000000,194535,6,0
1000000,194035,1,0
1000000,194855,1,0
1000000,195417,9,0
1000000,195564,3,0
1000000,194252,1,0
1000000,195704,6,0
1000000,194603,6,0
1000000,194996,1,0
1000000,195558,3,0
1000000,194886,5,0
1000000,194898,9,0
1000000,195509,5,0
1000000,194670,3,0
1000000,194962,11,0
1000000,194522,4,0
1000000,195107,9,0
1000000,194492,4,0
1000000,195153,6,0
1000000,195036,10,0
1000000,194851,5,0
1000000,195242,3,0
1000000,195068,9,0
1000000,195116,8,0
1000000,194103,4,0
1000000,194984,4,0
1000000,194741,4,0
1000000,195204,1,0
1000000,194892,14,0
1000000,195029,2,0
1000000,195087,9,0
1000000,194484,5,0
1000000,194756,4,0
1000000,194898,1,0
1000000,194380,3,0
1000000,195242,2,0
1000000,194504,9,0
1000000,194876,7,0
1000000,194369,2,0
1000000,194822,1,0
1000000,194127,6,0
