total_shots,num_flagged,num_discarded,num_incorrect
1000000,196665,9,0
1000000,196113,7,0
1000000,196348,5,0
1000000,196189,5,0
1000000,197314,5,0
1000000,196182,5,0
1000000,196638,3,0
1000000,195939,4,0
1000000,196823,8,0
1000000,196169,11,0
1000000,196387,2,0
1000000,196289,3,0
1000000,195990,3,0
1000000,195998,3,0
1000000,196457,5,0
1000000,196799,5,0
1000000,196432,1,0
1000000,196216,4,0
1000000,196577,5,0
1000000,195797,6,0
1000000,196444,8,0
1000000,196454,7,0
1000000,197031,3,0
1000000,195503,3,0
1000000,196995,7,0
1000000,196718,7,0
1000000,196107,6,0
1000000,196624,6,0
1000000,196743,2,0
1000000,196578,6,0
1000000,195551,3,0
1000000,196693,2,0
1000000,196139,5,0
1000000,196715,6,0
1000000,196019,4,0
1000000,196623,7,0
1000000,195802,2,0
1000000,196285,3,0
1000000,196574,4,0
1000000,196722,5,0
1000000,197021,5,0
1000000,196155,6,0
1000000,195881,10,0
1000000,196311,4,1
1000000,196530,5,0
1000000,196836,1,0
1000000,196835,3,0
1000000,196683,7,0
1000000,196221,8,0
1000000,196184,3,0
1000000,196625,5,0
1000000,196516,7,0
1000000,196819,1,0
1000000,196116,4,0
1000000,196101,3,0
1000000,195417,4,0
1000000,197120,6,0
1000000,196483,10,0
1000000,196206,5,0
1000000,196369,8,0
1000000,196761,3,0
1000000,195864,6,0
1000000,196404,5,0
1000000,196458,10,0
1000000,196320,4,0
1000000,197033,4,0
1000000,196369,8,1
1000000,196601,6,0
1000000,196391,3,0
1000000,196208,4,0
1000000,196650,9,0
1000000,196292,6,0
1000000,196916,5,0
1000000,196379,5,0
1000000,195597,6,0
1000000,196122,5,0
1000000,196598,4,0
1000000,196273,11,0
1000000,196412,2,0
1000000,196038,6,0
1000000,196024,7,0
1000000,195608,4,0
1000000,195892,9,0
1000000,196439,7,0
1000000,196657,10,0
1000000,196501,2,0
1000000,196506,9,0
1000000,196676,6,0
1000000,195865,3,0
1000000,196375,4,0
1000000,196175,4,0
1000000,197078,5,0
1000000,196479,3,0
1000000,196603,1,0
1000000,196366,4,0
1000000,196084,3,0
1000000,196150,8,0
1000000,196624,6,0
1000000,196488,6,0
1000000,195739,2,0
1000000,196612,2,0
1000000,196270,6,0
1000000,196199,3,0
1000000,196499,7,0
1000000,196728,8,0
1000000,196243,7,0
1000000,196407,6,0
1000000,196245,5,0
1000000,196395,3,0
1000000,196483,10,0
1000000,196485,2,0
1000000,196069,4,0
1000000,196974,5,0
1000000,196134,3,0
1000000,196703,6,0
1000000,195880,5,0
1000000,196108,1,0
1000000,196339,3,0
1000000,196395,4,0
1000000,196278,4,0
1000000,196922,2,0
1000000,196193,5,0
1000000,196707,5,0
1000000,196253,5,0
1000000,196503,9,0
1000000,196372,10,0
1000000,195937,8,0
1000000,196682,4,0
1000000,195763,1,0
1000000,196966,7,0
1000000,196604,5,0
1000000,196386,4,0
1000000,196074,4,0
1000000,196443,9,0
1000000,196493,5,1
1000000,196545,6,0
1000000,196349,6,0
1000000,196559,4,0
1000000,196542,6,0
1000000,197142,5,0
1000000,196709,3,0
1000000,197320,6,0
1000000,196382,7,0
1000000,196752,6,0
1000000,196944,5,0
1000000,196353,4,0
1000000,196257,4,0
1000000,196675,3,0
1000000,196357,7,0
1000000,196497,6,0
1000000,196379,7,0
1000000,196145,1,0
1000000,196464,5,0
1000000,196856,2,0
1000000,195790,7,0
1000000,196650,4,0
1000000,196031,3,0
1000000,196404,6,0
1000000,195748,5,0
1000000,196777,4,0
1000000,196756,3,0
1000000,196929,4,0
1000000,196790,5,0
1000000,196912,3,0
1000000,196718,3,0
1000000,195999,7,0
1000000,196733,2,0
1000000,196381,6,0
1000000,196345,3,0
1000000,196314,5,0
1000000,196179,4,0
1000000,195163,5,0
1000000,196200,4,0
1000000,195793,4,0
1000000,196080,6,0
1000000,196697,5,0
1000000,196009,4,0
1000000,196654,3,0
1000000,196370,5,0
1000000,196448,3,0
1000000,196462,6,0
1000000,197028,9,0
1000000,195924,10,0
1000000,196533,11,0
1000000,196444,3,0
1000000,196641,6,0
1000000,196837,3,0
1000000,196259,2,0
1000000,195613,6,0
1000000,196869,9,0
1000000,196214,2,0
1000000,195989,7,0
1000000,196273,5,0
1000000,196245,5,0
1000000,196654,4,0
1000000,195999,3,0
1000000,196145,4,0
1000000,196472,8,0
1000000,195983,8,0
1000000,196278,7,0
1000000,196806,3,0
1000000,196717,1,0
1000000,196448,3,0
1000000,196267,6,0
1000000,196279,2,0
1000000,196529,2,0
1000000,196617,6,0
1000000,197015,11,0
1000000,196568,3,0
1000000,195902,5,0
1000000,196631,9,0
1000000,196384,7,0
1000000,196533,4,0
1000000,195778,6,0
1000000,196198,3,0
1000000,196588,3,0
1000000,196033,9,0
1000000,196135,7,0
1000000,196490,6,0
1000000,196415,7,0
1000000,195821,10,0
1000000,196803,4,1
1000000,196638,7,0
1000000,196001,2,0
1000000,196642,6,0
1000000,196161,3,0
1000000,196670,5,0
1000000,196600,4,0
1000000,197494,5,0
1000000,196282,3,0
1000000,195988,4,0
1000000,196089,6,0
1000000,196601,3,0
1000000,196723,6,0
1000000,195432,4,0
1000000,196372,6,0
1000000,196732,4,0
1000000,196163,3,0
1000000,196208,4,0
1000000,196268,5,0
1000000,196484,5,1
1000000,196789,7,1
1000000,196684,5,0
1000000,196355,3,0
1000000,196608,5,0
1000000,196587,2,0
1000000,196769,10,0
1000000,195677,3,0
1000000,196276,8,0
1000000,196548,7,0
