total_shots,num_flagged,num_discarded,num_incorrect
1000000,194392,3,0
1000000,194725,9,0
1000000,194897,2,0
1000000,194725,4,0
1000000,194728,2,0
1000000,194797,2,0
1000000,195208,5,0
1000000,195393,5,0
1000000,195186,8,0
1000000,194661,1,1
1000000,194216,4,0
1000000,194393,5,0
1000000,194499,7,0
1000000,194206,1,0
1000000,195173,5,0
1000000,194470,0,0
1000000,194856,9,0
1000000,194377,2,0
1000000,195091,7,0
1000000,195020,4,0
1000000,194906,5,0
1000000,194768,9,0
1000000,194966,5,0
1000000,194661,5,0
1000000,195031,2,0
1000000,194141,6,0
1000000,195618,7,0
1000000,194937,2,0
1000000,194938,3,0
1000000,194276,2,0
1000000,194463,5,0
1000000,194728,4,0
1000000,194812,8,0
1000000,195152,6,0
1000000,194925,4,0
1000000,194921,5,0
1000000,194648,8,0
1000000,194253,6,0
1000000,194855,7,0
1000000,194780,4,0
1000000,194944,2,0
1000000,194462,6,0
1000000,194425,6,0
1000000,195333,8,0
1000000,195094,3,0
1000000,194988,3,0
1000000,194675,7,0
1000000,195448,4,0
1000000,194434,5,0
1000000,195134,9,0
1000000,194664,4,0
1000000,194599,4,0
1000000,194423,7,0
1000000,194420,2,0
1000000,194921,6,0
1000000,194776,5,0
1000000,195587,5,0
1000000,195116,2,0
1000000,194771,4,0
1000000,194626,3,0
1000000,194774,10,0
1000000,194595,4,0
1000000,195341,0,0
1000000,194727,7,0
1000000,194025,4,0
1000000,195456,1,0
1000000,194366,0,0
1000000,194321,4,0
1000000,194467,2,0
1000000,194766,8,0
1000000,194845,0,0
1000000,194862,6,0
1000000,194460,4,0
1000000,194661,1,0
1000000,194834,6,0
1000000,194638,5,0
1000000,194918,5,0
1000000,195203,7,0
1000000,194908,6,0
1000000,194101,4,0
1000000,194765,1,0
1000000,195608,4,0
1000000,193843,4,0
1000000,194555,5,0
1000000,194296,3,0
1000000,194710,6,0
1000000,193957,5,0
1000000,194361,4,0
1000000,194990,4,0
1000000,194940,3,0
1000000,194880,2,0
1000000,195471,4,0
1000000,194688,9,0
1000000,194939,10,0
1000000,194414,7,0
1000000,194324,9,0
1000000,194985,5,0
1000000,194585,9,0
1000000,194919,4,0
1000000,194865,8,0
1000000,195517,4,0
1000000,194819,6,0
1000000,194953,8,0
1000000,194976,5,0
1000000,195308,2,0
1000000,195092,2,0
1000000,195087,4,0
1000000,194877,5,0
1000000,194725,8,0
1000000,194607,2,0
1000000,194261,3,0
1000000,194331,6,0
1000000,195010,3,0
1000000,194924,8,0
1000000,194371,7,0
1000000,194589,8,0
1000000,195427,5,0
1000000,194651,2,0
1000000,195075,1,0
1000000,195229,5,0
1000000,195269,2,0
1000000,194088,4,0
1000000,195070,7,0
1000000,194851,6,0
1000000,194534,2,0
1000000,195004,5,0
1000000,194476,1,0
1000000,194786,2,0
1000000,194156,6,0
1000000,194758,4,0
1000000,194667,5,0
1000000,194329,4,0
1000000,194591,3,0
1000000,194437,3,0
1000000,194545,4,0
1000000,194985,5,0
1000000,194731,4,0
1000000,195296,3,0
1000000,195008,3,0
1000000,194494,3,0
1000000,196081,6,0
1000000,194699,5,0
1000000,194361,4,0
1000000,194934,6,0
1000000,194782,5,0
1000000,194765,3,0
1000000,195130,2,0
1000000,195061,10,0
1000000,194883,4,0
1000000,194891,4,0
1000000,195370,4,0
1000000,194817,5,0
1000000,195434,7,0
1000000,194492,10,0
1000000,195110,6,0
1000000,194007,5,0
1000000,194587,7,0
1000000,195012,2,0
1000000,194864,3,0
1000000,194231,2,0
1000000,194780,10,0
1000000,194641,8,0
1000000,193851,5,0
1000000,194592,6,0
1000000,194584,2,0
1000000,195071,6,0
1000000,194418,4,0
1000000,195102,5,0
1000000,193339,2,0
1000000,195304,5,0
1000000,195153,7,0
1000000,194356,4,0
1000000,194176,8,0
1000000,194868,4,0
1000000,194915,5,0
1000000,194801,4,0
1000000,194728,0,0
1000000,194449,4,0
1000000,194425,4,0
1000000,194414,4,0
1000000,194839,4,0
1000000,195226,6,0
1000000,194528,2,0
1000000,194735,4,0
1000000,195251,3,0
1000000,194371,3,0
1000000,195021,3,0
1000000,194686,1,0
1000000,194008,3,0
1000000,195016,3,0
1000000,195011,7,0
1000000,194098,2,0
1000000,194247,7,0
1000000,193651,5,0
1000000,194440,5,0
1000000,194976,3,0
1000000,194914,6,0
1000000,194514,5,0
1000000,194565,10,0
1000000,194407,3,0
1000000,194718,6,0
1000000,194822,4,0
1000000,194160,2,0
1000000,194276,6,0
1000000,195239,5,0
1000000,195374,8,0
1000000,194960,2,0
1000000,194462,5,0
1000000,194952,5,0
1000000,194551,7,0
1000000,194633,7,0
1000000,194587,4,0
1000000,194820,7,0
1000000,194437,4,0
1000000,194269,7,0
1000000,194459,8,0
1000000,195319,5,0
1000000,194729,8,0
1000000,194225,4,0
1000000,194468,2,0
1000000,194764,9,0
1000000,194129,3,0
1000000,195048,5,0
1000000,194446,6,0
1000000,195361,4,0
1000000,194739,3,0
1000000,194512,6,0
1000000,195248,5,0
1000000,194710,4,0
1000000,194581,4,0
1000000,194098,5,0
1000000,194983,9,0
1000000,194995,6,0
1000000,195047,6,0
1000000,195095,8,0
1000000,195141,3,0
1000000,195427,4,0
1000000,194319,3,0
1000000,194945,5,0
1000000,194439,5,0
1000000,195202,3,0
1000000,194098,8,0
1000000,194829,5,1
1000000,194529,3,0
1000000,194440,2,0
1000000,194122,4,0
1000000,194717,2,0
1000000,194917,5,0
1000000,194671,3,0
1000000,194788,3,0
