total_shots,num_flagged,num_discarded,num_incorrect
1000000,191378,7,0
1000000,191603,5,0
1000000,191786,4,0
1000000,190994,5,0
1000000,191933,5,0
1000000,190962,5,0
1000000,191541,3,0
1000000,191667,4,0
1000000,191353,4,0
1000000,191533,1,0
1000000,191319,3,0
1000000,191492,1,0
1000000,190800,3,0
1000000,190867,9,0
1000000,190910,4,0
1000000,191509,2,0
1000000,191063,2,0
1000000,190876,3,0
1000000,191373,6,0
1000000,191470,4,0
1000000,191350,3,0
1000000,191449,5,0
1000000,190993,2,0
1000000,191231,7,1
1000000,191493,3,0
1000000,191696,2,0
1000000,192030,4,0
1000000,191498,6,0
1000000,190356,1,1
1000000,191753,4,0
1000000,191570,3,0
1000000,191356,4,0
1000000,191710,6,0
1000000,191504,3,0
1000000,191215,3,0
1000000,191782,4,0
1000000,191712,4,0
1000000,191793,1,0
1000000,191504,4,0
1000000,192448,6,0
1000000,191430,5,0
1000000,191134,2,0
1000000,191017,6,0
1000000,191603,5,0
1000000,191892,4,0
1000000,191108,11,0
1000000,191660,6,0
1000000,191543,2,0
1000000,191254,4,0
1000000,191298,5,0
1000000,191235,4,0
1000000,191437,2,0
1000000,191278,6,0
1000000,191069,2,0
1000000,192160,6,0
1000000,191346,10,0
1000000,191651,6,0
1000000,191201,4,0
1000000,191489,2,0
1000000,192395,3,0
1000000,191888,3,0
1000000,191956,3,0
1000000,191119,7,0
1000000,191320,2,0
1000000,191259,3,0
1000000,191567,7,0
1000000,191542,2,0
1000000,191708,5,0
1000000,191505,8,0
1000000,190872,9,0
1000000,192347,3,0
1000000,191249,6,0
1000000,191458,4,0
1000000,191624,9,0
1000000,191334,4,0
1000000,191148,4,0
1000000,191567,2,0
1000000,191462,4,0
1000000,191653,4,0
1000000,191775,5,0
1000000,191979,9,0
1000000,191609,5,0
1000000,191658,0,0
1000000,191946,3,0
1000000,191186,5,0
1000000,191692,4,0
1000000,191616,6,0
1000000,192338,8,0
1000000,191522,1,0
1000000,191868,4,0
1000000,191528,7,0
1000000,191463,4,0
1000000,190660,5,0
1000000,191137,3,0
1000000,191997,6,0
1000000,191926,3,0
1000000,191551,4,0
1000000,192021,3,0
1000000,191885,6,0
1000000,191800,10,0
1000000,191813,2,0
1000000,191100,8,0
1000000,191780,6,0
1000000,192023,4,0
1000000,192039,3,0
1000000,191381,6,0
1000000,191418,4,0
1000000,191589,2,0
1000000,191257,7,0
1000000,191498,4,0
1000000,192398,4,0
1000000,191477,3,0
1000000,191268,5,0
1000000,191210,6,0
1000000,191725,5,0
1000000,190627,2,0
1000000,192080,6,0
1000000,191734,2,0
1000000,192253,3,0
1000000,191394,9,0
1000000,191859,6,0
1000000,191618,6,0
1000000,191948,5,0
1000000,192212,7,0
1000000,191574,5,0
1000000,190940,6,0
1000000,191120,7,0
1000000,191694,7,0
1000000,191475,1,0
1000000,191681,7,0
1000000,191548,8,0
1000000,190990,4,0
1000000,191145,2,0
1000000,191497,4,0
1000000,191367,3,0
1000000,190954,7,0
1000000,191960,3,0
1000000,191886,3,0
1000000,190965,2,0
1000000,191553,2,0
1000000,191679,8,0
1000000,192026,2,0
1000000,191206,3,0
1000000,191043,3,0
1000000,191772,3,0
1000000,191625,3,0
1000000,191609,7,0
1000000,191505,7,0
1000000,190933,3,0
1000000,191619,3,0
1000000,191927,5,0
1000000,191419,2,0
1000000,191953,2,0
1000000,191970,2,0
1000000,192214,4,0
1000000,190876,5,0
1000000,191809,2,0
1000000,191326,4,0
1000000,191144,6,0
1000000,191005,4,0
1000000,191347,5,0
1000000,191208,5,0
1000000,191294,5,0
1000000,191070,5,0
1000000,191001,4,0
1000000,192110,3,0
1000000,191341,3,0
1000000,191591,4,0
1000000,191136,8,0
1000000,191435,5,0
1000000,191923,4,0
1000000,191680,1,0
1000000,191693,2,0
1000000,191733,5,0
1000000,191701,2,0
1000000,191257,3,0
1000000,192057,5,0
1000000,191514,5,0
1000000,191264,5,0
1000000,191222,4,0
1000000,191582,3,0
1000000,191656,6,0
1000000,191562,6,0
1000000,191249,3,0
1000000,192011,9,0
1000000,191827,3,0
1000000,191178,2,0
1000000,191056,2,0
1000000,191572,3,0
1000000,191458,6,0
1000000,191549,4,0
1000000,190508,4,0
1000000,191537,3,0
1000000,191266,7,0
1000000,192065,6,0
1000000,191388,4,0
1000000,191798,4,0
1000000,191333,6,0
1000000,191664,5,0
1000000,191147,2,0
1000000,191463,2,0
1000000,192154,3,0
1000000,191138,8,0
1000000,190983,4,0
1000000,191142,5,0
1000000,191750,4,0
1000000,191456,5,0
1000000,191349,5,0
1000000,191539,5,0
1000000,191461,2,0
1000000,191800,3,0
1000000,190954,4,0
1000000,191256,1,0
1000000,191278,4,0
1000000,191651,2,0
1000000,190819,5,0
1000000,192104,4,0
1000000,191790,4,0
1000000,191148,4,0
1000000,190777,4,0
1000000,191434,5,0
1000000,192183,3,0
1000000,191404,7,0
1000000,191181,1,0
1000000,192038,5,0
1000000,190417,7,0
1000000,191631,2,0
1000000,191527,9,0
1000000,191146,5,0
1000000,191773,3,0
1000000,190979,7,0
1000000,190904,4,0
1000000,191493,5,0
1000000,191084,2,0
1000000,191686,8,0
1000000,191322,5,0
1000000,191925,5,0
1000000,191715,4,0
1000000,191847,4,0
1000000,191811,2,0
1000000,191736,6,0
1000000,191128,5,0
1000000,191059,10,0
1000000,191055,5,0
1000000,191110,8,0
1000000,191880,3,0
1000000,191449,4,0
1000000,191013,9,0
1000000,191036,3,0
1000000,191743,4,1
