total_shots,num_flagged,num_discarded,num_incorrect
1000000,190439,5,0
1000000,190438,4,0
1000000,189525,4,0
1000000,190735,8,0
1000000,189771,8,0
1000000,189901,3,0
1000000,190118,7,0
1000000,189357,4,0
1000000,190295,4,0
1000000,189734,6,0
1000000,189468,9,0
1000000,189917,5,0
1000000,190515,11,0
1000000,189763,4,1
1000000,190113,1,0
1000000,189965,6,0
1000000,190253,6,0
1000000,189876,6,1
1000000,189607,5,0
1000000,189250,6,0
1000000,189843,5,0
1000000,189877,5,0
1000000,189683,7,0
1000000,189795,3,0
1000000,189951,2,0
1000000,189819,5,0
1000000,190080,7,0
1000000,190435,4,0
1000000,189919,3,0
1000000,190589,3,0
1000000,190575,5,0
1000000,190143,6,0
1000000,189946,5,0
1000000,190537,9,0
1000000,190366,4,0
1000000,189434,7,0
1000000,189698,3,0
1000000,189860,3,0
1000000,190252,10,0
1000000,190432,2,0
1000000,190182,7,0
1000000,189877,6,0
1000000,189419,3,0
1000000,190425,10,0
1000000,189742,7,0
1000000,190172,7,0
1000000,190891,5,0
1000000,189565,5,0
1000000,190468,5,0
1000000,190399,3,0
1000000,191200,4,0
1000000,189117,6,0
1000000,190186,5,0
1000000,189944,2,0
1000000,189201,4,0
1000000,189610,4,0
1000000,189441,4,0
1000000,190109,3,0
1000000,189952,9,0
1000000,190318,3,0
1000000,189985,8,0
1000000,189010,10,0
1000000,190749,4,0
1000000,189650,4,0
1000000,189767,5,0
1000000,190370,5,0
1000000,190065,4,1
1000000,189830,3,0
1000000,190708,5,0
1000000,190380,1,0
1000000,190176,4,0
1000000,190085,3,0
1000000,189707,4,0
1000000,189809,2,0
1000000,190395,3,0
1000000,189508,5,0
1000000,190007,2,0
1000000,190653,6,0
1000000,190243,2,0
1000000,189038,5,0
1000000,190163,10,0
1000000,190016,7,0
1000000,190419,3,0
1000000,189989,7,0
1000000,190078,4,0
1000000,189714,8,0
1000000,190086,5,0
1000000,190132,7,0
1000000,189880,6,0
1000000,189437,4,0
1000000,190150,7,0
1000000,190130,3,0
1000000,189873,6,0
1000000,189794,11,0
1000000,190362,4,0
1000000,189992,4,0
1000000,189891,5,0
1000000,190592,3,0
1000000,190368,1,0
1000000,190135,2,0
1000000,189739,5,0
1000000,190547,6,1
1000000,190060,6,0
1000000,189997,6,0
1000000,190780,3,0
1000000,190074,2,0
1000000,189614,7,0
1000000,189855,4,0
1000000,189562,7,0
1000000,189605,10,0
1000000,190638,3,0
1000000,189739,9,0
1000000,189993,5,0
1000000,190175,2,0
1000000,190136,3,0
1000000,190634,7,0
1000000,189793,6,1
1000000,190161,3,0
1000000,189728,3,0
1000000,190464,2,0
1000000,190566,4,0
1000000,189932,5,0
1000000,189876,5,0
1000000,189761,7,0
1000000,189593,8,0
1000000,190002,6,0
1000000,190011,4,0
1000000,189850,6,0
1000000,189714,7,0
1000000,190362,6,0
1000000,190321,4,0
1000000,189828,9,0
1000000,190502,7,1
1000000,190114,8,0
1000000,190022,3,0
1000000,190214,6,0
1000000,190093,7,0
1000000,190136,9,0
1000000,190397,3,0
1000000,190148,3,0
1000000,190054,3,0
1000000,190542,0,0
1000000,189441,8,0
1000000,190444,3,0
1000000,189241,6,0
1000000,189817,4,0
1000000,190289,6,0
1000000,190002,5,0
1000000,189975,8,0
1000000,191040,8,0
1000000,189819,6,0
1000000,190393,7,0
1000000,189949,2,0
1000000,189901,3,0
1000000,190389,3,0
1000000,190467,7,0
1000000,189938,7,0
1000000,190844,6,0
1000000,190612,0,0
1000000,189918,3,0
1000000,189667,5,0
1000000,190089,4,0
1000000,190668,5,0
1000000,189902,5,0
1000000,190259,4,0
1000000,189972,2,0
1000000,189120,0,0
1000000,189215,4,0
1000000,190249,6,0
1000000,190140,8,0
1000000,190270,6,0
1000000,189657,5,0
1000000,190252,6,0
1000000,189876,4,0
1000000,190415,3,0
1000000,190557,4,0
1000000,190429,2,0
1000000,190228,6,0
1000000,189749,4,0
1000000,190264,5,0
1000000,189893,9,0
1000000,189874,6,0
1000000,189486,4,0
1000000,190254,4,0
1000000,190041,5,0
1000000,190247,8,0
1000000,189905,3,0
1000000,189883,5,0
1000000,189903,8,0
1000000,190778,5,0
1000000,189884,5,0
1000000,190355,2,0
1000000,190089,6,0
1000000,190569,8,0
1000000,189596,6,0
1000000,190442,7,0
1000000,189930,6,0
1000000,190724,4,0
1000000,190699,6,0
1000000,189697,5,0
1000000,189807,4,0
1000000,190024,7,0
1000000,190002,7,0
1000000,190684,4,0
1000000,190279,5,0
1000000,189756,9,0
1000000,189963,9,0
1000000,189207,12,0
1000000,190047,5,0
1000000,189743,6,0
1000000,190308,5,0
1000000,189833,5,0
1000000,189806,3,0
1000000,189696,3,0
1000000,189856,4,0
1000000,190469,4,0
1000000,190074,6,0
1000000,190441,5,0
1000000,190266,5,0
1000000,190127,6,0
1000000,189720,10,0
1000000,189614,8,0
1000000,189901,5,0
1000000,190352,2,0
1000000,189975,6,0
1000000,190189,3,0
1000000,190775,5,0
1000000,190472,5,0
1000000,189965,13,0
1000000,190086,8,0
1000000,190165,3,1
1000000,190495,4,0
1000000,189427,4,0
1000000,189503,4,0
1000000,189477,3,0
1000000,190579,8,0
1000000,190193,4,0
1000000,190349,6,0
1000000,189794,6,0
1000000,189654,8,0
1000000,190564,4,0
1000000,189881,4,0
1000000,191071,4,0
1000000,190098,3,0
1000000,189971,3,0
1000000,189670,6,0
1000000,190019,6,0
1000000,189636,4,1
1000000,191187,3,0
1000000,189610,3,0
