total_shots,num_flagged,num_discarded,num_incorrect
1000000,191344,5,0
1000000,191024,6,0
1000000,192347,7,0
1000000,191080,4,0
1000000,191512,6,0
1000000,192293,10,0
1000000,191489,7,0
1000000,191015,5,0
1000000,191266,6,0
1000000,191190,12,0
1000000,191262,2,0
1000000,191308,3,0
1000000,192226,2,0
1000000,191171,5,0
1000000,192603,7,0
1000000,190506,6,0
1000000,191735,4,0
1000000,191917,9,0
1000000,191530,6,0
1000000,191563,3,0
1000000,191890,9,0
1000000,191945,3,0
1000000,191704,5,0
1000000,192271,3,0
1000000,191894,8,0
1000000,191268,8,0
1000000,191146,4,0
1000000,191282,4,0
1000000,191820,8,0
1000000,192008,8,0
1000000,191613,7,0
1000000,191719,3,1
1000000,191231,8,0
1000000,191632,8,0
1000000,191051,8,0
1000000,191552,7,0
1000000,191972,7,0
1000000,191810,5,0
1000000,191834,3,0
1000000,191695,6,0
1000000,191838,4,0
1000000,191550,5,0
1000000,191723,6,0
1000000,191606,4,0
1000000,191152,3,0
1000000,191359,4,0
1000000,191546,7,0
1000000,191542,7,0
1000000,191387,3,0
1000000,191384,2,0
1000000,191378,2,0
1000000,191966,3,0
1000000,191895,5,0
1000000,190922,6,0
1000000,191346,4,0
1000000,191518,6,0
1000000,191368,1,0
1000000,191435,4,0
1000000,191067,5,0
1000000,191400,3,0
1000000,190909,4,0
1000000,191054,6,0
1000000,191516,2,0
1000000,191837,5,0
1000000,191341,5,0
1000000,191638,6,0
1000000,191407,4,0
1000000,191481,7,0
1000000,190924,7,0
1000000,192621,2,0
1000000,191679,8,0
1000000,191111,5,0
1000000,190807,6,0
1000000,191813,7,0
1000000,191096,5,0
1000000,190659,6,0
1000000,191734,2,0
1000000,191322,5,0
1000000,191238,1,0
1000000,191683,4,0
1000000,190774,2,0
1000000,191536,6,0
1000000,191847,4,0
1000000,191746,10,0
1000000,191680,5,0
1000000,191987,5,0
1000000,190895,5,0
1000000,191576,6,0
1000000,191552,8,0
1000000,191354,2,0
1000000,191836,8,0
1000000,191906,3,0
1000000,191374,5,0
