total_shots,num_flagged,num_discarded,num_incorrect
1000000,191808,6,0
1000000,191454,7,0
1000000,191377,6,0
1000000,191418,3,0
1000000,191307,5,0
1000000,191314,8,0
1000000,191376,10,0
1000000,191644,9,0
1000000,191132,8,0
1000000,190771,9,0
1000000,191065,7,0
1000000,191179,5,0
1000000,191369,9,0
1000000,191592,6,0
1000000,191546,8,0
1000000,191547,4,0
1000000,191854,8,0
1000000,190957,8,0
1000000,190956,10,0
1000000,191451,9,0
1000000,191729,7,0
1000000,191038,6,0
1000000,191023,6,0
1000000,190863,6,0
1000000,191209,9,0
1000000,190714,4,0
1000000,190930,5,0
1000000,191552,5,0
1000000,191053,7,0
1000000,191327,1,0
1000000,191095,9,0
1000000,191000,7,0
1000000,191326,2,0
1000000,190664,8,0
1000000,190636,7,0
1000000,191567,6,0
1000000,191495,9,0
1000000,190841,7,0
1000000,191314,6,0
1000000,192133,6,0
1000000,191489,3,0
1000000,191326,11,0
1000000,191028,6,0
1000000,190906,3,0
1000000,190292,5,0
1000000,191100,8,0
1000000,191460,8,0
1000000,190786,10,1
1000000,190793,9,0
1000000,190765,5,0
1000000,191111,7,0
1000000,191559,4,0
1000000,191422,7,0
1000000,191514,11,0
1000000,191464,6,0
1000000,191410,2,0
1000000,191027,3,1
1000000,190701,5,0
1000000,190793,6,0
1000000,191486,9,0
1000000,190609,3,0
1000000,191204,8,0
1000000,190760,8,0
1000000,190768,5,0
1000000,191381,11,0
1000000,191311,13,0
1000000,191302,7,0
1000000,191116,7,0
1000000,191337,7,1
1000000,191085,7,0
1000000,191702,9,0
1000000,191596,6,0
1000000,190744,6,0
1000000,191632,8,1
1000000,191484,7,0
1000000,191074,6,0
1000000,190673,5,0
1000000,190909,10,0
1000000,191795,5,0
1000000,191217,8,0
1000000,191206,10,0
1000000,190930,4,0
1000000,190720,2,0
1000000,191285,7,0
1000000,191321,3,0
1000000,191309,7,0
1000000,191127,2,0
1000000,191102,6,0
1000000,191467,2,2
1000000,190986,3,0
1000000,192128,7,0
1000000,190773,9,0
1000000,191266,5,0
1000000,191170,8,0
1000000,191129,7,0
1000000,191104,12,0
1000000,191073,7,0
1000000,191058,7,0
1000000,191188,4,0
1000000,191293,8,0
1000000,191147,4,0
1000000,191787,5,0
1000000,191468,11,0
1000000,190712,5,0
1000000,191325,7,0
1000000,191655,7,0
1000000,190798,5,0
1000000,191511,2,0
1000000,190419,6,0
1000000,191291,9,0
1000000,190883,5,0
1000000,191253,8,0
1000000,191071,9,0
1000000,191568,5,0
1000000,190540,6,0
1000000,191620,10,0
1000000,191370,11,0
1000000,191997,11,1
1000000,191083,7,0
1000000,191139,9,0
1000000,190666,11,0
1000000,191609,9,0
1000000,191275,10,0
1000000,191093,5,0
1000000,191703,5,0
1000000,191472,4,0
1000000,191099,4,0
1000000,191433,7,0
1000000,191608,11,0
1000000,191983,5,0
1000000,191244,5,0
1000000,190893,2,0
1000000,191799,3,0
1000000,191347,13,0
1000000,191163,7,0
1000000,191107,9,1
1000000,191733,5,0
1000000,191452,12,0
1000000,191833,8,0
1000000,192110,6,0
1000000,190921,5,0
1000000,190371,11,1
1000000,191634,6,0
1000000,191855,9,0
1000000,191025,9,2
1000000,191463,10,0
1000000,190372,11,0
1000000,190469,10,0
1000000,191717,8,0
1000000,191127,3,0
1000000,190932,8,0
1000000,192244,5,0
1000000,191705,11,0
1000000,191313,5,0
1000000,191691,7,0
1000000,191033,8,0
1000000,191515,5,0
1000000,190811,8,0
1000000,191263,9,0
1000000,190867,4,0
1000000,191322,5,0
1000000,190795,6,0
1000000,191319,8,0
1000000,191375,5,0
1000000,191294,5,0
1000000,190561,8,0
1000000,191567,2,1
1000000,191598,3,0
1000000,190671,8,0
1000000,190700,8,0
1000000,190494,7,0
1000000,190906,10,0
1000000,191008,5,0
1000000,191374,4,0
1000000,191640,5,0
1000000,191125,9,0
1000000,191291,5,0
1000000,190876,10,0
1000000,190907,5,0
1000000,191217,7,0
1000000,191304,0,0
1000000,191702,7,0
1000000,190997,10,0
1000000,191392,5,0
1000000,190918,9,0
1000000,191217,7,0
1000000,190545,9,0
1000000,191155,6,0
1000000,191311,5,0
1000000,191484,5,0
1000000,191274,7,1
1000000,190982,8,1
1000000,191254,7,0
1000000,190818,5,0
1000000,190770,13,0
1000000,191385,6,0
1000000,191340,5,0
1000000,191247,2,0
1000000,191581,6,0
1000000,190988,4,0
1000000,191158,7,0
1000000,191527,4,0
1000000,190897,5,0
1000000,191646,2,0
1000000,190775,8,0
1000000,190685,5,0
1000000,191574,5,0
1000000,191971,8,1
1000000,191246,4,0
1000000,191248,5,0
1000000,191009,5,0
1000000,191711,6,0
1000000,191251,8,0
1000000,191911,6,0
1000000,190896,9,0
1000000,190978,2,0
1000000,191452,8,0
1000000,191208,5,0
1000000,191358,11,0
1000000,191604,11,0
1000000,191355,8,0
1000000,190695,5,0
1000000,191215,9,0
1000000,190785,7,0
1000000,190805,8,0
1000000,191343,8,0
1000000,190928,5,0
1000000,191178,4,0
1000000,190870,5,0
1000000,190699,6,1
1000000,191540,4,0
1000000,191267,7,0
1000000,191326,6,0
1000000,191636,5,0
1000000,191160,7,0
1000000,190703,9,0
1000000,191447,7,0
1000000,191763,7,0
1000000,190969,6,0
1000000,191149,6,0
1000000,190750,9,0
1000000,190804,4,0
1000000,190403,4,0
1000000,190853,4,0
1000000,190254,8,0
1000000,191590,14,0
1000000,191218,11,0
1000000,190846,12,0
1000000,191667,3,0
1000000,191261,9,0
1000000,190644,6,0
1000000,191107,10,0
1000000,191383,4,0
1000000,191329,4,0
1000000,191908,6,0
1000000,192028,4,0
1000000,191049,6,0
1000000,190949,6,0
1000000,190276,6,0
1000000,191128,7,0
1000000,191855,14,0
1000000,191842,7,0
1000000,190263,7,0
1000000,191274,6,0
1000000,190750,9,0
1000000,190868,4,0
1000000,191353,4,0
1000000,190522,4,0
1000000,191603,10,0
1000000,191776,4,0
1000000,190545,5,0
1000000,190632,7,0
1000000,190674,7,0
1000000,191188,6,0
1000000,190961,8,0
1000000,191149,6,0
1000000,191804,8,0
1000000,191482,7,0
1000000,191432,9,0
1000000,190863,5,0
1000000,191333,7,0
1000000,190882,5,0
1000000,190980,6,0
1000000,192037,3,0
1000000,190932,10,0
1000000,191114,3,0
1000000,190360,6,0
1000000,191108,5,0
1000000,190826,5,0
1000000,191764,6,0
1000000,190804,8,0
