total_shots,num_flagged,num_discarded,num_incorrect
1000000,190766,6,0
1000000,191249,8,0
1000000,190630,1,0
1000000,189644,1,0
1000000,189722,5,0
1000000,190658,10,0
1000000,189667,6,0
1000000,190579,4,1
1000000,190555,6,1
1000000,190145,7,0
1000000,190514,1,0
1000000,190685,4,0
1000000,190547,2,0
1000000,190578,1,0
1000000,190451,4,0
1000000,191028,4,0
1000000,190424,2,0
1000000,190810,6,0
1000000,190585,7,0
1000000,190749,8,0
1000000,190840,5,0
1000000,189769,4,0
1000000,190120,4,0
1000000,190586,6,0
1000000,190810,7,0
1000000,190867,6,0
1000000,190293,6,0
1000000,189833,9,0
1000000,190598,8,0
1000000,190492,3,0
1000000,190462,8,0
1000000,190542,3,0
1000000,190751,7,0
1000000,190639,9,0
1000000,190388,6,0
1000000,189305,5,0
1000000,191039,7,0
1000000,190325,7,0
1000000,190554,4,0
1000000,191012,5,0
1000000,190391,5,0
1000000,190473,4,0
1000000,191420,7,0
1000000,190135,5,0
1000000,190722,6,0
1000000,190661,2,0
1000000,190618,5,0
1000000,191263,4,0
1000000,190341,5,0
1000000,190364,8,0
1000000,190473,5,0
1000000,190461,10,0
1000000,190021,2,0
1000000,190815,3,0
1000000,190595,4,0
1000000,190107,5,0
1000000,190110,5,0
1000000,190465,8,0
1000000,190047,4,0
1000000,190320,7,0
1000000,190945,5,0
1000000,190776,8,0
1000000,190163,3,0
1000000,190311,4,0
1000000,190626,3,0
1000000,190038,6,0
1000000,190676,7,0
1000000,190507,7,0
1000000,190477,4,0
1000000,190261,11,0
1000000,191087,4,0
1000000,190231,9,0
1000000,191067,1,0
1000000,190075,5,0
1000000,190904,2,0
1000000,191018,3,0
1000000,190198,7,0
1000000,190586,3,0
1000000,190420,8,1
1000000,190041,4,0
1000000,190886,6,0
1000000,191117,9,0
1000000,190987,3,0
1000000,191354,3,0
1000000,190692,4,0
1000000,191166,7,0
1000000,190039,3,0
1000000,190430,3,0
1000000,190093,4,0
1000000,191330,11,0
1000000,191062,5,0
1000000,190602,6,0
1000000,190136,2,0
1000000,191034,5,0
1000000,190866,5,0
1000000,190813,6,0
1000000,190605,5,0
1000000,191089,5,0
1000000,190681,6,0
1000000,190854,9,0
1000000,190509,5,0
1000000,190346,6,0
1000000,190196,5,0
1000000,191335,3,0
1000000,190144,6,0
1000000,190308,1,0
1000000,190617,9,0
1000000,190556,2,0
1000000,190787,10,0
1000000,190302,4,0
1000000,191009,5,0
1000000,190541,6,0
1000000,190854,9,0
1000000,190373,3,0
1000000,190710,4,0
1000000,190009,6,0
1000000,189876,5,0
1000000,190519,4,0
1000000,190440,6,0
1000000,190192,6,0
1000000,190471,3,0
1000000,190582,7,0
1000000,190851,5,0
1000000,189825,3,0
1000000,191490,2,0
1000000,190464,5,0
1000000,190437,6,0
1000000,191045,7,0
1000000,190673,4,0
1000000,190061,1,0
1000000,190381,6,0
1000000,190454,7,0
1000000,191433,6,0
1000000,190714,5,0
1000000,190910,3,0
1000000,190156,7,0
1000000,190487,6,0
1000000,190909,3,0
1000000,190963,4,0
1000000,190828,4,0
1000000,190409,5,0
1000000,191007,6,1
1000000,191313,4,0
1000000,190314,2,0
1000000,190326,8,0
1000000,189407,2,0
1000000,190348,4,0
1000000,190693,7,0
1000000,190359,6,0
1000000,190241,4,0
1000000,190239,6,0
1000000,190206,4,0
1000000,190753,7,0
1000000,190284,2,0
1000000,190884,5,0
1000000,190057,11,0
1000000,189606,1,0
1000000,189940,4,0
1000000,189778,5,0
1000000,190877,4,0
1000000,191079,7,0
1000000,190458,6,0
1000000,190802,5,0
1000000,191026,8,0
1000000,190951,4,0
1000000,190277,2,0
1000000,190642,6,0
1000000,190618,7,0
1000000,190819,4,0
1000000,191107,5,0
1000000,191032,6,0
1000000,190606,4,0
1000000,190029,4,0
1000000,190360,5,0
1000000,190613,1,0
1000000,190437,5,0
1000000,190441,7,0
1000000,189985,3,0
1000000,190498,6,0
1000000,190692,7,0
1000000,190028,2,0
1000000,190667,1,0
1000000,191070,5,0
1000000,191248,4,0
1000000,190112,8,0
1000000,189995,5,0
1000000,189926,4,0
1000000,189981,2,0
1000000,190818,4,0
1000000,190644,4,0
1000000,190233,7,0
1000000,191398,4,0
1000000,190084,5,0
1000000,190860,5,1
1000000,190122,6,0
1000000,190049,2,0
1000000,190532,2,0
1000000,190432,5,0
1000000,191002,9,0
1000000,190341,7,0
1000000,190144,3,0
1000000,190492,5,0
1000000,190698,9,0
1000000,189995,7,0
1000000,190931,6,0
1000000,190414,9,0
1000000,190948,8,0
1000000,190684,4,0
1000000,190251,5,0
1000000,190458,8,0
1000000,190260,3,0
1000000,190503,3,0
1000000,191000,6,0
1000000,190230,6,0
1000000,190554,1,0
1000000,189998,5,0
1000000,190534,5,0
1000000,190859,6,0
1000000,190415,3,0
1000000,190639,7,0
1000000,190440,4,0
1000000,191007,5,0
1000000,191052,3,0
1000000,190266,10,0
1000000,190337,6,0
1000000,190948,7,0
1000000,190901,4,0
1000000,190176,2,0
1000000,190639,5,0
1000000,190699,4,0
1000000,190145,5,0
1000000,190974,5,0
1000000,190042,7,0
1000000,190535,5,0
1000000,190635,7,0
1000000,190702,6,0
1000000,190436,7,0
1000000,190675,3,0
1000000,191048,4,0
1000000,191002,5,1
1000000,189934,8,0
1000000,190087,6,0
1000000,190180,5,0
1000000,190527,5,0
1000000,191163,4,0
1000000,190650,2,0
1000000,190477,4,0
1000000,190796,5,0
1000000,190694,5,0
1000000,190741,7,0
