total_shots,num_flagged,num_discarded,num_incorrect
1000000,88426,0,0
1000000,88525,0,1
1000000,88700,0,0
1000000,88872,0,0
1000000,88670,0,0
1000000,88722,0,0
1000000,88809,0,1
1000000,88765,0,0
1000000,88867,0,1
1000000,89108,0,0
1000000,88583,0,1
1000000,88950,0,0
1000000,89077,0,1
1000000,88737,0,1
1000000,88898,0,5
1000000,88852,0,2
1000000,88633,0,1
1000000,88791,0,0
1000000,89392,0,2
1000000,88087,0,1
1000000,89035,0,0
1000000,88775,0,1
1000000,88481,0,1
1000000,88802,0,0
1000000,88714,0,0
1000000,89007,0,1
1000000,89236,0,0
1000000,88909,0,0
1000000,89026,0,1
1000000,89499,0,1
1000000,89255,0,0
1000000,88967,0,0
1000000,89174,0,2
1000000,89021,0,1
1000000,88757,0,2
1000000,88777,0,0
1000000,89440,0,1
1000000,89013,0,0
1000000,89181,0,0
1000000,89432,0,1
1000000,88919,0,0
1000000,89117,0,0
1000000,89032,0,1
1000000,88524,0,1
1000000,88924,0,0
1000000,88975,0,0
1000000,89307,0,0
1000000,89143,0,1
1000000,88920,0,2
1000000,89203,0,1
1000000,88815,0,0
1000000,88777,0,1
1000000,88802,0,1
1000000,89007,0,0
1000000,88418,0,1
1000000,88954,0,2
1000000,89072,0,1
1000000,89182,0,2
1000000,89007,0,0
1000000,89111,0,0
1000000,89024,0,0
1000000,88983,0,0
1000000,89388,0,2
1000000,88738,0,0
1000000,89195,0,1
1000000,89018,0,1
1000000,88848,0,1
1000000,88850,0,3
1000000,88662,0,1
1000000,88834,0,1
1000000,88926,0,0
1000000,88679,0,2
1000000,88788,0,0
1000000,89031,0,0
1000000,89079,0,0
1000000,89222,0,1
1000000,88691,0,0
1000000,88694,0,1
1000000,88963,0,2
1000000,88830,0,0
1000000,89171,0,0
1000000,89193,0,0
1000000,88871,0,2
1000000,89312,0,0
1000000,89151,0,0
1000000,88829,0,1
1000000,89033,0,1
1000000,88532,0,4
1000000,88795,0,0
1000000,88900,0,2
1000000,89192,0,1
1000000,88469,0,0
1000000,88161,0,0
1000000,88955,0,1
1000000,88848,0,1
1000000,89151,0,0
1000000,88804,0,0
1000000,88834,0,2
1000000,88872,0,2
1000000,89090,0,0
1000000,88795,0,0
1000000,89189,0,0
1000000,89195,0,0
1000000,88928,0,1
1000000,88929,0,1
1000000,88675,0,4
1000000,88892,0,1
1000000,89539,0,0
1000000,88576,0,0
1000000,88984,0,1
1000000,88813,0,1
1000000,88561,0,0
1000000,89158,0,0
1000000,88936,0,0
1000000,89305,0,1
1000000,89215,0,0
1000000,89011,0,0
1000000,89175,0,1
1000000,89601,0,0
1000000,89345,0,0
1000000,88925,0,0
1000000,89022,0,0
1000000,88715,0,0
1000000,89261,0,0
1000000,88720,0,0
1000000,88884,0,0
1000000,89029,0,0
1000000,88914,0,1
1000000,88807,0,1
1000000,88321,0,1
1000000,89334,0,3
1000000,88935,0,0
1000000,89195,0,0
1000000,89199,0,1
1000000,89221,0,1
1000000,89353,0,1
1000000,88819,0,0
1000000,88649,0,1
1000000,88677,0,0
1000000,88884,0,1
1000000,89103,0,0
1000000,89004,0,0
1000000,88835,0,0
1000000,88917,0,1
1000000,88743,0,1
1000000,89218,0,0
1000000,89031,0,0
1000000,88644,0,5
1000000,89178,0,0
1000000,88732,0,0
1000000,89375,0,0
1000000,89405,0,0
1000000,89075,0,2
1000000,88892,0,0
1000000,88695,0,0
1000000,88920,0,0
1000000,88878,0,1
1000000,88975,0,0
1000000,89130,0,1
1000000,88717,0,0
1000000,89096,0,1
1000000,88954,0,1
1000000,88904,0,0
1000000,89625,0,1
1000000,88380,0,2
1000000,88443,0,0
1000000,88835,0,0
1000000,89227,0,1
1000000,88693,0,0
1000000,88873,0,1
1000000,88568,0,1
1000000,88908,0,1
1000000,88687,0,0
1000000,89074,0,1
1000000,88704,0,1
1000000,88961,0,0
1000000,88941,0,0
1000000,89126,0,1
1000000,88940,0,0
1000000,88714,0,0
1000000,88947,0,1
1000000,89133,0,1
1000000,88837,0,0
1000000,89192,0,0
1000000,88484,0,3
1000000,88819,0,1
1000000,89442,0,0
1000000,89395,0,0
1000000,89000,0,0
1000000,89113,0,1
1000000,88546,0,0
1000000,89341,0,0
1000000,88604,0,0
1000000,89099,0,0
1000000,89089,0,0
1000000,88623,0,0
1000000,89053,0,0
1000000,89009,0,0
1000000,88847,0,1
1000000,88984,0,0
1000000,88964,0,0
1000000,89833,0,2
1000000,88992,0,0
1000000,89305,0,1
1000000,89019,0,0
1000000,89242,0,0
1000000,88582,0,1
1000000,89141,0,0
1000000,89026,0,2
1000000,88719,0,0
1000000,88913,0,2
1000000,88710,0,1
1000000,89055,0,0
1000000,88933,0,0
1000000,88992,0,0
1000000,88817,0,1
1000000,88849,0,2
1000000,88396,0,2
1000000,89005,0,0
1000000,88739,0,2
1000000,88927,0,0
1000000,88987,0,2
1000000,88984,0,2
1000000,88425,0,1
1000000,89275,0,1
1000000,89211,0,1
1000000,89215,0,0
1000000,88878,0,1
1000000,88431,0,0
1000000,88401,0,0
1000000,88502,0,1
1000000,88909,0,1
1000000,89175,0,0
1000000,89197,0,0
1000000,88919,0,0
1000000,89013,0,0
1000000,88850,0,2
1000000,89253,0,0
1000000,89309,0,1
1000000,89044,0,0
1000000,88588,0,0
1000000,88975,0,1
1000000,89090,0,3
1000000,88796,0,0
1000000,88770,0,0
1000000,89307,0,0
1000000,89132,0,0
1000000,89055,0,1
1000000,89267,0,0
1000000,88830,0,0
1000000,89203,0,0
1000000,89311,0,0
1000000,88879,0,0
1000000,89067,0,1
1000000,88876,0,0
1000000,89107,0,0
1000000,88777,0,1
1000000,88905,0,2
1000000,89281,0,1
1000000,88261,0,0
1000000,88917,0,0
1000000,88619,0,0
1000000,89037,0,0
1000000,88561,0,0
1000000,89386,0,1
1000000,89085,0,1
1000000,89159,0,0
1000000,89313,0,0
1000000,88804,0,1
1000000,89401,0,0
1000000,89110,0,1
1000000,89008,0,0
1000000,88441,0,1
1000000,89139,0,2
1000000,88900,0,2
1000000,88772,0,0
1000000,89310,0,0
1000000,89422,0,0
1000000,88960,0,0
1000000,88569,0,0
1000000,88940,0,0
1000000,89205,0,2
1000000,88871,0,1
1000000,89166,0,2
1000000,88723,0,0
1000000,88960,0,2
1000000,88817,0,0
1000000,89369,0,1
1000000,88718,0,0
1000000,88511,0,1
1000000,88904,0,0
