total_shots,num_flagged,num_discarded,num_incorrect
1000000,87765,0,0
1000000,88276,0,0
1000000,88355,0,0
1000000,87857,0,2
1000000,87745,0,0
1000000,88433,0,1
1000000,88020,0,0
1000000,87765,0,0
1000000,88189,0,0
1000000,88545,0,0
1000000,88603,0,0
1000000,88177,0,0
1000000,87643,0,1
1000000,88245,0,1
1000000,88243,0,1
1000000,87935,0,2
1000000,88376,0,0
1000000,88222,0,0
1000000,88459,0,0
1000000,88033,0,0
1000000,88537,0,1
1000000,88047,0,1
1000000,88640,0,0
1000000,87946,0,0
1000000,88154,0,1
1000000,88674,0,0
1000000,87521,0,0
1000000,87884,0,1
1000000,88238,0,0
1000000,88403,0,2
1000000,88077,0,0
1000000,88101,0,0
1000000,88101,0,0
1000000,87677,0,1
1000000,88340,0,1
1000000,88570,0,0
1000000,87961,0,0
1000000,88214,0,0
1000000,88091,0,0
1000000,88661,0,1
1000000,87821,0,0
1000000,88505,0,0
1000000,88563,0,0
1000000,88077,0,1
1000000,88258,0,2
1000000,88615,0,0
1000000,88209,0,0
1000000,88348,0,0
1000000,88693,0,1
1000000,88255,0,0
1000000,88758,0,1
1000000,88600,0,1
1000000,88093,0,0
1000000,88242,0,0
1000000,88125,0,0
1000000,88076,0,0
1000000,88583,0,1
1000000,88448,0,0
1000000,88066,0,0
1000000,88042,0,0
1000000,88154,0,0
1000000,88252,0,0
1000000,88231,0,0
1000000,88404,0,0
1000000,87893,0,2
1000000,88432,0,1
1000000,88012,0,0
1000000,88304,0,1
1000000,88329,0,0
1000000,88584,0,1
1000000,88389,0,2
1000000,88405,0,2
1000000,88356,0,1
1000000,88545,0,0
1000000,88249,0,0
1000000,88269,0,1
1000000,88462,0,0
1000000,88282,0,1
1000000,87825,0,1
1000000,88434,0,1
1000000,88534,0,1
1000000,88174,0,0
1000000,88122,0,0
1000000,88032,0,1
1000000,88426,0,0
1000000,88745,0,1
1000000,87880,0,0
1000000,88370,0,2
1000000,88123,0,0
1000000,88618,0,0
1000000,88027,0,0
1000000,88830,0,0
1000000,88021,0,0
1000000,88794,0,0
1000000,88540,0,0
1000000,88317,0,2
1000000,87976,0,2
1000000,88292,0,0
1000000,88333,0,1
1000000,88163,0,0
1000000,88441,0,3
1000000,88360,0,2
1000000,88092,0,1
1000000,88186,0,0
1000000,88096,0,1
1000000,88188,0,1
1000000,88282,0,0
1000000,88282,0,1
1000000,88255,0,1
1000000,88089,0,0
1000000,88107,0,0
1000000,88206,0,0
1000000,88267,0,1
1000000,88862,0,2
1000000,87558,0,1
1000000,87895,0,1
1000000,88625,0,0
1000000,88370,0,1
1000000,88427,0,0
1000000,88742,0,1
1000000,88232,0,1
1000000,87778,0,0
1000000,88181,0,0
1000000,88465,0,0
1000000,88038,0,1
1000000,88094,0,2
1000000,88561,0,1
1000000,88171,0,0
1000000,88234,0,1
1000000,88569,0,0
1000000,88327,0,0
1000000,88384,0,2
1000000,88354,0,2
1000000,88290,0,0
1000000,88015,0,0
1000000,87933,0,2
1000000,88375,0,0
1000000,87886,0,1
1000000,88072,0,0
1000000,88325,0,1
1000000,88379,0,0
1000000,88452,0,1
1000000,87904,0,0
1000000,87859,0,1
1000000,88627,0,0
1000000,88237,0,0
1000000,88461,0,0
1000000,88393,0,0
1000000,88901,0,1
1000000,88659,0,0
1000000,88261,0,1
1000000,88358,0,0
1000000,88007,0,1
1000000,88189,0,0
1000000,88379,0,0
1000000,88463,0,1
1000000,87968,0,1
1000000,88040,0,0
1000000,88526,0,0
1000000,88549,0,0
1000000,88322,0,0
1000000,88427,0,0
1000000,88095,0,1
1000000,88591,0,0
1000000,88453,0,1
1000000,88118,0,0
1000000,88015,0,0
1000000,87971,0,1
1000000,88347,0,0
1000000,88120,0,1
1000000,88811,0,0
1000000,88019,0,2
1000000,87951,0,0
1000000,88057,0,1
1000000,88197,0,1
1000000,87997,0,1
1000000,88503,0,2
1000000,88600,0,1
1000000,88058,0,1
1000000,88201,0,0
1000000,88389,0,0
1000000,88235,0,0
1000000,88492,0,0
1000000,88001,0,0
1000000,88220,0,0
1000000,88472,0,1
1000000,87903,0,0
1000000,88383,0,0
1000000,88292,0,0
1000000,88549,0,1
1000000,88042,0,0
1000000,88135,0,0
1000000,88292,0,1
1000000,88148,0,0
1000000,88193,0,0
1000000,87926,0,1
1000000,87981,0,0
1000000,88092,0,0
1000000,88088,0,2
1000000,88287,0,0
1000000,88340,0,1
1000000,88178,0,0
1000000,88408,0,0
1000000,88648,0,0
1000000,88285,0,0
1000000,87891,0,1
1000000,88558,0,1
1000000,87834,0,0
1000000,87506,0,0
1000000,87877,0,0
1000000,87947,0,0
1000000,88320,0,0
1000000,87931,0,1
1000000,88131,0,0
1000000,88493,0,0
1000000,88102,0,2
1000000,88065,0,0
1000000,88424,0,0
1000000,88386,0,0
1000000,88020,0,1
1000000,88081,0,0
1000000,88533,0,1
1000000,88069,0,1
1000000,88960,0,0
1000000,88620,0,0
1000000,88579,0,1
1000000,88637,0,0
1000000,88272,0,1
1000000,88191,0,1
1000000,87576,0,1
1000000,88066,0,0
1000000,88071,0,0
1000000,87975,0,0
1000000,87734,0,1
1000000,88195,0,0
1000000,88007,0,0
1000000,88594,0,0
1000000,88209,0,1
1000000,88136,0,0
1000000,88367,0,0
1000000,87992,0,0
1000000,88268,0,1
1000000,88149,0,0
1000000,88108,0,1
1000000,88056,0,0
1000000,87911,0,2
1000000,88012,0,1
1000000,88601,0,1
1000000,88043,0,0
1000000,88604,0,1
1000000,87885,0,1
1000000,87999,0,1
1000000,88470,0,0
1000000,88399,0,0
1000000,88559,0,1
1000000,88060,0,1
1000000,87934,0,1
1000000,88450,0,0
1000000,88046,0,0
1000000,87856,0,1
1000000,88741,0,1
1000000,88314,0,0
1000000,88074,0,0
1000000,88326,0,0
1000000,88240,0,1
1000000,87854,0,2
1000000,88585,0,0
1000000,88344,0,0
1000000,88241,0,0
1000000,88518,0,2
1000000,88124,0,0
1000000,88429,0,2
1000000,88111,0,1
1000000,88271,0,0
1000000,88290,0,0
1000000,88617,0,0
1000000,88026,0,1
1000000,88375,0,0
1000000,88099,0,0
1000000,87838,0,0
1000000,87907,0,1
1000000,87762,0,0
1000000,87989,0,0
1000000,88006,0,1
1000000,87867,0,1
1000000,88463,0,0
1000000,88728,0,1
1000000,87842,0,1
1000000,88456,0,0
1000000,88452,0,0
1000000,87997,0,1
1000000,88132,0,2
1000000,87880,0,0
1000000,88190,0,0
1000000,87898,0,1
1000000,87841,0,1
1000000,88171,0,0
1000000,87992,0,0
1000000,88388,0,0
1000000,88002,0,0
1000000,88296,0,0
1000000,88503,0,0
1000000,88367,0,0
1000000,88073,0,1
1000000,88478,0,1
1000000,88383,0,0
1000000,87667,0,0
1000000,88431,0,0
1000000,88030,0,2
1000000,88594,0,1
1000000,87816,0,0
1000000,88240,0,0
1000000,88333,0,1
1000000,88262,0,1
1000000,88247,0,0
1000000,88356,0,0
1000000,88072,0,0
1000000,88504,0,0
1000000,88712,0,0
1000000,88490,0,0
1000000,88659,0,0
1000000,88650,0,3
1000000,88205,0,2
1000000,87941,0,0
1000000,87989,0,0
1000000,88242,0,0
1000000,88626,0,0
1000000,87894,0,1
1000000,87822,0,1
1000000,88441,0,1
1000000,88663,0,1
1000000,88407,0,0
1000000,88006,0,1
1000000,88104,0,0
1000000,88563,0,0
1000000,88500,0,0
1000000,87957,0,0
1000000,88443,0,1
1000000,88755,0,1
1000000,88095,0,2
1000000,88085,0,1
1000000,88891,0,0
1000000,88113,0,0
1000000,88341,0,0
1000000,88210,0,1
1000000,88504,0,1
1000000,88246,0,1
1000000,88328,0,0
1000000,88477,0,1
1000000,88099,0,0
1000000,88301,0,2
1000000,88107,0,2
1000000,88379,0,1
1000000,88059,0,0
1000000,88101,0,1
1000000,88211,0,0
1000000,87713,0,2
1000000,88361,0,0
1000000,88423,0,1
1000000,88309,0,0
1000000,88585,0,3
1000000,88177,0,0
1000000,88183,0,0
1000000,88044,0,3
1000000,87824,0,0
1000000,88792,0,0
1000000,88271,0,0
1000000,87988,0,3
1000000,87990,0,0
1000000,88014,0,0
1000000,88309,0,1
1000000,88314,0,1
1000000,88100,0,1
1000000,88231,0,0
1000000,88365,0,0
1000000,88321,0,0
1000000,88048,0,0
1000000,87923,0,2
1000000,88228,0,0
1000000,88733,0,0
1000000,88181,0,0
1000000,88031,0,0
1000000,88172,0,1
1000000,88552,0,0
1000000,88034,0,0
1000000,88263,0,1
1000000,88184,0,0
1000000,88012,0,0
1000000,88103,0,1
1000000,87966,0,0
1000000,87817,0,1
1000000,88428,0,0
1000000,88079,0,1
1000000,87864,0,1
1000000,88158,0,1
1000000,88161,0,0
1000000,88782,0,0
1000000,88355,0,0
1000000,88244,0,1
1000000,88313,0,1
1000000,87898,0,0
1000000,88406,0,0
1000000,88116,0,1
1000000,88533,0,1
1000000,88007,0,0
1000000,88387,0,0
1000000,87786,0,1
1000000,87795,0,1
1000000,88442,0,0
1000000,87774,0,0
1000000,87985,0,1
1000000,88040,0,1
1000000,88255,0,0
1000000,87726,0,1
1000000,88278,0,0
1000000,88186,0,1
1000000,88521,0,1
1000000,87718,0,0
1000000,88198,0,0
1000000,87899,0,0
1000000,88284,0,0
1000000,88491,0,1
1000000,88268,0,0
1000000,87987,0,0
1000000,88064,0,0
1000000,87874,0,0
1000000,88596,0,0
1000000,88357,0,1
1000000,88161,0,0
1000000,88034,0,0
1000000,88227,0,0
1000000,87989,0,0
1000000,88027,0,0
1000000,87812,0,0
1000000,88124,0,1
1000000,88243,0,1
1000000,87987,0,1
1000000,88391,0,0
1000000,87937,0,0
1000000,88192,0,0
1000000,88604,0,1
1000000,87648,0,0
1000000,88436,0,0
1000000,88632,0,1
1000000,87790,0,1
1000000,88530,0,1
1000000,88342,0,0
1000000,88306,0,0
1000000,88348,0,1
1000000,87774,0,0
1000000,88811,0,0
1000000,88682,0,1
1000000,88038,0,1
1000000,88127,0,0
1000000,88818,0,0
1000000,88571,0,0
1000000,88177,0,2
1000000,88093,0,0
1000000,88731,0,3
1000000,88083,0,3
1000000,88315,0,1
1000000,88391,0,0
1000000,88186,0,0
1000000,88321,0,1
1000000,88155,0,2
1000000,87868,0,0
1000000,87883,0,0
1000000,88675,0,0
1000000,88039,0,1
1000000,88145,0,1
1000000,88357,0,1
1000000,88036,0,0
1000000,87864,0,3
1000000,88521,0,0
1000000,88527,0,2
1000000,88118,0,0
1000000,87771,0,0
1000000,87857,0,0
1000000,87633,0,1
1000000,88521,0,1
1000000,88442,0,1
1000000,88219,0,0
1000000,87820,0,2
1000000,88156,0,1
1000000,88201,0,0
1000000,87888,0,0
1000000,88068,0,0
1000000,88372,0,1
1000000,87907,0,0
1000000,88100,0,1
1000000,87946,0,2
1000000,88010,0,0
1000000,88315,0,0
1000000,88268,0,0
1000000,88185,0,0
1000000,88726,0,1
1000000,87488,0,1
1000000,88255,0,0
1000000,87502,0,0
1000000,88116,0,0
1000000,88273,0,0
1000000,88134,0,0
1000000,88373,0,1
1000000,88000,0,0
1000000,88557,0,1
1000000,87851,0,0
1000000,87756,0,2
1000000,88363,0,1
1000000,87857,0,0
1000000,88148,0,0
1000000,88502,0,1
1000000,88415,0,1
1000000,88110,0,1
1000000,88019,0,0
1000000,88026,0,0
1000000,88518,0,0
1000000,88336,0,0
1000000,88340,0,0
1000000,88145,0,0
1000000,88722,0,1
1000000,88037,0,0
1000000,88204,0,2
1000000,88407,0,3
1000000,88583,0,0
1000000,87820,0,0
1000000,88384,0,1
1000000,88199,0,1
1000000,88084,0,1
1000000,88248,0,0
1000000,88004,0,1
1000000,88693,0,0
1000000,87815,0,0
1000000,87811,0,0
1000000,87862,0,1
1000000,88415,0,0
1000000,88401,0,0
1000000,87947,0,0
1000000,88589,0,1
1000000,88189,0,0
1000000,88492,0,0
1000000,88171,0,1
1000000,88367,0,0
1000000,87731,0,0
1000000,88238,0,0
1000000,88718,0,0
1000000,88660,0,0
1000000,88171,0,0
1000000,88612,0,0
1000000,87927,0,0
1000000,87902,0,0
1000000,88155,0,2
1000000,88405,0,0
