total_shots,num_flagged,num_discarded,num_incorrect
1000000,92408,0,0
1000000,92281,0,0
1000000,92465,0,0
1000000,92604,0,0
1000000,92678,0,1
1000000,92464,0,1
1000000,92861,0,2
1000000,92639,0,1
1000000,92427,0,2
1000000,92528,0,0
1000000,92427,0,0
1000000,92782,0,0
1000000,92249,0,0
1000000,92128,0,0
1000000,92380,0,1
1000000,92689,0,0
1000000,92530,0,0
1000000,92549,0,0
1000000,92873,0,1
1000000,92171,0,0
1000000,92727,0,0
1000000,92334,0,1
1000000,92532,0,0
1000000,92654,0,0
1000000,91948,0,0
1000000,92546,0,1
1000000,92833,0,0
1000000,92639,0,0
1000000,93141,0,2
1000000,92787,0,1
1000000,92553,0,1
1000000,92583,0,0
1000000,92892,0,1
1000000,92517,0,0
1000000,92413,0,0
1000000,92301,0,2
1000000,92525,0,0
1000000,92756,0,0
1000000,92603,0,0
1000000,92736,0,0
1000000,92352,0,0
1000000,92811,0,1
1000000,92719,0,1
1000000,91954,0,0
1000000,92425,0,1
1000000,92359,0,0
1000000,92838,0,0
1000000,92528,0,2
1000000,92637,0,0
1000000,92670,0,1
1000000,93149,0,2
1000000,92912,0,0
1000000,92375,0,0
1000000,92531,0,0
1000000,92684,0,1
1000000,92856,0,0
1000000,92257,0,0
1000000,92889,0,1
1000000,92631,0,0
1000000,93192,0,1
1000000,92179,0,0
1000000,92475,0,1
1000000,92537,0,0
1000000,92964,0,0
1000000,92955,0,0
1000000,92820,0,3
1000000,92091,0,0
1000000,92773,0,1
1000000,92642,0,1
1000000,92670,0,1
1000000,92112,0,0
1000000,92835,0,1
1000000,92472,0,1
1000000,92135,0,0
1000000,92485,0,1
1000000,92387,0,0
1000000,93287,0,2
1000000,92677,0,2
1000000,92587,0,1
1000000,92902,0,0
1000000,92390,0,1
1000000,93139,0,0
1000000,92369,0,3
1000000,92048,0,1
1000000,92552,0,1
1000000,92851,0,1
1000000,92830,0,0
1000000,92964,0,0
1000000,92640,0,1
1000000,92644,0,0
1000000,92325,0,0
1000000,92510,0,0
1000000,92292,0,0
1000000,92559,0,0
1000000,92575,0,0
1000000,92499,0,1
1000000,92694,0,1
1000000,93060,0,2
1000000,92599,0,0
1000000,92937,0,0
1000000,92460,0,0
1000000,91855,0,0
1000000,92372,0,2
1000000,92387,0,0
1000000,92237,0,0
1000000,92329,0,1
1000000,92841,0,0
1000000,92770,0,2
1000000,92219,0,0
1000000,92582,0,1
1000000,93055,0,0
1000000,93165,0,0
1000000,92170,0,0
1000000,92541,0,1
1000000,92505,0,1
1000000,92582,0,1
1000000,92710,0,1
1000000,92613,0,1
1000000,92652,0,0
1000000,91720,0,0
1000000,92591,0,2
1000000,92303,0,1
1000000,92443,0,1
1000000,92497,0,0
1000000,92532,0,2
1000000,92348,0,0
1000000,92741,0,0
1000000,92760,0,0
1000000,92752,0,0
1000000,92269,0,2
1000000,92807,0,0
1000000,92769,0,0
1000000,92665,0,0
1000000,92607,0,1
1000000,93093,0,0
1000000,92455,0,0
1000000,92613,0,0
1000000,92475,0,0
1000000,92336,0,2
1000000,92884,0,0
1000000,92876,0,0
1000000,92737,0,0
1000000,92557,0,1
1000000,92286,0,0
1000000,92579,0,1
1000000,92993,0,0
1000000,92323,0,0
1000000,92244,0,1
1000000,92231,0,0
1000000,92843,0,0
1000000,92390,0,0
1000000,92185,0,0
1000000,92446,0,1
1000000,92114,0,1
1000000,92874,0,2
1000000,92218,0,1
1000000,92518,0,1
1000000,92952,0,0
1000000,92272,0,0
1000000,93001,0,1
1000000,92268,0,0
1000000,92849,0,1
1000000,92441,0,0
1000000,92223,0,1
1000000,92778,0,1
1000000,92844,0,0
1000000,92855,0,1
1000000,92659,0,0
1000000,92406,0,2
1000000,92497,0,0
1000000,92227,0,0
1000000,92604,0,0
1000000,92017,0,0
1000000,92653,0,2
1000000,92271,0,0
1000000,92688,0,0
1000000,91950,0,2
1000000,92897,0,2
1000000,92683,0,0
1000000,92324,0,1
1000000,92773,0,0
1000000,92249,0,0
1000000,92684,0,0
1000000,92764,0,2
1000000,92173,0,1
1000000,92602,0,2
1000000,92918,0,1
1000000,92344,0,0
1000000,92349,0,0
1000000,92442,0,1
1000000,92376,0,0
1000000,92833,0,0
1000000,92426,0,0
1000000,92472,0,1
1000000,92569,0,0
1000000,93077,0,0
1000000,92364,0,1
1000000,92658,0,0
1000000,92610,0,0
1000000,92468,0,1
1000000,92582,0,1
1000000,92147,0,0
1000000,92702,0,0
1000000,92427,0,0
1000000,92668,0,0
1000000,92252,0,1
1000000,92338,0,1
1000000,92161,0,0
1000000,92291,0,0
1000000,92555,0,1
1000000,92276,0,2
