total_shots,num_flagged,num_discarded,num_incorrect
1000000,88784,0,0
1000000,88413,0,2
1000000,89038,0,1
1000000,88255,0,1
1000000,88988,0,0
1000000,87965,0,1
1000000,88978,0,2
1000000,88456,0,0
1000000,89094,0,2
1000000,88756,0,1
1000000,88889,0,0
1000000,88360,0,0
1000000,88704,0,0
1000000,88504,0,1
1000000,88794,0,0
1000000,88953,0,1
1000000,87948,0,2
1000000,88331,0,1
1000000,88531,0,1
1000000,88869,0,1
1000000,88723,0,1
1000000,88456,0,2
1000000,88649,0,1
1000000,88223,0,1
1000000,88953,0,0
1000000,88415,0,1
1000000,88677,0,3
1000000,88835,0,0
1000000,88858,0,2
1000000,88923,0,1
1000000,89087,0,0
1000000,88923,0,0
1000000,88760,0,0
1000000,87927,0,1
1000000,88763,0,0
1000000,88298,0,1
1000000,89003,0,0
1000000,88635,0,0
1000000,88721,0,1
1000000,88877,0,0
1000000,88213,0,1
1000000,88590,0,3
1000000,88556,0,0
1000000,88730,0,0
1000000,88189,0,2
1000000,88901,0,0
1000000,87957,0,0
1000000,88446,0,1
1000000,88720,0,1
1000000,88613,0,1
1000000,88963,0,3
1000000,88863,0,1
1000000,88689,0,0
1000000,88656,0,0
1000000,88843,0,2
1000000,88452,0,0
1000000,88303,0,2
1000000,88496,0,1
1000000,88607,0,0
1000000,88326,0,0
1000000,88750,0,0
1000000,88733,0,0
1000000,88963,0,1
1000000,88834,0,1
1000000,88444,0,0
1000000,88559,0,0
1000000,88997,0,0
1000000,88655,0,1
1000000,88808,0,0
1000000,88327,0,1
1000000,87999,0,0
1000000,88419,0,1
1000000,87977,0,0
1000000,88906,0,0
1000000,88103,0,0
1000000,88626,0,0
1000000,88239,0,2
1000000,88567,0,2
1000000,88624,0,0
1000000,88515,0,1
1000000,88677,0,0
1000000,88845,0,0
1000000,88538,0,3
1000000,88895,0,1
1000000,88520,0,0
1000000,88457,0,0
1000000,88445,0,0
1000000,88102,0,0
1000000,88552,0,1
1000000,89380,0,0
1000000,88660,0,1
1000000,88758,0,2
1000000,89230,0,0
1000000,88873,0,0
1000000,88734,0,0
1000000,89283,0,0
1000000,88319,0,1
1000000,88520,0,0
1000000,88841,0,0
1000000,88812,0,1
1000000,88330,0,1
1000000,89088,0,0
1000000,88739,0,0
1000000,88765,0,2
1000000,88324,0,0
1000000,88715,0,2
1000000,89067,0,1
1000000,88953,0,0
1000000,88735,0,0
1000000,88590,0,0
1000000,88387,0,0
1000000,88340,0,1
1000000,88169,0,1
1000000,88510,0,0
1000000,89310,0,0
1000000,88760,0,2
1000000,88106,0,1
1000000,88849,0,1
1000000,88653,0,0
1000000,88653,0,2
1000000,88721,0,0
1000000,89193,0,1
1000000,88864,0,1
1000000,88675,0,0
1000000,88419,0,1
1000000,88724,0,1
1000000,88667,0,0
1000000,88621,0,1
1000000,88733,0,1
1000000,89360,0,0
1000000,88693,0,2
1000000,88767,0,0
1000000,88438,0,2
1000000,88438,0,0
1000000,89046,0,0
1000000,88850,0,1
1000000,88340,0,0
1000000,88811,0,1
1000000,88164,0,0
1000000,88887,0,2
1000000,88712,0,1
1000000,88721,0,0
1000000,88828,0,0
1000000,87835,0,0
1000000,89023,0,1
1000000,88225,0,2
1000000,88498,0,2
1000000,88678,0,1
1000000,89049,0,0
1000000,88513,0,1
1000000,88689,0,0
1000000,88384,0,3
1000000,89089,0,0
1000000,88825,0,2
1000000,88534,0,2
1000000,88131,0,1
1000000,88435,0,0
1000000,89273,0,0
1000000,88575,0,1
1000000,88765,0,2
1000000,88236,0,0
1000000,88580,0,0
1000000,88875,0,1
1000000,88264,0,1
1000000,88424,0,0
1000000,88336,0,1
1000000,88572,0,3
1000000,88792,0,1
1000000,88639,0,0
1000000,88417,0,0
1000000,88713,0,0
1000000,88280,0,1
1000000,88701,0,0
1000000,88416,0,2
1000000,88500,0,0
1000000,89133,0,1
1000000,88565,0,0
1000000,88727,0,2
1000000,88371,0,0
1000000,88546,0,1
1000000,88840,0,0
1000000,88543,0,1
1000000,89008,0,0
1000000,88726,0,2
1000000,88135,0,2
1000000,88273,0,0
1000000,89045,0,0
1000000,89085,0,0
1000000,88546,0,0
1000000,88860,0,0
1000000,88906,0,1
1000000,88831,0,1
1000000,88768,0,2
1000000,88217,0,0
1000000,88601,0,0
1000000,88664,0,1
1000000,88524,0,1
1000000,88713,0,3
1000000,89224,0,1
1000000,88610,0,1
1000000,89043,0,0
1000000,88854,0,0
1000000,88748,0,2
1000000,88516,0,0
1000000,88808,0,0
1000000,88606,0,0
1000000,88266,0,1
1000000,88910,0,1
1000000,88678,0,2
1000000,88627,0,1
1000000,89112,0,2
1000000,88862,0,1
1000000,88429,0,2
1000000,88687,0,2
1000000,89104,0,0
1000000,88495,0,0
1000000,88410,0,0
1000000,88306,0,0
1000000,87864,0,1
1000000,88366,0,0
1000000,88408,0,1
1000000,88407,0,0
1000000,88098,0,0
1000000,88543,0,1
1000000,88329,0,1
1000000,88220,0,0
1000000,88247,0,1
1000000,88296,0,0
1000000,87956,0,3
1000000,88859,0,0
1000000,88782,0,2
1000000,88618,0,2
1000000,88722,0,2
1000000,88327,0,1
1000000,88609,0,0
1000000,88553,0,1
1000000,88891,0,1
1000000,88525,0,1
1000000,88792,0,3
1000000,89028,0,1
1000000,88212,0,1
1000000,88513,0,0
1000000,88303,0,0
1000000,88535,0,0
1000000,88816,0,2
1000000,88569,0,1
1000000,88416,0,1
1000000,88410,0,2
1000000,88601,0,1
1000000,88252,0,0
1000000,88498,0,0
1000000,88946,0,0
1000000,89233,0,1
1000000,88857,0,0
1000000,89005,0,0
1000000,88970,0,1
1000000,88391,0,0
1000000,88674,0,0
1000000,88548,0,0
1000000,88737,0,1
1000000,89000,0,0
1000000,88079,0,1
1000000,88275,0,1
1000000,88883,0,0
1000000,88266,0,2
1000000,88211,0,0
1000000,88198,0,1
1000000,88433,0,2
1000000,88499,0,0
1000000,88482,0,1
1000000,88770,0,1
1000000,88835,0,2
1000000,88568,0,1
1000000,88882,0,0
1000000,88703,0,0
1000000,88236,0,0
1000000,88472,0,3
1000000,88188,0,0
1000000,88518,0,1
1000000,88413,0,0
1000000,88436,0,2
1000000,88553,0,2
1000000,88549,0,1
1000000,88740,0,0
1000000,88375,0,0
1000000,88602,0,0
1000000,88302,0,0
1000000,88211,0,1
1000000,88462,0,2
1000000,88633,0,0
1000000,88292,0,2
1000000,89019,0,1
1000000,88487,0,0
1000000,88328,0,0
1000000,88426,0,0
1000000,88447,0,1
1000000,87749,0,0
1000000,88344,0,0
1000000,88553,0,0
1000000,88654,0,1
1000000,88692,0,0
1000000,88582,0,1
1000000,88572,0,0
1000000,88392,0,1
1000000,88874,0,0
1000000,88680,0,0
1000000,89124,0,2
1000000,89223,0,0
1000000,88678,0,1
1000000,88105,0,1
1000000,88230,0,0
1000000,88435,0,1
1000000,88584,0,0
1000000,88465,0,1
1000000,88350,0,1
1000000,88573,0,2
1000000,88514,0,0
1000000,88347,0,0
1000000,88563,0,1
1000000,88735,0,0
1000000,88818,0,1
1000000,88743,0,0
1000000,88864,0,0
1000000,88312,0,1
1000000,88766,0,1
1000000,88177,0,0
1000000,88189,0,2
1000000,88535,0,0
1000000,88406,0,2
1000000,88994,0,0
1000000,88615,0,0
1000000,88500,0,1
1000000,88636,0,0
1000000,88448,0,1
1000000,88817,0,1
1000000,88164,0,2
1000000,88555,0,1
1000000,88253,0,0
1000000,89170,0,1
1000000,88904,0,0
1000000,88858,0,0
1000000,88581,0,0
1000000,88641,0,3
1000000,88200,0,0
1000000,88277,0,0
1000000,88720,0,1
1000000,88320,0,2
1000000,88304,0,1
1000000,88876,0,0
1000000,87927,0,0
1000000,88495,0,0
1000000,89102,0,1
1000000,88655,0,0
1000000,88744,0,0
1000000,87938,0,0
1000000,88728,0,2
1000000,88660,0,0
1000000,88472,0,1
1000000,89028,0,0
1000000,89151,0,1
1000000,88369,0,0
1000000,88603,0,1
1000000,88749,0,0
1000000,88838,0,1
1000000,88657,0,0
1000000,88904,0,0
1000000,88801,0,1
