total_shots,num_flagged,num_discarded,num_incorrect
1000000,88641,0,1
1000000,88336,0,0
1000000,88418,0,0
1000000,89120,0,2
1000000,88390,0,0
1000000,88372,0,0
1000000,88632,0,1
1000000,88718,0,0
1000000,88230,0,1
1000000,88351,0,2
1000000,88610,0,1
1000000,89030,0,2
1000000,88814,0,0
1000000,88766,0,1
1000000,88070,0,0
1000000,89116,0,1
1000000,89516,0,2
1000000,88257,0,0
1000000,88717,0,0
1000000,88559,0,2
1000000,88957,0,1
1000000,88581,0,0
1000000,88905,0,1
1000000,88791,0,1
1000000,88519,0,3
1000000,88438,0,1
1000000,88606,0,1
1000000,89294,0,0
1000000,88488,0,0
1000000,89064,0,0
1000000,88830,0,2
1000000,88881,0,0
1000000,88967,0,0
1000000,88607,0,0
1000000,88715,0,0
1000000,89307,0,0
1000000,88476,0,1
1000000,88856,0,0
1000000,89257,0,0
1000000,88816,0,0
1000000,88962,0,0
1000000,89124,0,0
1000000,88597,0,2
1000000,88644,0,1
1000000,89442,0,3
1000000,88815,0,1
1000000,88539,0,0
1000000,88394,0,0
1000000,89096,0,1
1000000,88781,0,0
1000000,88726,0,1
1000000,89316,0,0
1000000,88650,0,1
1000000,88528,0,2
1000000,88568,0,1
1000000,89068,0,0
1000000,88845,0,1
1000000,89113,0,0
1000000,88254,0,0
1000000,88594,0,0
1000000,88606,0,3
1000000,88238,0,0
1000000,88724,0,1
1000000,88299,0,1
1000000,88591,0,0
1000000,88286,0,0
1000000,88531,0,1
1000000,88901,0,0
1000000,88849,0,0
1000000,88898,0,2
1000000,88257,0,0
1000000,88819,0,1
1000000,88437,0,1
1000000,88697,0,0
1000000,88870,0,1
1000000,88372,0,0
1000000,88708,0,1
1000000,88387,0,1
1000000,88894,0,0
1000000,88793,0,1
1000000,88542,0,0
1000000,88967,0,0
1000000,88483,0,1
1000000,88481,0,0
1000000,88559,0,0
1000000,89004,0,1
1000000,88914,0,1
1000000,88872,0,0
1000000,88841,0,0
1000000,88724,0,0
1000000,88948,0,0
1000000,88612,0,1
1000000,88917,0,0
1000000,89100,0,0
1000000,88699,0,1
1000000,88064,0,0
1000000,88753,0,0
1000000,88623,0,0
1000000,88337,0,1
1000000,88640,0,1
1000000,88351,0,3
1000000,88131,0,0
1000000,89054,0,0
1000000,88853,0,0
1000000,89494,0,0
1000000,88350,0,0
1000000,88306,0,0
1000000,88864,0,0
1000000,88568,0,1
1000000,88838,0,1
1000000,88117,0,0
1000000,88423,0,0
1000000,88537,0,0
1000000,89112,0,1
1000000,88829,0,1
1000000,88648,0,0
1000000,88397,0,1
1000000,88879,0,1
1000000,88593,0,1
1000000,88637,0,0
1000000,88844,0,0
1000000,89242,0,2
1000000,89134,0,0
1000000,88361,0,2
1000000,88950,0,0
1000000,88503,0,2
1000000,88709,0,0
1000000,89042,0,1
1000000,88498,0,0
1000000,88747,0,0
1000000,88467,0,0
1000000,88234,0,0
1000000,88174,0,1
1000000,88544,0,0
1000000,88472,0,0
1000000,88732,0,0
1000000,88693,0,0
1000000,88955,0,1
1000000,88920,0,0
1000000,88944,0,1
1000000,88355,0,0
1000000,88568,0,1
1000000,88375,0,0
1000000,89016,0,1
1000000,88411,0,1
1000000,88945,0,0
1000000,88555,0,1
1000000,88525,0,0
1000000,89059,0,0
1000000,88910,0,1
1000000,88979,0,0
1000000,88796,0,0
1000000,88134,0,0
1000000,88528,0,0
1000000,88754,0,0
1000000,88616,0,0
1000000,88494,0,2
