total_shots,num_flagged,num_discarded,num_incorrect
1000000,94187,0,1
1000000,93849,0,2
1000000,93599,0,0
1000000,93872,0,0
1000000,93799,0,0
1000000,93833,0,1
1000000,93049,0,0
1000000,93820,0,0
1000000,93845,0,1
1000000,93940,0,2
1000000,93762,0,0
1000000,93323,0,0
1000000,93857,0,2
1000000,93989,0,0
1000000,93620,0,2
1000000,93994,0,2
1000000,93320,0,1
1000000,93466,0,2
1000000,93565,0,0
1000000,93889,0,1
1000000,93385,0,0
1000000,93870,0,0
1000000,93750,0,2
1000000,93886,0,1
1000000,93535,0,2
1000000,94020,0,2
1000000,93366,0,0
1000000,94097,0,1
1000000,94085,0,1
1000000,94035,0,0
1000000,93412,0,0
1000000,93960,0,2
1000000,93626,0,0
1000000,93982,0,0
1000000,94061,0,1
1000000,94314,0,0
1000000,93419,0,2
1000000,93837,0,1
1000000,93599,0,1
1000000,94075,0,0
1000000,94224,0,0
1000000,93712,0,1
1000000,93480,0,0
1000000,93884,0,0
1000000,94407,0,2
1000000,93744,0,0
1000000,93534,0,0
1000000,93911,0,0
1000000,93477,0,1
1000000,93394,0,1
1000000,93735,0,0
1000000,93543,0,0
1000000,93623,0,1
1000000,93430,0,1
1000000,93814,0,0
1000000,93599,0,0
1000000,94208,0,0
1000000,93294,0,1
1000000,94027,0,0
1000000,93976,0,1
1000000,93287,0,0
1000000,93433,0,0
1000000,94099,0,1
1000000,94115,0,0
1000000,93592,0,1
1000000,94274,0,0
1000000,93748,0,1
1000000,93751,0,0
1000000,93482,0,2
1000000,93751,0,1
1000000,93444,0,1
1000000,93343,0,0
1000000,93799,0,0
1000000,93719,0,1
1000000,93671,0,0
1000000,93646,0,0
1000000,93618,0,1
1000000,94166,0,0
1000000,93736,0,2
1000000,93865,0,0
1000000,94174,0,1
1000000,93830,0,0
1000000,94036,0,1
1000000,93331,0,2
1000000,93567,0,1
1000000,94168,0,1
1000000,93799,0,2
1000000,93730,0,0
1000000,94049,0,0
1000000,93723,0,1
1000000,93758,0,1
1000000,93658,0,0
1000000,93621,0,1
1000000,93551,0,0
1000000,93856,0,2
1000000,94129,0,0
1000000,93580,0,1
1000000,93720,0,0
1000000,93899,0,1
1000000,93907,0,0
1000000,93903,0,1
1000000,93403,0,0
1000000,93686,0,0
1000000,93583,0,1
1000000,93746,0,1
1000000,93684,0,0
1000000,93647,0,0
1000000,93552,0,1
1000000,93835,0,0
1000000,94291,0,0
1000000,93868,0,0
1000000,93468,0,0
1000000,94381,0,1
1000000,93821,0,0
1000000,93941,0,0
1000000,93662,0,0
1000000,93421,0,1
1000000,93975,0,1
1000000,93305,0,0
1000000,94299,0,0
1000000,93669,0,0
1000000,93500,0,1
1000000,94161,0,0
1000000,93897,0,0
1000000,93822,0,0
1000000,94016,0,2
1000000,93982,0,2
1000000,94455,0,1
1000000,93586,0,0
1000000,93754,0,2
1000000,93446,0,1
1000000,93521,0,2
1000000,93646,0,1
1000000,94238,0,0
1000000,94110,0,1
1000000,93891,0,0
1000000,93923,0,1
1000000,93839,0,3
1000000,93421,0,1
1000000,94036,0,0
1000000,93555,0,0
1000000,93838,0,1
1000000,93582,0,0
1000000,93643,0,1
1000000,94073,0,0
1000000,93748,0,0
1000000,93615,0,0
1000000,93581,0,0
1000000,93695,0,2
1000000,93874,0,0
1000000,93350,0,0
1000000,94084,0,2
1000000,93887,0,1
1000000,93237,0,0
1000000,93903,0,0
1000000,93349,0,0
1000000,94092,0,0
1000000,94133,0,0
1000000,93800,0,0
1000000,94004,0,0
1000000,93320,0,2
1000000,94202,0,0
1000000,94128,0,2
1000000,93792,0,0
1000000,94142,0,0
1000000,93735,0,0
1000000,93889,0,1
1000000,93417,0,0
1000000,93837,0,0
1000000,93497,0,1
1000000,93612,0,1
1000000,93703,0,1
