total_shots,num_flagged,num_discarded,num_incorrect
1000000,87212,0,0
1000000,87090,0,3
1000000,87209,0,1
1000000,87234,0,0
1000000,87141,0,0
1000000,87081,0,1
1000000,86996,0,1
1000000,87484,0,1
1000000,87608,0,1
1000000,87754,0,0
1000000,87714,0,1
1000000,86834,0,0
1000000,87478,0,1
1000000,87205,0,0
1000000,87172,0,0
1000000,87405,0,0
1000000,87818,0,1
1000000,87681,0,0
1000000,87460,0,1
1000000,87244,0,0
1000000,87430,0,0
1000000,87100,0,2
1000000,87229,0,0
1000000,87546,0,0
1000000,87645,0,0
1000000,87355,0,0
1000000,87265,0,0
1000000,87166,0,2
1000000,87565,0,0
1000000,87828,0,0
1000000,87073,0,0
1000000,86972,0,0
1000000,86946,0,1
1000000,87446,0,1
1000000,87244,0,0
1000000,87623,0,0
1000000,87219,0,0
1000000,87021,0,0
1000000,87145,0,0
1000000,87126,0,1
1000000,87197,0,0
1000000,87212,0,0
1000000,87209,0,1
1000000,87342,0,1
1000000,87289,0,0
1000000,87519,0,1
1000000,87488,0,0
1000000,87480,0,0
1000000,87826,0,0
1000000,87054,0,2
1000000,87183,0,1
1000000,87255,0,1
1000000,87422,0,2
1000000,87718,0,0
1000000,86565,0,2
1000000,87356,0,0
1000000,87038,0,1
1000000,87123,0,0
1000000,86742,0,0
1000000,87274,0,0
1000000,87418,0,0
1000000,87127,0,0
1000000,87625,0,0
1000000,86980,0,1
1000000,87172,0,0
1000000,87359,0,0
1000000,87821,0,0
1000000,87770,0,0
1000000,87279,0,1
1000000,87530,0,0
1000000,87768,0,1
1000000,87890,0,0
1000000,87611,0,1
1000000,87599,0,1
1000000,87096,0,0
1000000,87346,0,2
1000000,87436,0,0
1000000,87912,0,0
1000000,87645,0,0
1000000,87490,0,0
1000000,87298,0,0
1000000,87220,0,0
1000000,87184,0,0
1000000,87138,0,1
1000000,86805,0,0
1000000,87909,0,0
1000000,87755,0,0
1000000,87246,0,0
1000000,87060,0,0
1000000,87083,0,0
1000000,87203,0,0
1000000,87561,0,0
1000000,87078,0,0
1000000,87412,0,0
1000000,87444,0,1
1000000,87384,0,0
1000000,87176,0,0
1000000,86912,0,1
1000000,87372,0,0
1000000,86809,0,3
1000000,87355,0,0
1000000,87638,0,0
1000000,87004,0,1
1000000,87517,0,0
1000000,87610,0,0
1000000,87467,0,1
1000000,86933,0,0
1000000,87394,0,2
1000000,87157,0,3
1000000,87292,0,0
1000000,87321,0,0
1000000,86811,0,0
1000000,87425,0,1
1000000,87329,0,2
1000000,87100,0,2
1000000,87377,0,1
1000000,87616,0,0
1000000,87353,0,2
1000000,87348,0,0
1000000,87223,0,0
1000000,86796,0,1
1000000,87394,0,0
1000000,87271,0,1
1000000,87412,0,1
1000000,87120,0,0
1000000,87427,0,0
1000000,87302,0,0
1000000,87049,0,0
1000000,87817,0,0
1000000,87177,0,0
1000000,87471,0,0
1000000,87465,0,1
1000000,87574,0,0
1000000,87205,0,0
1000000,87330,0,1
1000000,87312,0,0
1000000,87584,0,1
1000000,87186,0,1
1000000,87328,0,1
1000000,87038,0,1
1000000,87285,0,0
1000000,87411,0,0
1000000,87242,0,0
1000000,87550,0,0
1000000,86960,0,0
1000000,87680,0,1
1000000,87423,0,0
1000000,87024,0,0
1000000,87458,0,0
1000000,87124,0,1
1000000,87466,0,0
1000000,87647,0,0
1000000,87249,0,1
1000000,86904,0,0
1000000,87390,0,0
1000000,87199,0,0
1000000,87387,0,0
1000000,86473,0,1
1000000,87233,0,0
1000000,87006,0,0
1000000,87376,0,0
1000000,87420,0,0
1000000,87319,0,0
1000000,87091,0,0
1000000,87187,0,1
1000000,87098,0,0
1000000,87668,0,0
1000000,87242,0,1
1000000,87363,0,2
1000000,87025,0,1
1000000,87281,0,0
1000000,87054,0,1
1000000,87836,0,0
1000000,87446,0,1
1000000,87159,0,0
1000000,87486,0,0
1000000,86958,0,0
1000000,87157,0,0
1000000,87953,0,2
1000000,87929,0,1
1000000,87422,0,0
1000000,87162,0,0
1000000,87070,0,0
1000000,87463,0,0
1000000,87425,0,0
1000000,87150,0,0
1000000,87839,0,0
1000000,86850,0,0
1000000,87578,0,1
1000000,87220,0,1
1000000,87570,0,0
1000000,87146,0,0
1000000,87557,0,0
1000000,87460,0,0
1000000,87353,0,1
1000000,87004,0,0
1000000,87187,0,0
1000000,87565,0,0
1000000,87456,0,0
1000000,88034,0,0
1000000,86813,0,0
1000000,87115,0,1
1000000,86961,0,1
1000000,87714,0,2
1000000,87332,0,0
1000000,87614,0,0
1000000,87217,0,1
1000000,86851,0,1
1000000,87330,0,1
1000000,87212,0,0
1000000,86972,0,0
1000000,86799,0,0
1000000,87272,0,1
1000000,87098,0,2
1000000,87925,0,3
1000000,87129,0,0
1000000,87552,0,0
1000000,87029,0,1
1000000,86918,0,0
1000000,87055,0,0
1000000,87049,0,1
1000000,87501,0,0
