total_shots,num_flagged,num_discarded,num_incorrect
1000000,89068,0,1
1000000,88953,0,1
1000000,88591,0,1
1000000,88868,0,2
1000000,88578,0,0
1000000,89087,0,1
1000000,88884,0,0
1000000,88344,0,0
1000000,88897,0,2
1000000,88997,0,1
1000000,88544,0,1
1000000,89017,0,0
1000000,89478,0,0
1000000,88827,0,0
1000000,88704,0,0
1000000,88857,0,0
1000000,89271,0,0
1000000,88746,0,0
1000000,88649,0,1
1000000,88903,0,1
1000000,88796,0,0
1000000,89005,0,2
1000000,88419,0,0
1000000,88886,0,2
1000000,88900,0,2
1000000,88865,0,0
1000000,88957,0,0
1000000,88432,0,0
1000000,89510,0,1
1000000,88272,0,1
1000000,88783,0,0
1000000,88834,0,2
1000000,88840,0,0
1000000,89084,0,3
1000000,89117,0,1
1000000,88918,0,0
1000000,88935,0,1
1000000,89250,0,0
1000000,89293,0,1
1000000,89326,0,0
1000000,88852,0,0
1000000,88669,0,2
1000000,88828,0,0
1000000,89143,0,0
1000000,88890,0,0
1000000,88999,0,1
1000000,89359,0,0
1000000,88950,0,1
1000000,88618,0,1
1000000,88709,0,0
1000000,88748,0,1
1000000,89046,0,1
1000000,89067,0,1
1000000,88635,0,0
1000000,88759,0,1
1000000,88664,0,2
1000000,88707,0,0
1000000,88812,0,0
1000000,88817,0,0
1000000,88598,0,1
1000000,89119,0,2
1000000,89135,0,0
1000000,88754,0,0
1000000,88578,0,0
1000000,88652,0,2
1000000,88733,0,2
1000000,88393,0,1
1000000,88434,0,3
1000000,89253,0,0
1000000,88688,0,0
1000000,88588,0,2
1000000,88661,0,0
1000000,89059,0,1
1000000,88696,0,1
1000000,88423,0,0
1000000,88981,0,0
1000000,88984,0,1
1000000,88693,0,2
1000000,88624,0,2
1000000,88817,0,0
1000000,88724,0,1
1000000,89267,0,0
1000000,88731,0,1
1000000,88910,0,0
1000000,88216,0,0
1000000,88935,0,0
1000000,88622,0,3
1000000,88923,0,0
1000000,88948,0,1
1000000,88327,0,0
1000000,88580,0,0
1000000,88851,0,1
1000000,88437,0,0
1000000,88626,0,1
1000000,88862,0,1
1000000,88652,0,0
1000000,88171,0,0
1000000,88661,0,0
1000000,89079,0,1
1000000,88617,0,0
1000000,88567,0,1
1000000,88487,0,1
1000000,88801,0,0
1000000,88514,0,2
1000000,89034,0,0
1000000,89411,0,1
1000000,89227,0,0
1000000,88962,0,0
1000000,89324,0,1
1000000,88529,0,0
1000000,88309,0,1
1000000,88830,0,0
1000000,89316,0,0
1000000,88970,0,1
1000000,89429,0,0
1000000,88845,0,1
1000000,89115,0,2
1000000,89024,0,0
1000000,88825,0,1
1000000,88121,0,1
1000000,88818,0,1
1000000,88677,0,1
1000000,88488,0,0
1000000,88779,0,0
1000000,88975,0,1
1000000,88668,0,0
1000000,88675,0,1
1000000,88931,0,0
1000000,88908,0,2
1000000,88987,0,1
1000000,87879,0,0
1000000,89039,0,1
1000000,88511,0,1
1000000,88456,0,0
1000000,88616,0,0
1000000,88232,0,1
1000000,89039,0,0
1000000,88562,0,2
1000000,88590,0,0
1000000,88788,0,1
1000000,88535,0,2
1000000,88835,0,0
1000000,88783,0,1
1000000,88795,0,2
1000000,88887,0,1
1000000,89187,0,2
1000000,89115,0,1
1000000,88622,0,1
1000000,88417,0,1
1000000,88996,0,0
1000000,88913,0,2
1000000,88439,0,0
1000000,88956,0,0
1000000,88753,0,1
1000000,88682,0,0
1000000,89163,0,1
1000000,88529,0,0
1000000,88854,0,0
1000000,88810,0,0
1000000,89364,0,0
1000000,88494,0,1
1000000,89010,0,1
1000000,89375,0,1
1000000,89313,0,0
1000000,88624,0,0
1000000,88658,0,0
1000000,88698,0,0
1000000,88425,0,0
1000000,88690,0,2
1000000,88415,0,0
1000000,89025,0,1
1000000,88927,0,0
1000000,89196,0,1
1000000,88511,0,1
1000000,89315,0,0
1000000,88659,0,0
1000000,88601,0,0
1000000,88568,0,0
1000000,88500,0,0
1000000,88993,0,1
1000000,88534,0,0
1000000,88473,0,0
1000000,88509,0,1
1000000,88710,0,0
1000000,88892,0,0
1000000,88677,0,1
1000000,88977,0,1
1000000,88977,0,1
1000000,88534,0,0
1000000,89013,0,0
1000000,88948,0,2
1000000,88692,0,1
1000000,88715,0,0
1000000,88583,0,0
1000000,88820,0,0
1000000,89089,0,1
1000000,89312,0,0
1000000,88405,0,1
1000000,88762,0,0
1000000,88846,0,0
1000000,89128,0,1
1000000,88528,0,1
1000000,88435,0,0
1000000,88676,0,2
1000000,89093,0,1
1000000,89039,0,1
1000000,89294,0,1
1000000,88466,0,0
1000000,88956,0,1
1000000,88638,0,3
1000000,89032,0,0
1000000,88595,0,1
1000000,88738,0,1
1000000,88633,0,0
1000000,89263,0,0
1000000,88580,0,0
1000000,88749,0,1
1000000,88954,0,1
1000000,89183,0,2
1000000,88429,0,0
1000000,88978,0,1
1000000,89650,0,1
1000000,88916,0,0
1000000,88541,0,1
1000000,88750,0,1
1000000,88726,0,1
1000000,88696,0,2
1000000,89016,0,0
1000000,88705,0,1
1000000,88761,0,1
1000000,89168,0,0
1000000,88356,0,1
1000000,88837,0,0
1000000,88962,0,0
1000000,88119,0,1
1000000,88939,0,0
1000000,88685,0,0
1000000,88809,0,1
1000000,88863,0,1
1000000,89016,0,3
1000000,88957,0,1
1000000,88589,0,2
1000000,88981,0,0
1000000,88485,0,2
1000000,88491,0,1
1000000,89331,0,0
1000000,88676,0,0
1000000,88808,0,0
1000000,88772,0,0
1000000,88542,0,1
1000000,88414,0,0
1000000,89102,0,0
1000000,88717,0,0
1000000,88894,0,0
1000000,88747,0,0
1000000,89191,0,0
1000000,89087,0,0
1000000,88857,0,0
1000000,89060,0,0
1000000,89229,0,0
1000000,88610,0,0
1000000,88373,0,0
1000000,88358,0,0
1000000,88269,0,1
1000000,88911,0,0
1000000,88920,0,0
1000000,89242,0,1
1000000,88630,0,0
1000000,88842,0,1
1000000,88880,0,1
1000000,88976,0,0
1000000,88545,0,0
1000000,88664,0,2
1000000,88708,0,1
1000000,88877,0,1
1000000,88925,0,2
1000000,88803,0,0
1000000,88865,0,0
1000000,89292,0,1
1000000,88681,0,0
1000000,88557,0,0
1000000,89124,0,0
1000000,88963,0,0
1000000,89022,0,0
1000000,89150,0,1
1000000,88832,0,0
1000000,89107,0,0
1000000,88814,0,1
1000000,89216,0,0
1000000,89389,0,2
1000000,89077,0,2
1000000,89102,0,0
1000000,88937,0,0
1000000,88959,0,1
1000000,89241,0,1
1000000,88844,0,1
1000000,88524,0,0
1000000,88719,0,0
1000000,88593,0,0
1000000,89267,0,1
1000000,89173,0,1
1000000,88270,0,0
1000000,88662,0,1
1000000,88627,0,1
1000000,88980,0,1
1000000,88906,0,1
1000000,88894,0,0
1000000,88974,0,1
1000000,88776,0,0
1000000,88910,0,1
1000000,89046,0,0
1000000,88656,0,0
1000000,88829,0,1
1000000,88607,0,2
1000000,89281,0,1
1000000,89064,0,0
1000000,88720,0,0
1000000,88908,0,0
1000000,88808,0,3
