total_shots,num_flagged,num_discarded,num_incorrect
1000000,89523,0,0
1000000,89859,0,1
1000000,90032,0,1
1000000,89505,0,2
1000000,89453,0,1
1000000,89321,0,1
1000000,89572,0,2
1000000,89987,0,0
1000000,89426,0,0
1000000,89424,0,0
1000000,89175,0,1
1000000,89920,0,0
1000000,89516,0,0
1000000,89487,0,1
1000000,89971,0,2
1000000,89909,0,1
1000000,89631,0,0
1000000,89835,0,0
1000000,89465,0,0
1000000,89615,0,2
1000000,90087,0,2
1000000,89883,0,0
1000000,89904,0,0
1000000,89731,0,1
1000000,89875,0,0
1000000,89715,0,1
1000000,89540,0,0
1000000,89514,0,0
1000000,89615,0,1
1000000,89269,0,0
1000000,89563,0,0
1000000,89455,0,0
1000000,89427,0,1
1000000,89223,0,0
1000000,89543,0,1
1000000,89484,0,1
1000000,89499,0,0
1000000,89632,0,1
1000000,89608,0,0
1000000,89624,0,1
1000000,90002,0,0
1000000,89611,0,1
1000000,89780,0,0
1000000,89633,0,0
1000000,89703,0,1
1000000,89614,0,1
1000000,89532,0,0
1000000,89735,0,0
1000000,89849,0,1
1000000,89865,0,2
1000000,89906,0,0
1000000,90037,0,1
1000000,89638,0,0
1000000,89729,0,0
1000000,89188,0,0
1000000,89328,0,1
1000000,90004,0,0
1000000,89363,0,1
1000000,90156,0,1
1000000,89293,0,0
1000000,89631,0,0
1000000,89606,0,0
1000000,89693,0,2
1000000,89948,0,0
1000000,89703,0,0
1000000,89767,0,0
1000000,90183,0,1
1000000,89920,0,1
1000000,89674,0,0
1000000,89516,0,1
1000000,89378,0,0
1000000,89685,0,0
1000000,89807,0,2
1000000,89458,0,1
1000000,89527,0,1
1000000,89854,0,0
1000000,89708,0,0
1000000,89555,0,0
1000000,89715,0,1
1000000,90138,0,1
1000000,89099,0,0
1000000,89635,0,2
1000000,89560,0,0
1000000,90116,0,0
1000000,89597,0,1
1000000,89471,0,1
1000000,89883,0,0
1000000,89007,0,0
1000000,89519,0,1
1000000,89612,0,0
1000000,89703,0,1
1000000,90115,0,0
1000000,89779,0,1
1000000,89816,0,2
1000000,89309,0,0
1000000,89716,0,0
1000000,89154,0,0
1000000,89169,0,1
1000000,90205,0,0
1000000,89455,0,0
1000000,89777,0,0
1000000,89166,0,1
1000000,89367,0,1
1000000,89986,0,1
1000000,89653,0,1
1000000,89477,0,1
1000000,89373,0,0
1000000,89231,0,0
1000000,89293,0,0
1000000,89492,0,3
1000000,89608,0,0
1000000,89914,0,0
1000000,89575,0,0
1000000,89694,0,0
1000000,89491,0,1
1000000,89778,0,2
1000000,89667,0,0
1000000,89503,0,0
1000000,89521,0,2
1000000,89050,0,1
1000000,89946,0,1
1000000,89828,0,0
1000000,89935,0,0
1000000,89945,0,1
1000000,90031,0,3
1000000,89375,0,0
1000000,89838,0,0
1000000,89188,0,0
1000000,89422,0,0
1000000,89918,0,0
1000000,89521,0,0
1000000,89329,0,1
1000000,89680,0,1
1000000,89803,0,1
1000000,89649,0,1
1000000,89815,0,0
1000000,89540,0,1
1000000,89823,0,1
1000000,89781,0,0
1000000,89838,0,2
1000000,90182,0,0
1000000,89204,0,0
1000000,89848,0,1
1000000,89673,0,0
1000000,89614,0,0
1000000,89610,0,2
1000000,89100,0,2
1000000,89554,0,0
1000000,89115,0,1
1000000,89611,0,1
1000000,89865,0,0
1000000,89542,0,0
1000000,89714,0,0
1000000,89566,0,0
1000000,89794,0,0
1000000,89691,0,0
1000000,89591,0,3
1000000,89548,0,0
1000000,88910,0,0
1000000,89809,0,2
1000000,89815,0,0
1000000,89953,0,1
1000000,89612,0,0
1000000,89804,0,1
1000000,89711,0,0
1000000,89656,0,0
1000000,89505,0,1
1000000,89809,0,0
1000000,89822,0,2
1000000,89527,0,0
1000000,89844,0,0
1000000,89589,0,0
1000000,89763,0,0
1000000,89294,0,0
1000000,89695,0,1
1000000,89336,0,0
1000000,89598,0,2
1000000,89294,0,1
1000000,90093,0,1
1000000,89061,0,0
1000000,89844,0,0
1000000,89416,0,1
1000000,89804,0,1
1000000,89403,0,0
1000000,89392,0,0
1000000,89210,0,0
1000000,89660,0,1
1000000,89017,0,1
1000000,90022,0,2
1000000,89347,0,2
1000000,90054,0,2
1000000,89867,0,0
1000000,89736,0,1
1000000,89748,0,0
1000000,90084,0,0
1000000,89200,0,0
1000000,89589,0,1
1000000,89599,0,0
1000000,89793,0,0
1000000,89487,0,2
1000000,89335,0,0
1000000,89156,0,1
1000000,89510,0,0
1000000,90236,0,1
1000000,89670,0,1
1000000,89609,0,0
1000000,89835,0,1
1000000,90029,0,1
1000000,89587,0,0
1000000,88965,0,0
1000000,89761,0,2
1000000,89606,0,0
1000000,90057,0,2
1000000,89705,0,0
1000000,89306,0,0
1000000,89676,0,0
1000000,89606,0,0
1000000,89242,0,2
1000000,89819,0,0
1000000,89386,0,1
1000000,89801,0,1
1000000,89419,0,1
1000000,89475,0,0
1000000,89497,0,0
1000000,89683,0,1
1000000,89747,0,1
1000000,89785,0,1
1000000,89600,0,0
1000000,89861,0,0
1000000,89730,0,2
1000000,89833,0,1
1000000,89627,0,0
1000000,89817,0,0
1000000,89503,0,3
1000000,89453,0,0
1000000,89765,0,0
1000000,89195,0,0
1000000,89964,0,1
1000000,90102,0,0
1000000,89726,0,0
1000000,89558,0,0
1000000,89152,0,0
1000000,89845,0,0
1000000,89911,0,0
1000000,89800,0,0
1000000,89421,0,0
1000000,89840,0,0
1000000,89891,0,0
1000000,89620,0,0
1000000,89341,0,0
1000000,89671,0,0
1000000,89834,0,0
1000000,89603,0,0
1000000,89685,0,1
1000000,89802,0,2
1000000,89720,0,0
1000000,89158,0,0
1000000,90138,0,0
1000000,89040,0,1
1000000,89735,0,0
1000000,89672,0,1
1000000,89512,0,2
1000000,89435,0,1
1000000,90115,0,0
1000000,89851,0,0
1000000,89712,0,0
1000000,89573,0,0
1000000,89818,0,1
1000000,89929,0,0
1000000,89617,0,3
1000000,89441,0,0
1000000,89527,0,0
1000000,89701,0,1
1000000,89121,0,0
1000000,89187,0,1
1000000,89609,0,0
1000000,89863,0,0
1000000,89753,0,0
