total_shots,num_flagged,num_discarded,num_incorrect
1000000,94008,0,2
1000000,93878,0,0
1000000,93934,0,1
1000000,94248,0,2
1000000,94290,0,1
1000000,93950,0,0
1000000,93707,0,0
1000000,94197,0,0
1000000,94522,0,0
1000000,93447,0,0
1000000,93940,0,1
1000000,93933,0,1
1000000,93954,0,0
1000000,93602,0,1
1000000,93588,0,1
1000000,93630,0,1
1000000,93549,0,0
1000000,93507,0,0
1000000,94462,0,1
1000000,93950,0,0
1000000,94196,0,0
1000000,93836,0,0
1000000,93689,0,0
1000000,93811,0,1
1000000,94111,0,1
1000000,94157,0,0
1000000,94342,0,0
1000000,93733,0,0
1000000,93875,0,2
1000000,93905,0,1
1000000,94102,0,0
1000000,94305,0,0
1000000,93236,0,0
1000000,94232,0,0
1000000,94264,0,0
1000000,94020,0,0
1000000,94245,0,1
1000000,93554,0,2
1000000,93781,0,1
1000000,93976,0,1
1000000,93666,0,1
1000000,93714,0,0
1000000,93130,0,0
1000000,93450,0,0
1000000,93537,0,0
1000000,93511,0,1
1000000,92928,0,0
1000000,93965,0,2
1000000,93456,0,2
1000000,93909,0,0
1000000,93612,0,0
1000000,93785,0,0
1000000,93774,0,1
1000000,94027,0,1
1000000,94144,0,1
1000000,93558,0,0
1000000,93974,0,0
1000000,93350,0,0
1000000,93815,0,0
1000000,93628,0,1
1000000,93467,0,0
1000000,93622,0,1
1000000,93852,0,0
1000000,94211,0,2
1000000,93495,0,1
1000000,94041,0,1
1000000,93759,0,1
1000000,94084,0,1
1000000,93907,0,0
1000000,93492,0,0
1000000,94309,0,0
1000000,93295,0,0
1000000,93592,0,0
1000000,93821,0,0
1000000,93707,0,1
1000000,93770,0,2
1000000,93569,0,1
1000000,94103,0,0
1000000,94268,0,1
1000000,93836,0,1
1000000,93974,0,0
1000000,93895,0,0
1000000,93709,0,1
1000000,93530,0,0
1000000,93743,0,2
1000000,93446,0,0
1000000,93979,0,0
1000000,93647,0,0
1000000,93745,0,0
1000000,93676,0,0
1000000,94017,0,0
1000000,93813,0,2
1000000,94497,0,2
1000000,93446,0,2
1000000,93742,0,2
1000000,93734,0,2
1000000,93761,0,1
1000000,93866,0,0
1000000,93671,0,1
1000000,93255,0,0
1000000,93423,0,1
1000000,94175,0,0
1000000,93838,0,0
1000000,93679,0,5
1000000,93673,0,2
1000000,93644,0,0
1000000,93986,0,0
1000000,93680,0,1
1000000,94249,0,1
1000000,93770,0,1
1000000,94284,0,0
1000000,93653,0,1
1000000,94049,0,1
1000000,93801,0,1
1000000,93933,0,0
1000000,93766,0,0
1000000,93546,0,0
1000000,93958,0,1
1000000,93606,0,2
1000000,93823,0,2
1000000,93270,0,1
1000000,93487,0,1
1000000,94470,0,0
1000000,93831,0,2
1000000,93339,0,1
1000000,93739,0,0
1000000,94178,0,0
1000000,94076,0,1
1000000,93454,0,2
1000000,94145,0,0
1000000,94296,0,0
1000000,93603,0,1
1000000,93595,0,1
1000000,94305,0,1
1000000,93223,0,1
1000000,93781,0,0
1000000,93276,0,0
1000000,94086,0,0
1000000,93694,0,0
1000000,93713,0,0
1000000,94155,0,1
1000000,94131,0,0
1000000,93857,0,2
1000000,93630,0,1
1000000,93794,0,0
1000000,93991,0,1
1000000,93443,0,1
1000000,93761,0,0
1000000,93779,0,0
1000000,94340,0,1
1000000,93767,0,2
1000000,94088,0,0
1000000,93945,0,0
1000000,94137,0,0
1000000,93716,0,1
1000000,94170,0,2
1000000,93623,0,1
1000000,93741,0,2
1000000,94104,0,0
1000000,93846,0,3
1000000,93781,0,2
1000000,93634,0,0
1000000,94185,0,0
1000000,94329,0,1
1000000,93684,0,0
1000000,94001,0,0
1000000,94413,0,2
1000000,93991,0,2
