total_shots,num_flagged,num_discarded,num_incorrect
1000000,263894,0,0
1000000,263181,0,0
1000000,264000,0,0
1000000,263387,0,0
1000000,262817,0,0
1000000,264351,0,0
1000000,264148,0,0
1000000,264367,0,0
1000000,263394,0,0
1000000,264403,0,0
1000000,263269,0,0
1000000,263889,0,0
1000000,263501,0,0
1000000,263413,0,0
1000000,263884,0,0
1000000,264362,0,0
1000000,263056,0,0
1000000,263709,0,0
1000000,263892,0,0
1000000,263777,0,0
1000000,263610,0,0
1000000,263493,0,0
1000000,263350,0,0
1000000,263147,0,0
1000000,263910,0,0
1000000,262977,0,0
1000000,262960,0,1
1000000,263633,0,0
1000000,263957,0,0
1000000,264035,0,0
1000000,262318,0,0
1000000,262120,0,0
1000000,263650,0,0
1000000,263062,0,0
1000000,263877,0,0
1000000,263917,0,0
1000000,264124,0,0
1000000,264441,0,0
1000000,263753,0,0
1000000,263465,0,0
1000000,263793,0,0
1000000,263653,0,0
1000000,263136,0,0
1000000,263666,0,0
1000000,263845,0,0
1000000,264014,0,0
1000000,263440,0,0
1000000,263541,0,0
1000000,264043,0,0
1000000,264230,0,0
1000000,264057,0,0
1000000,263584,0,1
1000000,263270,0,0
1000000,262808,0,0
1000000,264001,0,0
1000000,263005,0,0
1000000,264611,0,0
1000000,263873,0,1
1000000,263391,0,0
1000000,263783,0,0
1000000,263560,0,0
1000000,262673,0,0
1000000,263903,0,0
1000000,263276,0,0
1000000,263649,0,0
1000000,262824,0,0
1000000,263022,0,0
1000000,263575,0,0
1000000,263603,0,0
1000000,263840,0,0
1000000,262740,0,0
1000000,263126,0,0
1000000,263575,0,0
1000000,263262,0,0
1000000,263025,0,0
1000000,263729,0,0
1000000,263657,0,0
1000000,263031,0,0
1000000,262919,0,0
1000000,263794,0,0
1000000,263628,0,1
1000000,263648,0,0
1000000,263836,0,0
1000000,263654,0,0
1000000,263791,0,0
1000000,262598,0,0
1000000,263538,0,0
1000000,263681,0,0
1000000,263299,0,0
1000000,263371,0,0
1000000,263085,0,0
1000000,263845,0,0
1000000,264037,0,0
1000000,263587,0,0
1000000,263721,0,0
1000000,262937,0,0
1000000,262550,0,0
1000000,264021,0,0
1000000,263584,0,0
1000000,263164,0,0
1000000,264717,0,0
1000000,263388,0,0
1000000,264053,0,0
1000000,263276,0,0
1000000,263230,0,0
1000000,264010,0,0
1000000,263654,0,0
1000000,263211,0,0
1000000,263322,0,0
1000000,264001,0,0
1000000,263944,0,0
1000000,262730,0,0
1000000,263751,0,0
1000000,263789,0,0
1000000,263485,0,0
1000000,263183,0,1
1000000,263026,0,0
1000000,263690,0,0
1000000,264381,0,0
1000000,264119,0,0
1000000,263124,0,0
1000000,264400,0,0
1000000,263942,0,0
1000000,263113,0,0
1000000,264196,0,0
1000000,263292,0,0
1000000,263553,0,0
1000000,263016,0,0
1000000,263426,0,0
1000000,263270,0,0
1000000,263826,0,0
1000000,262598,0,0
1000000,263604,0,0
1000000,263516,0,0
1000000,262565,0,0
1000000,264094,0,0
1000000,263360,0,0
1000000,263463,0,0
1000000,263769,0,0
1000000,263705,0,0
1000000,263501,0,0
1000000,263283,0,0
1000000,263195,0,0
1000000,264111,0,0
1000000,263530,0,0
1000000,263602,0,0
1000000,262993,0,0
1000000,263037,0,0
1000000,263240,0,0
1000000,263733,0,0
1000000,262882,0,0
1000000,263344,0,0
1000000,263577,0,0
1000000,263265,0,0
1000000,263900,0,0
1000000,263600,0,0
1000000,263595,0,0
1000000,263307,0,0
1000000,262956,0,0
1000000,263526,0,0
1000000,263803,0,0
1000000,263933,0,0
1000000,263531,0,0
1000000,263196,0,0
1000000,263259,0,0
1000000,263931,0,0
1000000,263386,0,0
1000000,263824,0,0
1000000,263798,0,0
1000000,263803,0,0
1000000,263153,0,0
1000000,263716,0,0
1000000,263288,0,0
1000000,263250,0,0
1000000,263801,0,0
1000000,263537,0,0
1000000,263236,0,0
1000000,263750,0,0
1000000,264298,0,0
1000000,262841,0,0
1000000,263276,0,0
1000000,263314,0,0
1000000,264445,0,0
1000000,263447,0,0
1000000,264117,0,0
1000000,263254,0,0
1000000,263865,0,0
1000000,263728,0,0
1000000,264294,0,0
1000000,263495,0,0
1000000,263365,0,0
1000000,263880,0,0
1000000,263413,0,0
1000000,263428,0,0
1000000,263866,0,0
1000000,263787,0,0
1000000,263566,0,0
1000000,263815,0,1
1000000,263802,0,0
1000000,263611,0,0
1000000,264056,0,0
1000000,263596,0,0
1000000,263694,0,0
1000000,263932,0,0
1000000,263560,0,0
1000000,263660,0,0
1000000,263139,0,0
1000000,263988,0,0
1000000,263430,0,1
1000000,263791,0,0
1000000,264040,0,0
1000000,263177,0,1
1000000,263002,0,0
1000000,264561,0,0
1000000,263319,0,0
1000000,264236,0,0
1000000,262771,0,0
1000000,263271,0,0
1000000,263052,0,0
1000000,263767,0,0
1000000,263796,0,0
1000000,263653,0,0
1000000,263872,0,0
1000000,263283,0,0
1000000,263250,0,0
1000000,263139,0,0
1000000,263990,0,0
1000000,264281,0,0
1000000,263989,0,0
1000000,263753,0,0
1000000,264080,0,0
1000000,264234,0,0
1000000,263049,0,0
1000000,263433,0,0
1000000,262683,0,0
1000000,263000,0,0
1000000,263239,0,0
1000000,263242,0,0
1000000,263031,0,1
1000000,263644,0,0
1000000,263745,0,0
1000000,263127,0,0
1000000,263561,0,0
1000000,263380,0,0
1000000,264073,0,0
1000000,263703,0,0
1000000,263595,0,0
1000000,263542,0,1
1000000,263220,0,0
1000000,263621,0,0
