total_shots,num_flagged,num_discarded,num_incorrect
1000000,13356,0,2289
1000000,13258,0,2299
1000000,13449,0,2261
1000000,13157,0,2291
1000000,13165,0,2229
1000000,13259,0,2318
1000000,13231,0,2291
1000000,13020,0,2299
1000000,13409,0,2250
1000000,12949,0,2310
1000000,13354,0,2196
1000000,13195,0,2313
1000000,13255,0,2275
1000000,13172,0,2193
1000000,13346,0,2344
1000000,13078,0,2291
1000000,13260,0,2312
1000000,13206,0,2250
1000000,13069,0,2245
1000000,13253,0,2229
1000000,13031,0,2308
1000000,13214,0,2306
1000000,13284,0,2217
1000000,13207,0,2264
1000000,13335,0,2274
1000000,13089,0,2283
1000000,13181,0,2227
1000000,13146,0,2238
1000000,13146,0,2254
1000000,13194,0,2264
1000000,13258,0,2245
1000000,13378,0,2210
1000000,13198,0,2249
1000000,13275,0,2269
1000000,13053,0,2344
1000000,13333,0,2246
1000000,13033,0,2276
1000000,12999,0,2310
1000000,13281,0,2219
1000000,13157,0,2336
1000000,13070,0,2322
1000000,13235,0,2200
1000000,13245,0,2301
1000000,13116,0,2218
1000000,13291,0,2222
1000000,13412,0,2321
1000000,13196,0,2375
1000000,13370,0,2284
1000000,13204,0,2239
1000000,13144,0,2308
1000000,13295,0,2225
1000000,13048,0,2270
1000000,13072,0,2291
1000000,13385,0,2304
1000000,13401,0,2257
1000000,13283,0,2243
1000000,13433,0,2241
1000000,12988,0,2214
1000000,13234,0,2284
1000000,13352,0,2233
1000000,13331,0,2273
1000000,13134,0,2409
1000000,13255,0,2319
1000000,13169,0,2297
1000000,13271,0,2292
1000000,13165,0,2299
1000000,13108,0,2277
1000000,13141,0,2234
1000000,13264,0,2354
1000000,13111,0,2344
1000000,13408,0,2314
1000000,13140,0,2282
1000000,13390,0,2263
1000000,13160,0,2235
1000000,13337,0,2319
1000000,13247,0,2281
1000000,13237,0,2261
1000000,13097,0,2272
1000000,13093,0,2196
1000000,13180,0,2320
1000000,13111,0,2331
1000000,13228,0,2272
1000000,13171,0,2278
1000000,13215,0,2242
1000000,13111,0,2302
1000000,13322,0,2292
1000000,13272,0,2289
1000000,13121,0,2246
1000000,12973,0,2294
1000000,13336,0,2297
1000000,13154,0,2276
1000000,13216,0,2355
1000000,13476,0,2295
1000000,13308,0,2279
1000000,13004,0,2342
1000000,13154,0,2359
1000000,13489,0,2305
1000000,13073,0,2301
1000000,13273,0,2304
1000000,13184,0,2263
1000000,13113,0,2292
1000000,13020,0,2256
1000000,13209,0,2260
1000000,13178,0,2226
1000000,13228,0,2241
1000000,13150,0,2301
1000000,13130,0,2271
1000000,13315,0,2268
1000000,13295,0,2255
1000000,13258,0,2270
1000000,13172,0,2235
1000000,13223,0,2284
