total_shots,num_flagged,num_discarded,num_incorrect
1000000,16522,0,29
1000000,16766,0,21
1000000,16712,0,35
1000000,16724,0,18
1000000,16810,0,18
1000000,16729,0,23
1000000,16515,0,24
1000000,16655,0,25
1000000,16499,0,24
1000000,16744,0,26
1000000,16617,0,20
1000000,16397,0,38
1000000,16720,0,25
1000000,16714,0,28
1000000,16727,0,28
1000000,16718,0,23
1000000,16465,0,34
1000000,16633,0,19
1000000,16816,0,16
1000000,16762,0,32
1000000,16752,0,26
1000000,16699,0,29
1000000,16550,0,24
1000000,16452,0,30
1000000,16535,0,28
1000000,16706,0,21
1000000,16790,0,29
1000000,16780,0,29
1000000,16704,0,25
1000000,16875,0,19
1000000,16618,0,22
1000000,16428,0,29
1000000,16601,0,30
1000000,16583,0,21
1000000,16626,0,18
1000000,16679,0,30
1000000,16614,0,33
1000000,16838,0,21
1000000,16778,0,28
1000000,16409,0,24
1000000,16660,0,30
1000000,16522,0,33
1000000,16677,0,25
1000000,16629,0,22
1000000,16721,0,15
1000000,16712,0,20
1000000,16757,0,32
1000000,16523,0,25
1000000,16624,0,26
1000000,16630,0,16
