total_shots,num_flagged,num_discarded,num_incorrect
1000000,12898,0,18
1000000,12779,0,20
1000000,13273,0,20
1000000,12913,0,26
1000000,12932,0,21
1000000,12923,0,35
1000000,12987,0,27
1000000,13172,0,22
1000000,13149,0,27
1000000,12897,0,29
1000000,13075,0,25
1000000,12954,0,25
1000000,12865,0,30
1000000,12910,0,19
1000000,12934,0,32
1000000,13128,0,24
1000000,12833,0,25
1000000,12926,0,27
1000000,12810,0,20
1000000,13135,0,30
1000000,13125,0,17
1000000,12935,0,34
1000000,12922,0,19
1000000,13013,0,21
1000000,12915,0,29
1000000,12929,0,25
1000000,13038,0,21
1000000,13097,0,20
1000000,13121,0,23
1000000,13073,0,27
1000000,13032,0,22
1000000,12936,0,22
1000000,12872,0,30
1000000,13015,0,28
1000000,12978,0,28
1000000,13016,0,31
1000000,13058,0,20
1000000,12984,0,28
1000000,13161,0,17
1000000,12912,0,28
1000000,13141,0,21
1000000,12997,0,28
1000000,13034,0,24
1000000,12955,0,20
1000000,12974,0,24
1000000,12849,0,19
1000000,12863,0,19
1000000,12839,0,27
1000000,12944,0,29
1000000,12798,0,25
1000000,12879,0,28
1000000,12868,0,18
1000000,12849,0,32
1000000,13008,0,26
1000000,12813,0,28
1000000,12804,0,19
1000000,12910,0,17
1000000,12881,0,34
1000000,13051,0,12
1000000,12913,0,27
1000000,12989,0,26
1000000,12996,0,10
1000000,12982,0,21
1000000,13005,0,25
1000000,13228,0,21
1000000,13051,0,17
1000000,12896,0,28
1000000,13089,0,23
1000000,12929,0,25
1000000,13011,0,15
1000000,12877,0,24
1000000,12915,0,24
1000000,12727,0,16
1000000,13091,0,15
1000000,13068,0,23
1000000,12917,0,27
1000000,12984,0,29
1000000,12731,0,17
1000000,12714,0,24
1000000,12831,0,29
1000000,12932,0,30
1000000,12790,0,22
1000000,12952,0,21
1000000,12855,0,29
1000000,12838,0,25
1000000,12762,0,18
1000000,12909,0,21
1000000,13048,0,12
1000000,13017,0,30
1000000,12816,0,24
1000000,12962,0,29
1000000,12863,0,23
1000000,12909,0,27
1000000,12989,0,27
1000000,12907,0,28
1000000,13106,0,22
1000000,12990,0,22
1000000,13120,0,23
1000000,12991,0,33
1000000,12879,0,23
1000000,12910,0,24
1000000,12918,0,26
1000000,12929,0,22
1000000,13117,0,32
1000000,13020,0,26
1000000,13113,0,23
1000000,12927,0,21
1000000,13118,0,22
1000000,12879,0,24
1000000,13035,0,24
1000000,12709,0,24
1000000,13048,0,20
1000000,13132,0,25
1000000,12915,0,19
1000000,12967,0,35
1000000,12652,0,28
1000000,12942,0,25
1000000,13032,0,20
1000000,12637,0,24
1000000,13001,0,21
1000000,12874,0,25
1000000,13020,0,28
1000000,13135,0,21
1000000,12914,0,26
1000000,12864,0,25
1000000,13036,0,15
1000000,13039,0,19
1000000,13054,0,25
1000000,12816,0,26
1000000,13064,0,26
1000000,12969,0,28
1000000,13087,0,22
1000000,12878,0,30
1000000,12954,0,18
1000000,12674,0,19
1000000,12898,0,29
1000000,12788,0,21
1000000,12723,0,30
1000000,13015,0,21
1000000,12885,0,25
1000000,12826,0,27
1000000,13142,0,27
1000000,12732,0,34
1000000,13074,0,23
1000000,12941,0,22
1000000,12959,0,31
1000000,12831,0,26
1000000,13153,0,21
1000000,12990,0,23
1000000,12966,0,27
