total_shots,num_flagged,num_discarded,num_incorrect
1000000,16893,0,20
1000000,16616,0,27
1000000,17058,0,25
1000000,16703,0,29
1000000,16948,0,23
1000000,16952,0,25
1000000,16948,0,26
1000000,17068,0,43
1000000,17072,0,26
1000000,16775,0,16
1000000,16581,0,16
1000000,16847,0,25
1000000,17011,0,36
1000000,16642,0,24
1000000,16774,0,26
1000000,16905,0,21
1000000,16941,0,16
1000000,16815,0,25
1000000,16778,0,27
1000000,16753,0,19
1000000,16680,0,22
1000000,16866,0,23
1000000,16888,0,25
1000000,16845,0,24
1000000,16946,0,20
1000000,16860,0,9
1000000,16801,0,20
1000000,16811,0,20
1000000,16939,0,27
1000000,16642,0,20
1000000,16700,0,17
1000000,17110,0,18
1000000,16780,0,24
1000000,16791,0,17
1000000,16806,0,29
1000000,17006,0,28
1000000,16783,0,27
1000000,16709,0,27
1000000,16980,0,26
1000000,16791,0,25
1000000,16890,0,26
1000000,16903,0,26
1000000,16727,0,34
1000000,16801,0,30
1000000,16853,0,27
1000000,16805,0,17
1000000,16850,0,20
1000000,16653,0,20
1000000,16982,0,18
1000000,16756,0,25
