total_shots,num_flagged,num_discarded,num_incorrect
1000000,13296,0,18
1000000,13157,0,22
1000000,13269,0,28
1000000,13325,0,27
1000000,13303,0,19
1000000,13277,0,21
1000000,13243,0,22
1000000,13294,0,26
1000000,13263,0,26
1000000,13079,0,30
1000000,13571,0,22
1000000,13092,0,24
1000000,13155,0,17
1000000,13479,0,17
1000000,13256,0,14
1000000,13251,0,27
1000000,13104,0,20
1000000,13007,0,26
1000000,13256,0,30
1000000,13173,0,25
1000000,13347,0,24
1000000,13209,0,11
1000000,13158,0,21
1000000,13064,0,26
1000000,13009,0,25
1000000,13372,0,22
1000000,13180,0,26
1000000,13141,0,24
1000000,13008,0,21
1000000,13313,0,18
1000000,13186,0,24
1000000,13381,0,21
1000000,13188,0,30
1000000,13366,0,26
1000000,13316,0,24
1000000,13049,0,17
1000000,13348,0,27
1000000,13340,0,29
1000000,13142,0,28
1000000,13276,0,34
1000000,13193,0,26
1000000,13225,0,21
1000000,13197,0,15
1000000,13188,0,27
1000000,13179,0,23
1000000,13126,0,25
1000000,12987,0,22
1000000,13201,0,28
1000000,13269,0,35
1000000,13230,0,21
1000000,13236,0,30
1000000,13367,0,30
1000000,13182,0,33
1000000,13110,0,27
1000000,13112,0,21
1000000,12992,0,20
1000000,13111,0,21
1000000,13467,0,25
1000000,13467,0,24
1000000,13315,0,25
1000000,13187,0,21
1000000,13029,0,30
1000000,13334,0,18
1000000,13196,0,18
1000000,13415,0,24
1000000,13423,0,35
1000000,13140,0,27
1000000,13223,0,31
1000000,13164,0,25
1000000,13151,0,19
1000000,13374,0,24
1000000,13146,0,27
1000000,13260,0,21
1000000,13142,0,27
1000000,13426,0,34
1000000,13168,0,29
1000000,13379,0,20
1000000,13307,0,24
1000000,13162,0,29
1000000,13398,0,21
1000000,13275,0,17
1000000,13111,0,27
1000000,13340,0,28
1000000,13431,0,27
1000000,13106,0,29
1000000,13410,0,22
1000000,13338,0,23
1000000,13183,0,17
1000000,13349,0,18
1000000,13375,0,18
1000000,13135,0,20
1000000,13300,0,28
1000000,13252,0,19
1000000,13176,0,26
1000000,13292,0,41
1000000,13084,0,19
1000000,13298,0,24
1000000,13027,0,25
1000000,13088,0,17
1000000,13219,0,25
