total_shots,num_flagged,num_discarded,num_incorrect
1000000,16868,0,24
1000000,17094,0,30
1000000,16926,0,16
1000000,16729,0,24
1000000,16616,0,27
1000000,17019,0,21
1000000,16699,0,24
1000000,16915,0,19
1000000,16856,0,29
1000000,17065,0,26
1000000,17223,0,21
1000000,16803,0,26
1000000,16714,0,37
1000000,16910,0,27
1000000,17017,0,21
1000000,16594,0,21
1000000,16885,0,21
1000000,16785,0,29
1000000,16933,0,22
1000000,16927,0,22
1000000,16821,0,24
1000000,16825,0,27
1000000,16617,0,24
1000000,16987,0,25
1000000,17001,0,23
1000000,16687,0,24
1000000,16801,0,26
1000000,16763,0,29
1000000,16580,0,24
1000000,17141,0,19
1000000,16892,0,27
1000000,16825,0,25
1000000,16947,0,17
1000000,16774,0,21
1000000,16717,0,32
1000000,16895,0,25
1000000,16665,0,26
1000000,17013,0,22
1000000,16794,0,20
1000000,16970,0,26
1000000,16913,0,23
1000000,16754,0,29
1000000,16734,0,21
1000000,17033,0,28
1000000,16976,0,24
1000000,16886,0,32
1000000,16864,0,40
1000000,16998,0,20
1000000,16838,0,24
1000000,16887,0,26
