total_shots,num_flagged,num_discarded,num_incorrect
1000000,13046,0,2337
1000000,13046,0,2324
1000000,13095,0,2325
1000000,13110,0,2332
1000000,13186,0,2380
1000000,13136,0,2283
1000000,12956,0,2355
1000000,13110,0,2385
1000000,13120,0,2308
1000000,13125,0,2309
1000000,13055,0,2326
1000000,13110,0,2356
1000000,13058,0,2275
1000000,12958,0,2410
1000000,13181,0,2324
1000000,13119,0,2342
1000000,13117,0,2326
1000000,13040,0,2363
1000000,13132,0,2255
1000000,13113,0,2438
1000000,12866,0,2264
1000000,13101,0,2301
1000000,13067,0,2285
1000000,12797,0,2230
1000000,12972,0,2401
1000000,13296,0,2306
1000000,12956,0,2376
1000000,12936,0,2302
1000000,13137,0,2327
1000000,13210,0,2305
1000000,13188,0,2355
1000000,13140,0,2290
1000000,13135,0,2341
1000000,13063,0,2255
1000000,13067,0,2325
1000000,12961,0,2282
1000000,12894,0,2345
1000000,13096,0,2358
1000000,13116,0,2353
1000000,12985,0,2376
1000000,13223,0,2444
1000000,13137,0,2412
1000000,13253,0,2379
1000000,13177,0,2406
1000000,13037,0,2411
1000000,12940,0,2333
1000000,12927,0,2321
1000000,12948,0,2426
1000000,13260,0,2268
1000000,13123,0,2324
1000000,13093,0,2266
1000000,13018,0,2324
1000000,13197,0,2340
1000000,13121,0,2230
1000000,12947,0,2323
1000000,13089,0,2356
1000000,13227,0,2341
1000000,12928,0,2389
1000000,13151,0,2336
1000000,12990,0,2247
1000000,13262,0,2336
1000000,13023,0,2344
1000000,13196,0,2287
1000000,12964,0,2340
1000000,13141,0,2358
1000000,13090,0,2374
1000000,13182,0,2367
1000000,13018,0,2430
1000000,13147,0,2350
1000000,13087,0,2281
1000000,13070,0,2320
1000000,12986,0,2295
1000000,12983,0,2268
1000000,13136,0,2375
1000000,12859,0,2386
1000000,12968,0,2401
1000000,13061,0,2327
1000000,13072,0,2297
1000000,13087,0,2297
1000000,12909,0,2318
1000000,13197,0,2367
1000000,12913,0,2405
1000000,13131,0,2347
1000000,13114,0,2387
1000000,13143,0,2364
1000000,13017,0,2333
1000000,13288,0,2336
1000000,13044,0,2245
1000000,13197,0,2270
1000000,12909,0,2404
1000000,13029,0,2396
1000000,12977,0,2351
1000000,13135,0,2304
1000000,13085,0,2377
1000000,12999,0,2329
1000000,13135,0,2389
1000000,13225,0,2309
1000000,13171,0,2284
1000000,13138,0,2337
1000000,13074,0,2316
1000000,13160,0,2306
1000000,13186,0,2290
1000000,13077,0,2352
1000000,13063,0,2373
1000000,13045,0,2339
1000000,13076,0,2294
1000000,13117,0,2380
1000000,13038,0,2309
1000000,13029,0,2348
1000000,13107,0,2249
1000000,13227,0,2315
1000000,13153,0,2326
1000000,13026,0,2317
1000000,12869,0,2382
1000000,13037,0,2206
1000000,12863,0,2231
1000000,13082,0,2376
1000000,12883,0,2263
1000000,13318,0,2259
1000000,12930,0,2372
1000000,13213,0,2376
1000000,12901,0,2316
1000000,13136,0,2335
1000000,12941,0,2327
1000000,13193,0,2310
1000000,12956,0,2295
1000000,13166,0,2340
1000000,13171,0,2292
1000000,13018,0,2361
1000000,12988,0,2303
1000000,13240,0,2320
1000000,13009,0,2415
1000000,12985,0,2317
1000000,13003,0,2358
1000000,13010,0,2329
1000000,12966,0,2235
1000000,13031,0,2282
1000000,13176,0,2304
1000000,13384,0,2383
1000000,13005,0,2303
1000000,13227,0,2291
1000000,13240,0,2338
1000000,13108,0,2318
1000000,12952,0,2271
1000000,13006,0,2308
1000000,13128,0,2447
1000000,13169,0,2321
1000000,13246,0,2296
1000000,12913,0,2307
1000000,13207,0,2374
1000000,13045,0,2296
1000000,13095,0,2421
1000000,13134,0,2361
1000000,12899,0,2387
1000000,13083,0,2322
1000000,12972,0,2303
1000000,12990,0,2333
1000000,12993,0,2294
1000000,13018,0,2301
1000000,13176,0,2419
1000000,12991,0,2260
1000000,13035,0,2288
1000000,12987,0,2348
1000000,12946,0,2281
1000000,13165,0,2382
1000000,13145,0,2387
1000000,13108,0,2356
1000000,13245,0,2248
1000000,13079,0,2444
1000000,13088,0,2356
1000000,12998,0,2378
1000000,12971,0,2352
1000000,13008,0,2326
1000000,13028,0,2265
1000000,12880,0,2262
1000000,12968,0,2300
1000000,13098,0,2305
1000000,12986,0,2374
1000000,13077,0,2439
1000000,12992,0,2327
1000000,12943,0,2334
1000000,13032,0,2428
1000000,13047,0,2304
1000000,13070,0,2336
1000000,13024,0,2393
1000000,12965,0,2270
1000000,13047,0,2416
1000000,13063,0,2264
1000000,13108,0,2310
1000000,13199,0,2328
1000000,13028,0,2388
1000000,12788,0,2416
1000000,13066,0,2315
1000000,13061,0,2323
1000000,12919,0,2364
1000000,13066,0,2341
1000000,13132,0,2359
1000000,13043,0,2391
1000000,13062,0,2377
1000000,13113,0,2389
1000000,13109,0,2332
1000000,13119,0,2317
1000000,12992,0,2372
1000000,13221,0,2360
1000000,13077,0,2382
1000000,12833,0,2370
1000000,13079,0,2341
1000000,13099,0,2373
1000000,13123,0,2316
1000000,12997,0,2388
1000000,12937,0,2331
1000000,13220,0,2320
1000000,13081,0,2360
1000000,13068,0,2374
1000000,13046,0,2377
1000000,13076,0,2326
1000000,13074,0,2288
1000000,12992,0,2331
1000000,12998,0,2352
1000000,12944,0,2403
1000000,13043,0,2295
1000000,13165,0,2326
