total_shots,num_flagged,num_discarded,num_incorrect
1000000,16765,0,28
1000000,16882,0,24
1000000,16704,0,30
1000000,16732,0,29
1000000,16692,0,25
1000000,16856,0,25
1000000,16875,0,30
1000000,16608,0,28
1000000,16851,0,17
1000000,16629,0,20
1000000,16921,0,18
1000000,16830,0,20
1000000,16739,0,23
1000000,16793,0,23
1000000,16682,0,17
1000000,16878,0,27
1000000,16734,0,21
1000000,16536,0,31
1000000,16968,0,34
1000000,16899,0,28
1000000,16504,0,33
1000000,16611,0,16
1000000,16666,0,17
1000000,17001,0,22
1000000,16958,0,24
1000000,16640,0,31
1000000,16526,0,18
1000000,16822,0,26
1000000,16751,0,27
1000000,16604,0,20
1000000,16679,0,29
1000000,16904,0,22
1000000,16679,0,26
1000000,16934,0,27
1000000,16785,0,25
1000000,16806,0,22
1000000,16708,0,23
1000000,16708,0,41
1000000,16900,0,27
1000000,16747,0,21
1000000,16770,0,16
1000000,16488,0,24
1000000,16622,0,23
1000000,16564,0,19
1000000,16882,0,23
1000000,16961,0,24
1000000,16589,0,23
1000000,16723,0,26
1000000,16488,0,19
1000000,16491,0,28
1000000,16718,0,27
1000000,16678,0,22
1000000,16849,0,28
1000000,16650,0,28
1000000,16678,0,27
1000000,16612,0,21
1000000,16592,0,31
1000000,16742,0,21
1000000,16694,0,19
1000000,16524,0,23
1000000,16832,0,32
1000000,16739,0,16
1000000,16897,0,27
1000000,16825,0,28
1000000,16765,0,29
1000000,16786,0,20
1000000,16723,0,21
1000000,16833,0,18
1000000,16414,0,20
1000000,16615,0,26
1000000,16709,0,16
1000000,16758,0,23
1000000,16722,0,28
1000000,16681,0,28
1000000,16398,0,31
1000000,16865,0,24
1000000,16783,0,18
1000000,16735,0,19
1000000,16640,0,14
1000000,16519,0,19
1000000,16663,0,22
1000000,16931,0,30
1000000,16802,0,21
1000000,16730,0,32
1000000,16745,0,25
1000000,16537,0,19
1000000,16771,0,15
1000000,16903,0,29
1000000,16787,0,22
1000000,16703,0,19
1000000,16858,0,35
1000000,16563,0,22
1000000,16825,0,28
1000000,16603,0,13
1000000,16914,0,26
1000000,16894,0,18
1000000,16628,0,22
1000000,16655,0,28
1000000,16869,0,25
1000000,16851,0,23
1000000,16528,0,28
1000000,16527,0,28
1000000,16591,0,22
1000000,16800,0,16
1000000,16561,0,15
1000000,16760,0,29
1000000,16753,0,17
1000000,16605,0,26
1000000,16661,0,25
1000000,16615,0,24
1000000,16666,0,32
1000000,16705,0,27
1000000,16771,0,24
1000000,16573,0,19
1000000,16753,0,27
1000000,16777,0,19
1000000,16873,0,24
1000000,16516,0,22
1000000,16834,0,31
1000000,16843,0,24
1000000,16865,0,24
1000000,16710,0,27
1000000,16959,0,21
1000000,16744,0,27
1000000,16723,0,14
1000000,16816,0,32
1000000,16699,0,24
1000000,16785,0,17
1000000,16956,0,29
1000000,16695,0,22
1000000,16751,0,29
1000000,16483,0,20
1000000,16625,0,26
1000000,16554,0,32
1000000,16741,0,14
1000000,16839,0,20
1000000,16597,0,31
1000000,16932,0,26
1000000,16816,0,17
1000000,16778,0,23
1000000,16743,0,20
1000000,16708,0,30
1000000,16828,0,30
1000000,16572,0,17
1000000,16940,0,21
1000000,16673,0,15
1000000,16727,0,20
1000000,16763,0,21
1000000,16943,0,23
1000000,16579,0,32
1000000,16489,0,39
1000000,16787,0,32
1000000,16633,0,28
1000000,16547,0,22
1000000,17014,0,20
1000000,16883,0,25
1000000,16706,0,24
1000000,16702,0,29
1000000,16757,0,22
1000000,16579,0,17
1000000,16693,0,24
1000000,16724,0,29
1000000,16661,0,21
1000000,16741,0,27
1000000,16754,0,20
1000000,16710,0,36
1000000,16696,0,27
1000000,16513,0,18
1000000,16700,0,23
1000000,16955,0,15
1000000,16678,0,27
1000000,16909,0,18
1000000,16900,0,21
1000000,16747,0,34
1000000,16635,0,28
1000000,16743,0,26
1000000,16886,0,26
1000000,16774,0,30
1000000,16711,0,29
1000000,16478,0,30
1000000,16814,0,30
1000000,16689,0,14
1000000,16570,0,21
1000000,16706,0,21
1000000,16718,0,36
1000000,16942,0,21
1000000,16502,0,28
1000000,16528,0,23
1000000,16747,0,32
1000000,16892,0,34
1000000,16929,0,24
1000000,16446,0,26
1000000,16830,0,32
1000000,16824,0,25
1000000,16716,0,26
1000000,16628,0,19
1000000,16648,0,26
1000000,16781,0,15
1000000,16857,0,26
1000000,16762,0,18
1000000,16659,0,22
1000000,16764,0,26
1000000,16706,0,19
1000000,16795,0,22
1000000,16884,0,19
1000000,16801,0,19
1000000,16988,0,25
1000000,16823,0,22
1000000,16624,0,29
1000000,16457,0,23
1000000,16931,0,22
1000000,16714,0,23
1000000,16723,0,30
1000000,16796,0,18
1000000,16804,0,24
1000000,16703,0,29
1000000,16496,0,27
1000000,16955,0,24
1000000,16701,0,26
1000000,16825,0,21
1000000,16793,0,24
1000000,16702,0,25
1000000,16936,0,24
1000000,17047,0,30
1000000,16796,0,32
1000000,16730,0,23
1000000,16620,0,26
1000000,16786,0,30
1000000,16451,0,30
1000000,16626,0,20
1000000,16704,0,32
1000000,16757,0,23
1000000,16765,0,24
1000000,16647,0,36
1000000,16395,0,37
1000000,16697,0,24
1000000,16606,0,20
1000000,16563,0,37
1000000,16755,0,22
1000000,16857,0,35
1000000,16637,0,25
1000000,16814,0,19
1000000,16974,0,21
1000000,16655,0,28
1000000,16744,0,22
1000000,16525,0,30
1000000,16711,0,25
1000000,16772,0,36
1000000,16733,0,20
1000000,16976,0,17
1000000,16745,0,26
1000000,16611,0,25
1000000,16781,0,30
1000000,16754,0,14
1000000,16558,0,22
1000000,16902,0,33
1000000,17059,0,31
1000000,16683,0,24
1000000,16690,0,21
1000000,16750,0,25
1000000,16702,0,16
1000000,16837,0,20
1000000,16633,0,27
1000000,16725,0,24
1000000,16808,0,25
1000000,16792,0,29
1000000,16914,0,24
1000000,16582,0,23
1000000,16835,0,18
1000000,17003,0,27
1000000,16835,0,23
1000000,16577,0,20
1000000,16742,0,27
1000000,16726,0,33
1000000,16773,0,24
1000000,16743,0,25
1000000,16649,0,20
1000000,16807,0,30
1000000,16679,0,23
1000000,16649,0,34
1000000,16800,0,23
1000000,16606,0,38
1000000,16652,0,22
1000000,16815,0,33
1000000,16759,0,37
1000000,16700,0,30
1000000,16477,0,30
1000000,16771,0,27
1000000,16804,0,21
1000000,16855,0,26
1000000,16507,0,19
1000000,16706,0,30
1000000,16668,0,29
1000000,16677,0,32
1000000,16709,0,29
1000000,16856,0,27
1000000,16773,0,26
1000000,16693,0,24
1000000,16520,0,24
1000000,16481,0,22
1000000,16665,0,19
1000000,16712,0,21
1000000,16933,0,25
1000000,16760,0,25
1000000,16512,0,21
1000000,16950,0,21
1000000,16533,0,18
1000000,16565,0,18
1000000,16672,0,16
1000000,16932,0,24
1000000,16853,0,16
1000000,16847,0,26
1000000,16994,0,22
1000000,16833,0,26
1000000,16697,0,22
1000000,16815,0,30
1000000,16807,0,32
1000000,16796,0,28
1000000,16606,0,28
1000000,16649,0,22
1000000,16743,0,20
1000000,16889,0,13
1000000,17002,0,25
1000000,16671,0,13
1000000,16802,0,24
1000000,16841,0,29
1000000,16644,0,17
1000000,16551,0,29
1000000,16649,0,24
1000000,16768,0,30
1000000,16655,0,21
1000000,16786,0,21
1000000,16785,0,19
1000000,16785,0,20
1000000,16680,0,27
1000000,16759,0,31
1000000,16776,0,22
1000000,16746,0,25
1000000,16791,0,19
1000000,16587,0,29
1000000,16798,0,13
1000000,16748,0,33
1000000,16665,0,25
1000000,16690,0,28
1000000,16635,0,18
1000000,16657,0,26
1000000,16552,0,24
1000000,16628,0,20
1000000,16605,0,23
1000000,16801,0,31
1000000,16829,0,27
1000000,16935,0,20
1000000,16820,0,39
1000000,16742,0,14
1000000,16691,0,22
1000000,16776,0,24
1000000,16706,0,30
1000000,16712,0,35
1000000,16504,0,21
1000000,16967,0,27
1000000,16669,0,36
1000000,16914,0,25
1000000,16704,0,34
1000000,16508,0,17
1000000,16885,0,23
1000000,17028,0,30
1000000,16661,0,31
1000000,16666,0,27
1000000,16595,0,24
1000000,16858,0,26
1000000,16715,0,20
1000000,16699,0,26
1000000,16608,0,22
1000000,17058,0,14
1000000,16756,0,27
1000000,16728,0,23
1000000,16785,0,33
1000000,16801,0,26
1000000,16804,0,23
1000000,16688,0,19
1000000,16626,0,26
1000000,16815,0,25
1000000,16854,0,26
1000000,16747,0,17
1000000,16578,0,27
1000000,16872,0,28
1000000,16828,0,22
1000000,16820,0,20
1000000,16651,0,28
1000000,16803,0,13
1000000,16727,0,28
1000000,16602,0,27
1000000,16691,0,27
1000000,16697,0,26
1000000,16742,0,25
1000000,17030,0,13
1000000,16725,0,15
1000000,16713,0,32
1000000,16987,0,27
1000000,16711,0,29
1000000,16732,0,30
1000000,16612,0,23
1000000,16748,0,24
1000000,16632,0,26
1000000,16937,0,34
1000000,16798,0,27
1000000,16664,0,29
1000000,16846,0,25
1000000,16735,0,26
1000000,16696,0,29
1000000,16904,0,29
1000000,17000,0,23
1000000,16885,0,22
1000000,16954,0,22
1000000,16821,0,25
1000000,16700,0,26
1000000,16641,0,21
1000000,16623,0,28
1000000,16840,0,28
1000000,16778,0,20
1000000,16763,0,34
1000000,16656,0,23
1000000,16612,0,27
1000000,16748,0,32
1000000,16704,0,26
1000000,16838,0,25
1000000,16724,0,22
1000000,16566,0,32
1000000,16923,0,23
1000000,16740,0,30
1000000,16840,0,17
1000000,16853,0,22
1000000,16735,0,25
1000000,16902,0,17
1000000,16969,0,28
1000000,16687,0,25
1000000,16916,0,24
1000000,16806,0,20
1000000,16729,0,13
1000000,16666,0,28
1000000,16690,0,25
1000000,16638,0,31
1000000,16925,0,21
1000000,16805,0,30
1000000,16770,0,21
1000000,16824,0,23
1000000,16615,0,23
1000000,16524,0,17
1000000,16822,0,17
1000000,16661,0,20
1000000,16900,0,25
1000000,16803,0,22
1000000,16759,0,16
1000000,16682,0,24
1000000,16964,0,30
1000000,16775,0,22
1000000,16667,0,17
1000000,16590,0,23
1000000,16600,0,17
1000000,16723,0,23
1000000,16758,0,24
1000000,16863,0,26
1000000,16873,0,29
1000000,16615,0,31
1000000,16862,0,29
1000000,16787,0,22
1000000,16825,0,23
1000000,16875,0,18
1000000,16682,0,18
1000000,16952,0,26
1000000,16781,0,29
1000000,16742,0,37
1000000,16874,0,39
1000000,16965,0,25
1000000,16689,0,22
1000000,16908,0,27
1000000,16703,0,21
1000000,16716,0,20
1000000,16952,0,21
1000000,16946,0,20
1000000,16537,0,25
1000000,16739,0,34
1000000,16895,0,22
1000000,16633,0,28
1000000,16827,0,19
1000000,16709,0,24
1000000,16708,0,21
1000000,16714,0,18
1000000,16738,0,26
1000000,16507,0,28
1000000,16712,0,30
1000000,16757,0,33
1000000,16807,0,19
1000000,16765,0,16
1000000,16821,0,18
1000000,16620,0,28
1000000,16903,0,20
1000000,16638,0,34
1000000,16804,0,16
1000000,16648,0,23
1000000,16643,0,19
1000000,16809,0,26
1000000,16810,0,28
1000000,16642,0,22
1000000,16512,0,29
1000000,16931,0,28
1000000,16620,0,25
1000000,16676,0,29
1000000,16829,0,25
1000000,16612,0,29
1000000,16735,0,21
1000000,16705,0,26
1000000,16783,0,24
1000000,16767,0,28
1000000,16929,0,26
1000000,16786,0,27
1000000,16788,0,21
1000000,16686,0,26
1000000,16770,0,30
1000000,16949,0,18
1000000,16522,0,22
1000000,16838,0,27
1000000,17004,0,23
1000000,16648,0,20
1000000,16691,0,21
1000000,16606,0,28
1000000,16476,0,29
1000000,16652,0,25
1000000,16590,0,15
1000000,16805,0,32
1000000,17063,0,27
1000000,16769,0,21
1000000,16600,0,16
1000000,16652,0,31
1000000,16818,0,28
1000000,16776,0,29
1000000,16725,0,20
1000000,16865,0,17
1000000,16731,0,26
1000000,16705,0,27
1000000,16601,0,28
1000000,16730,0,23
1000000,16676,0,28
1000000,16771,0,36
1000000,16642,0,29
1000000,16776,0,26
1000000,16783,0,18
1000000,16974,0,26
1000000,16926,0,24
1000000,16743,0,24
1000000,16950,0,32
1000000,16726,0,23
1000000,16812,0,25
1000000,16711,0,27
1000000,16930,0,33
1000000,16758,0,27
1000000,16948,0,26
1000000,16772,0,18
1000000,16970,0,24
1000000,16779,0,20
1000000,16822,0,25
1000000,16473,0,25
1000000,16653,0,28
1000000,16721,0,24
1000000,16642,0,21
1000000,16766,0,22
1000000,16513,0,28
1000000,16880,0,15
1000000,16837,0,24
1000000,16601,0,22
1000000,16719,0,19
1000000,16660,0,21
1000000,16893,0,25
1000000,16594,0,30
1000000,16834,0,26
1000000,16834,0,21
1000000,16846,0,29
1000000,16640,0,31
1000000,16693,0,28
1000000,16807,0,23
1000000,16720,0,20
1000000,16781,0,23
1000000,16715,0,22
1000000,16629,0,29
1000000,16714,0,21
1000000,16642,0,20
1000000,16772,0,23
1000000,16799,0,30
1000000,16588,0,35
1000000,16711,0,17
1000000,16811,0,19
1000000,16563,0,32
1000000,16837,0,21
1000000,16854,0,20
1000000,16920,0,26
1000000,16725,0,17
1000000,16590,0,35
1000000,16915,0,16
1000000,16801,0,23
1000000,16810,0,28
1000000,16566,0,21
1000000,16882,0,23
1000000,16811,0,22
1000000,16892,0,21
1000000,16890,0,29
1000000,17000,0,15
1000000,16513,0,21
1000000,16739,0,27
1000000,16976,0,32
1000000,16697,0,22
1000000,16881,0,17
1000000,16610,0,23
1000000,16722,0,29
1000000,16626,0,25
1000000,16565,0,23
1000000,16883,0,32
1000000,16619,0,22
1000000,16741,0,24
1000000,16744,0,18
1000000,16788,0,20
1000000,16553,0,26
1000000,16827,0,37
1000000,16839,0,21
1000000,16697,0,21
1000000,16749,0,22
1000000,16957,0,27
1000000,16762,0,29
1000000,16696,0,17
1000000,16671,0,32
1000000,16599,0,22
1000000,16961,0,27
1000000,16804,0,23
1000000,16815,0,13
1000000,16677,0,24
1000000,17019,0,28
1000000,16685,0,24
1000000,16488,0,19
1000000,16751,0,22
1000000,16655,0,26
1000000,16866,0,12
1000000,16862,0,33
1000000,16748,0,25
1000000,16790,0,21
1000000,16843,0,19
1000000,16730,0,16
1000000,16619,0,22
1000000,16469,0,17
1000000,16829,0,26
1000000,16620,0,30
1000000,16912,0,17
1000000,16633,0,23
1000000,16783,0,26
