total_shots,num_flagged,num_discarded,num_incorrect
1000000,13059,0,36
1000000,13287,0,25
1000000,12947,0,25
1000000,13023,0,32
1000000,13021,0,23
1000000,13065,0,21
1000000,12892,0,27
1000000,12976,0,26
1000000,13116,0,29
1000000,12963,0,31
1000000,12983,0,25
1000000,12727,0,25
1000000,12999,0,20
1000000,12877,0,36
1000000,12934,0,31
1000000,12858,0,22
1000000,12820,0,22
1000000,12909,0,22
1000000,12913,0,35
1000000,12951,0,21
1000000,12987,0,38
1000000,12850,0,23
1000000,12854,0,24
1000000,12873,0,25
1000000,12979,0,16
1000000,13029,0,32
1000000,12910,0,34
1000000,13035,0,37
1000000,13091,0,30
1000000,12702,0,19
1000000,12933,0,30
1000000,12840,0,33
1000000,13088,0,29
1000000,12877,0,30
1000000,12949,0,19
1000000,12798,0,24
1000000,12971,0,25
1000000,12994,0,32
1000000,13057,0,19
1000000,12964,0,24
1000000,12756,0,17
1000000,13058,0,24
1000000,13015,0,24
1000000,12961,0,22
1000000,13033,0,26
1000000,12855,0,22
1000000,12872,0,17
1000000,13220,0,15
1000000,12871,0,19
1000000,13040,0,30
1000000,12972,0,24
1000000,12914,0,29
1000000,13028,0,25
1000000,12992,0,22
1000000,13119,0,22
1000000,12853,0,17
1000000,12883,0,21
1000000,13006,0,19
1000000,13075,0,31
1000000,13076,0,26
1000000,13073,0,26
1000000,12794,0,24
1000000,12908,0,27
1000000,13000,0,28
1000000,13035,0,28
1000000,12980,0,27
1000000,12921,0,23
1000000,12895,0,22
1000000,12980,0,24
1000000,12941,0,26
1000000,13055,0,31
1000000,12837,0,24
1000000,12921,0,39
1000000,12881,0,23
1000000,13002,0,22
1000000,12954,0,23
1000000,12921,0,13
1000000,13217,0,33
1000000,12836,0,24
1000000,13076,0,20
1000000,12818,0,28
1000000,13067,0,23
1000000,13037,0,24
1000000,12769,0,19
1000000,12924,0,24
1000000,13151,0,31
1000000,12869,0,23
1000000,12967,0,24
1000000,12893,0,26
1000000,12936,0,27
1000000,12951,0,27
1000000,12829,0,19
1000000,12878,0,20
1000000,13073,0,30
1000000,12837,0,26
1000000,13092,0,16
1000000,12893,0,23
1000000,12719,0,28
1000000,13208,0,27
1000000,13097,0,42
1000000,12999,0,31
1000000,12716,0,27
1000000,12918,0,28
1000000,12787,0,23
1000000,12861,0,30
1000000,12943,0,34
1000000,13027,0,37
1000000,12979,0,23
1000000,12917,0,43
1000000,13069,0,30
1000000,13028,0,28
1000000,13089,0,23
1000000,13064,0,21
1000000,12636,0,24
1000000,13107,0,30
1000000,12829,0,29
1000000,12977,0,25
1000000,12843,0,30
1000000,12928,0,22
1000000,12994,0,21
1000000,12839,0,21
1000000,12908,0,32
1000000,12989,0,21
1000000,12882,0,27
1000000,12838,0,28
1000000,12888,0,24
1000000,13103,0,18
1000000,13053,0,28
1000000,12925,0,27
1000000,13072,0,19
1000000,12990,0,24
1000000,12942,0,30
1000000,12763,0,17
1000000,12909,0,29
1000000,12954,0,39
1000000,12836,0,22
1000000,12938,0,29
1000000,13048,0,28
1000000,12934,0,14
1000000,13165,0,22
1000000,13055,0,35
1000000,13056,0,23
1000000,12888,0,24
1000000,12762,0,29
1000000,12945,0,26
1000000,12931,0,25
1000000,13001,0,27
1000000,13042,0,20
1000000,13033,0,15
1000000,12824,0,28
