total_shots,num_flagged,num_discarded,num_incorrect
1000000,13215,0,23
1000000,13025,0,27
1000000,12982,0,21
1000000,13088,0,28
1000000,13275,0,32
1000000,13285,0,26
1000000,13024,0,23
1000000,13051,0,15
1000000,13135,0,31
1000000,13206,0,27
1000000,13015,0,28
1000000,13298,0,23
1000000,13120,0,18
1000000,13075,0,27
1000000,13119,0,29
1000000,13087,0,22
1000000,13053,0,28
1000000,13220,0,20
1000000,13112,0,17
1000000,13202,0,34
1000000,13119,0,21
1000000,13196,0,19
1000000,13233,0,21
1000000,13207,0,26
1000000,13280,0,25
1000000,13031,0,24
1000000,13175,0,31
1000000,13156,0,25
1000000,13215,0,27
1000000,13111,0,34
1000000,13086,0,27
1000000,12945,0,14
1000000,13276,0,28
1000000,12959,0,31
1000000,13243,0,25
1000000,13091,0,24
1000000,13228,0,26
1000000,13102,0,28
1000000,13281,0,22
1000000,13164,0,30
1000000,13018,0,23
1000000,13341,0,36
1000000,13306,0,18
1000000,13254,0,26
1000000,13091,0,27
1000000,13130,0,18
1000000,13109,0,25
1000000,13001,0,28
1000000,13114,0,25
1000000,13180,0,29
1000000,13209,0,24
1000000,13353,0,23
1000000,13287,0,32
1000000,13129,0,25
1000000,13204,0,22
1000000,13280,0,30
1000000,13017,0,23
1000000,13048,0,29
1000000,13091,0,29
1000000,13203,0,23
1000000,13072,0,14
1000000,13130,0,22
1000000,13179,0,22
1000000,13198,0,31
1000000,13072,0,34
1000000,13330,0,27
1000000,13199,0,24
1000000,13264,0,22
1000000,13104,0,29
1000000,13081,0,21
1000000,13114,0,25
1000000,13132,0,20
1000000,13326,0,17
1000000,13054,0,20
1000000,13259,0,21
1000000,13179,0,28
1000000,13347,0,29
1000000,13341,0,25
1000000,13350,0,24
1000000,13121,0,34
1000000,13097,0,25
1000000,13288,0,19
1000000,13084,0,19
1000000,13295,0,22
1000000,13128,0,21
1000000,13301,0,20
1000000,13082,0,22
1000000,13043,0,33
1000000,13147,0,25
1000000,13236,0,26
1000000,13159,0,23
1000000,13124,0,18
1000000,13246,0,26
1000000,13090,0,23
1000000,13240,0,27
1000000,13119,0,27
1000000,13157,0,23
1000000,13160,0,19
1000000,13091,0,22
1000000,13105,0,21
