total_shots,num_flagged,num_discarded,num_incorrect
1000000,16494,0,27
1000000,16562,0,26
1000000,16612,0,23
1000000,16915,0,34
1000000,16575,0,32
1000000,16848,0,15
1000000,16734,0,27
1000000,16686,0,30
1000000,16945,0,23
1000000,16755,0,29
1000000,16488,0,22
1000000,16619,0,25
1000000,16619,0,22
1000000,16671,0,28
1000000,16664,0,17
1000000,16614,0,22
1000000,16757,0,27
1000000,16677,0,20
1000000,16849,0,15
1000000,16810,0,21
1000000,16868,0,30
1000000,16831,0,20
1000000,16640,0,19
1000000,16795,0,19
1000000,16601,0,27
1000000,16664,0,29
1000000,16725,0,29
1000000,16397,0,31
1000000,16641,0,24
1000000,16794,0,22
1000000,16620,0,31
1000000,16701,0,21
1000000,16934,0,26
1000000,16714,0,19
1000000,16712,0,29
1000000,16576,0,23
1000000,16817,0,31
1000000,16614,0,28
1000000,16863,0,23
1000000,16636,0,22
1000000,16738,0,25
1000000,16682,0,20
1000000,16604,0,23
1000000,16882,0,21
1000000,16574,0,21
1000000,16539,0,20
1000000,16635,0,26
1000000,16493,0,26
1000000,16610,0,26
1000000,16565,0,26
