total_shots,num_flagged,num_discarded,num_incorrect
1000000,13170,0,22
1000000,13127,0,30
1000000,13394,0,30
1000000,13211,0,23
1000000,13414,0,23
1000000,13376,0,25
1000000,13097,0,26
1000000,13300,0,26
1000000,13220,0,14
1000000,13302,0,32
1000000,13197,0,21
1000000,13232,0,29
1000000,13205,0,34
1000000,13089,0,26
1000000,13277,0,22
1000000,13346,0,22
1000000,13435,0,27
1000000,13144,0,23
1000000,13294,0,25
1000000,13136,0,19
1000000,13248,0,33
1000000,13368,0,23
1000000,13170,0,29
1000000,13186,0,25
1000000,13312,0,23
1000000,13193,0,35
1000000,13472,0,33
1000000,13331,0,30
1000000,13124,0,30
1000000,13441,0,26
1000000,13349,0,35
1000000,13015,0,27
1000000,13203,0,23
1000000,13250,0,17
1000000,13000,0,17
1000000,13286,0,22
1000000,13137,0,24
1000000,13271,0,32
1000000,13118,0,25
1000000,13218,0,21
1000000,13078,0,22
1000000,13305,0,18
1000000,13222,0,23
1000000,13312,0,17
1000000,13313,0,22
1000000,13436,0,18
1000000,13360,0,27
1000000,13261,0,18
1000000,13343,0,20
1000000,13313,0,31
1000000,13151,0,24
1000000,13201,0,19
1000000,13267,0,41
1000000,13125,0,27
1000000,13243,0,18
1000000,13342,0,16
1000000,13267,0,32
1000000,13120,0,26
1000000,13189,0,24
1000000,13222,0,22
1000000,13162,0,27
1000000,13025,0,26
1000000,13305,0,28
1000000,13289,0,21
1000000,13376,0,22
1000000,13185,0,21
1000000,13496,0,23
1000000,13406,0,34
1000000,13290,0,19
1000000,13265,0,23
1000000,13243,0,25
1000000,13422,0,30
1000000,13128,0,25
1000000,13184,0,23
1000000,13300,0,24
1000000,13448,0,22
1000000,13170,0,31
1000000,13261,0,26
1000000,13186,0,32
1000000,13335,0,22
1000000,13016,0,24
1000000,13238,0,27
1000000,13359,0,18
1000000,13130,0,16
1000000,13113,0,31
1000000,13281,0,30
1000000,13221,0,20
1000000,13299,0,25
1000000,13231,0,20
1000000,13146,0,26
1000000,13170,0,30
1000000,13282,0,21
1000000,13147,0,21
1000000,13196,0,32
1000000,13273,0,29
1000000,13430,0,35
1000000,13177,0,27
1000000,13312,0,23
1000000,13370,0,17
1000000,13271,0,19
