total_shots,num_flagged,num_discarded,num_incorrect
1000000,13034,0,18
1000000,12924,0,28
1000000,13038,0,34
1000000,12998,0,30
1000000,12799,0,30
1000000,12978,0,16
1000000,13050,0,19
1000000,12920,0,18
1000000,12919,0,19
1000000,12859,0,27
1000000,12905,0,19
1000000,12957,0,25
1000000,12805,0,27
1000000,12932,0,23
1000000,13141,0,11
1000000,12824,0,26
1000000,13087,0,31
1000000,13050,0,28
1000000,13256,0,22
1000000,13029,0,26
1000000,12846,0,17
1000000,12858,0,22
1000000,12940,0,31
1000000,12931,0,18
1000000,13005,0,25
1000000,13055,0,32
1000000,12905,0,26
1000000,13166,0,30
1000000,13161,0,28
1000000,12983,0,28
1000000,13058,0,22
1000000,13124,0,29
1000000,13093,0,22
1000000,12867,0,26
1000000,13241,0,18
1000000,12914,0,29
1000000,12953,0,26
1000000,12794,0,25
1000000,12992,0,23
1000000,13058,0,20
1000000,12936,0,25
1000000,12884,0,20
1000000,12924,0,27
1000000,12913,0,26
1000000,12929,0,38
1000000,12986,0,20
1000000,12896,0,17
1000000,13121,0,33
1000000,12888,0,17
1000000,12824,0,25
1000000,13070,0,26
1000000,13031,0,18
1000000,13199,0,24
1000000,13261,0,28
1000000,12982,0,29
1000000,12828,0,23
1000000,12906,0,27
1000000,13038,0,26
1000000,12922,0,33
1000000,13078,0,21
1000000,12901,0,34
1000000,12972,0,33
1000000,12880,0,35
1000000,12996,0,30
1000000,12976,0,29
1000000,12983,0,35
1000000,12845,0,29
1000000,12981,0,31
1000000,12800,0,17
1000000,13274,0,37
1000000,12930,0,31
1000000,12945,0,23
1000000,13052,0,21
1000000,12986,0,31
1000000,12954,0,27
1000000,12977,0,35
1000000,13049,0,29
1000000,12965,0,30
1000000,13144,0,17
1000000,12916,0,27
1000000,13005,0,28
1000000,13041,0,24
1000000,12979,0,17
1000000,12985,0,26
1000000,12800,0,23
1000000,13087,0,23
1000000,12889,0,26
1000000,12741,0,19
1000000,12938,0,20
1000000,12973,0,32
1000000,12826,0,18
1000000,12915,0,26
1000000,13094,0,28
1000000,12881,0,23
1000000,12909,0,30
1000000,12858,0,24
1000000,12897,0,29
1000000,13084,0,20
1000000,12857,0,18
1000000,12890,0,29
1000000,13026,0,27
1000000,12980,0,23
1000000,13037,0,33
1000000,12771,0,27
1000000,13028,0,25
1000000,12765,0,28
1000000,12777,0,25
1000000,12970,0,21
1000000,12969,0,26
1000000,13012,0,34
1000000,12862,0,24
1000000,13068,0,28
1000000,12928,0,17
1000000,12989,0,27
1000000,12988,0,28
1000000,12947,0,30
1000000,12944,0,25
1000000,13026,0,37
1000000,12928,0,28
1000000,12986,0,24
1000000,12969,0,31
1000000,13042,0,20
1000000,13019,0,27
1000000,12834,0,28
1000000,13061,0,33
1000000,12994,0,27
1000000,12948,0,21
1000000,12938,0,32
1000000,12980,0,19
1000000,12925,0,29
1000000,12890,0,29
1000000,12921,0,25
1000000,12770,0,24
1000000,12989,0,20
1000000,12959,0,35
1000000,12906,0,16
1000000,12907,0,22
1000000,12913,0,16
1000000,12911,0,29
1000000,13114,0,27
1000000,13100,0,26
1000000,13017,0,30
1000000,12819,0,29
1000000,13067,0,31
1000000,12834,0,16
1000000,12966,0,30
1000000,12968,0,26
1000000,12753,0,23
1000000,12875,0,24
1000000,12832,0,21
