total_shots,num_flagged,num_discarded,num_incorrect
1000000,16858,0,28
1000000,16713,0,27
1000000,16838,0,21
1000000,16916,0,25
1000000,16808,0,22
1000000,16983,0,29
1000000,17112,0,22
1000000,16698,0,23
1000000,16899,0,26
1000000,16803,0,33
1000000,16916,0,29
1000000,16682,0,22
1000000,16789,0,19
1000000,16836,0,30
1000000,16879,0,21
1000000,16681,0,16
1000000,17044,0,28
1000000,16847,0,23
1000000,16640,0,25
1000000,16754,0,20
1000000,16828,0,26
1000000,17038,0,30
1000000,16925,0,18
1000000,16855,0,29
1000000,16929,0,28
1000000,17025,0,23
1000000,16784,0,25
1000000,16968,0,22
1000000,17077,0,29
1000000,16719,0,18
1000000,16774,0,23
1000000,16590,0,22
1000000,16902,0,21
1000000,16756,0,21
1000000,17096,0,24
1000000,16899,0,32
1000000,16684,0,30
1000000,16730,0,17
1000000,17013,0,25
1000000,16779,0,16
1000000,16792,0,16
1000000,16993,0,20
1000000,16723,0,29
1000000,16931,0,17
1000000,17098,0,27
1000000,17034,0,23
1000000,16869,0,19
1000000,17019,0,20
1000000,16917,0,16
1000000,17030,0,29
