total_shots,num_flagged,num_discarded,num_incorrect
1000000,12862,0,27
1000000,12926,0,19
1000000,13089,0,28
1000000,13129,0,19
1000000,12767,0,31
1000000,12910,0,32
1000000,12966,0,17
1000000,12876,0,19
1000000,12936,0,24
1000000,13031,0,17
1000000,12930,0,22
1000000,12833,0,28
1000000,12809,0,15
1000000,12871,0,28
1000000,13011,0,23
1000000,12920,0,36
1000000,12911,0,23
1000000,12982,0,22
1000000,12919,0,20
1000000,12820,0,21
1000000,13059,0,27
1000000,12921,0,27
1000000,12991,0,25
1000000,13005,0,27
1000000,12903,0,29
1000000,12949,0,31
1000000,12879,0,30
1000000,12948,0,23
1000000,12969,0,28
1000000,12727,0,24
1000000,12985,0,21
1000000,12933,0,19
1000000,13087,0,39
1000000,12854,0,26
1000000,12969,0,23
1000000,13006,0,19
1000000,12983,0,33
1000000,13081,0,37
1000000,12994,0,26
1000000,12953,0,25
1000000,13088,0,37
1000000,13092,0,24
1000000,13016,0,30
1000000,12883,0,36
1000000,13094,0,32
1000000,13073,0,32
1000000,12966,0,19
1000000,12885,0,33
1000000,13045,0,28
1000000,13005,0,33
1000000,12896,0,29
1000000,12802,0,31
1000000,12947,0,29
1000000,13021,0,21
1000000,13157,0,26
1000000,13030,0,22
1000000,12794,0,30
1000000,13036,0,14
1000000,12816,0,30
1000000,12920,0,26
1000000,12941,0,13
1000000,13150,0,29
1000000,12863,0,24
1000000,12961,0,22
1000000,12862,0,33
1000000,12812,0,23
1000000,13113,0,20
1000000,12973,0,26
1000000,12895,0,19
1000000,12962,0,24
1000000,12981,0,35
1000000,13070,0,31
1000000,12863,0,22
1000000,12924,0,29
1000000,12833,0,37
1000000,12837,0,25
1000000,12894,0,27
1000000,12823,0,28
1000000,12979,0,26
1000000,12899,0,22
1000000,12913,0,23
1000000,12859,0,23
1000000,13028,0,33
1000000,12930,0,25
1000000,13170,0,25
1000000,12935,0,22
1000000,13045,0,33
1000000,12792,0,18
1000000,13027,0,26
1000000,13072,0,23
1000000,13025,0,29
1000000,13061,0,27
1000000,12942,0,20
1000000,13056,0,29
1000000,12961,0,17
1000000,12974,0,26
1000000,12889,0,34
1000000,13092,0,21
1000000,12914,0,29
1000000,12976,0,25
1000000,13109,0,19
1000000,12932,0,28
1000000,12837,0,17
1000000,13004,0,29
1000000,13108,0,23
1000000,12850,0,36
1000000,12915,0,20
1000000,12872,0,27
1000000,12909,0,23
1000000,12959,0,23
1000000,12997,0,22
1000000,12952,0,29
1000000,12975,0,22
1000000,12859,0,28
1000000,12734,0,12
1000000,12999,0,22
1000000,13026,0,18
1000000,13037,0,29
1000000,12982,0,27
1000000,13103,0,25
1000000,13043,0,21
1000000,12942,0,29
1000000,12805,0,19
1000000,12842,0,27
1000000,12967,0,29
1000000,12948,0,29
1000000,13055,0,27
1000000,12810,0,23
1000000,12869,0,23
1000000,12893,0,26
1000000,13189,0,24
1000000,13035,0,23
1000000,12973,0,33
1000000,12805,0,27
1000000,13134,0,23
1000000,12897,0,29
1000000,13019,0,29
1000000,13189,0,9
1000000,12815,0,17
1000000,12982,0,25
1000000,12911,0,30
1000000,12893,0,40
1000000,13051,0,19
1000000,12941,0,24
1000000,13027,0,21
1000000,13016,0,26
1000000,13140,0,20
1000000,12761,0,20
1000000,13015,0,32
1000000,12913,0,24
