total_shots,num_flagged,num_discarded,num_incorrect
1000000,12984,0,29
1000000,13142,0,21
1000000,13149,0,19
1000000,13167,0,25
1000000,13190,0,28
1000000,13108,0,23
1000000,13316,0,38
1000000,13229,0,26
1000000,13090,0,22
1000000,13072,0,25
1000000,13327,0,22
1000000,13217,0,36
1000000,13007,0,17
1000000,13198,0,12
1000000,13322,0,25
1000000,13035,0,29
1000000,13226,0,26
1000000,13014,0,32
1000000,13185,0,31
1000000,13334,0,25
1000000,13139,0,24
1000000,13202,0,23
1000000,13314,0,17
1000000,13308,0,25
1000000,13201,0,26
1000000,13090,0,25
1000000,13160,0,21
1000000,13153,0,15
1000000,13298,0,29
1000000,13097,0,19
1000000,13196,0,28
1000000,13018,0,22
1000000,13349,0,20
1000000,13401,0,25
1000000,13194,0,20
1000000,13136,0,24
1000000,13198,0,20
1000000,13126,0,31
1000000,13241,0,31
1000000,13327,0,24
1000000,13012,0,21
1000000,13378,0,26
1000000,13226,0,24
1000000,13281,0,18
1000000,13253,0,18
1000000,13062,0,33
1000000,13056,0,26
1000000,13212,0,29
1000000,13236,0,19
1000000,13405,0,22
1000000,13161,0,31
1000000,13158,0,24
1000000,13306,0,21
1000000,12950,0,20
1000000,13218,0,25
1000000,13270,0,13
1000000,13050,0,32
1000000,13226,0,27
1000000,13020,0,28
1000000,12998,0,19
1000000,13229,0,24
1000000,13226,0,15
1000000,13077,0,24
1000000,13235,0,26
1000000,13048,0,30
1000000,13238,0,29
1000000,13193,0,19
1000000,13173,0,19
1000000,13187,0,11
1000000,13398,0,24
1000000,13121,0,18
1000000,13170,0,25
1000000,13303,0,43
1000000,13120,0,13
1000000,13216,0,24
1000000,13300,0,28
1000000,13334,0,29
1000000,13152,0,26
1000000,13307,0,19
1000000,13330,0,33
1000000,13282,0,16
1000000,12992,0,26
1000000,13266,0,20
1000000,13093,0,18
1000000,13370,0,36
1000000,13042,0,28
1000000,13321,0,16
1000000,13254,0,25
1000000,13238,0,23
1000000,13271,0,17
1000000,13252,0,15
1000000,13166,0,23
1000000,13163,0,18
1000000,13033,0,33
1000000,13365,0,22
1000000,13382,0,30
1000000,13488,0,17
1000000,13088,0,27
1000000,13153,0,21
1000000,13159,0,15
