total_shots,num_flagged,num_discarded,num_incorrect
1000000,17146,0,21
1000000,17031,0,33
1000000,17033,0,24
1000000,17072,0,19
1000000,16846,0,19
1000000,17036,0,33
1000000,17026,0,21
1000000,17110,0,17
1000000,17168,0,23
1000000,16661,0,27
1000000,17075,0,21
1000000,17098,0,29
1000000,17107,0,25
1000000,16952,0,26
1000000,16911,0,18
1000000,17021,0,27
1000000,16765,0,33
1000000,17024,0,26
1000000,17063,0,12
1000000,16776,0,28
1000000,17004,0,21
1000000,16834,0,19
1000000,16916,0,28
1000000,16918,0,25
1000000,16780,0,18
1000000,16643,0,24
1000000,16934,0,15
1000000,16855,0,31
1000000,16850,0,27
1000000,16761,0,23
1000000,16846,0,18
1000000,16825,0,24
1000000,16891,0,22
1000000,16881,0,21
1000000,16898,0,22
1000000,17036,0,25
1000000,16945,0,22
1000000,16995,0,22
1000000,16748,0,35
1000000,16947,0,31
1000000,16934,0,27
1000000,17091,0,28
1000000,17090,0,27
1000000,16904,0,31
1000000,16946,0,22
1000000,16847,0,12
1000000,16942,0,19
1000000,17010,0,18
1000000,16624,0,33
1000000,16894,0,23
1000000,16998,0,26
1000000,17116,0,22
1000000,16887,0,25
1000000,16752,0,15
1000000,16742,0,25
1000000,16846,0,26
1000000,17017,0,23
1000000,16914,0,15
1000000,16872,0,16
1000000,17033,0,23
1000000,16976,0,16
1000000,16856,0,23
1000000,16834,0,25
1000000,16872,0,21
1000000,16800,0,21
1000000,16970,0,26
1000000,17095,0,27
1000000,17053,0,19
1000000,16830,0,32
1000000,16952,0,26
1000000,16997,0,17
1000000,16713,0,23
1000000,16742,0,32
1000000,17050,0,29
1000000,17110,0,26
1000000,16996,0,16
1000000,16924,0,29
1000000,16960,0,25
1000000,17060,0,21
1000000,16909,0,19
1000000,16868,0,30
1000000,16814,0,16
1000000,16994,0,14
1000000,17045,0,27
1000000,16806,0,33
1000000,16945,0,26
1000000,16874,0,24
1000000,17164,0,20
1000000,16993,0,18
1000000,16963,0,27
1000000,16715,0,22
1000000,16913,0,22
1000000,16818,0,28
1000000,17003,0,29
1000000,16791,0,23
1000000,16936,0,24
1000000,16894,0,21
1000000,16954,0,29
1000000,17038,0,20
1000000,16864,0,16
1000000,16812,0,18
1000000,17187,0,16
1000000,16955,0,26
1000000,17045,0,33
1000000,16811,0,24
1000000,16711,0,34
1000000,16971,0,18
1000000,16704,0,21
1000000,16836,0,21
1000000,16814,0,22
1000000,17071,0,22
1000000,16838,0,34
1000000,17165,0,27
1000000,16975,0,19
1000000,16792,0,27
1000000,16894,0,25
1000000,17043,0,27
1000000,16896,0,25
1000000,16865,0,26
1000000,16974,0,23
1000000,17074,0,27
1000000,17153,0,29
1000000,16745,0,21
1000000,17066,0,27
1000000,16828,0,17
1000000,16894,0,20
1000000,16945,0,24
1000000,16720,0,24
1000000,16785,0,20
1000000,16989,0,25
1000000,17061,0,26
1000000,16976,0,25
1000000,17055,0,33
1000000,16711,0,38
1000000,16933,0,23
1000000,16633,0,25
1000000,17132,0,36
1000000,16891,0,23
1000000,16949,0,21
1000000,16932,0,26
1000000,16716,0,23
1000000,16823,0,31
1000000,16767,0,16
1000000,16866,0,24
1000000,16699,0,28
1000000,16891,0,24
1000000,17022,0,25
1000000,16909,0,20
1000000,16818,0,29
1000000,16799,0,11
1000000,16898,0,20
1000000,17107,0,23
1000000,16972,0,19
1000000,16941,0,27
1000000,16764,0,26
1000000,16933,0,17
1000000,16785,0,27
1000000,16719,0,29
