total_shots,num_flagged,num_discarded,num_incorrect
1000000,16787,0,26
1000000,16363,0,23
1000000,16596,0,24
1000000,16492,0,20
1000000,16573,0,29
1000000,16661,0,20
1000000,16734,0,23
1000000,16809,0,26
1000000,16551,0,33
1000000,16702,0,19
1000000,16559,0,22
1000000,16693,0,25
1000000,16738,0,27
1000000,16682,0,34
1000000,16408,0,34
1000000,16736,0,24
1000000,16582,0,24
1000000,16637,0,26
1000000,16801,0,18
1000000,16755,0,21
1000000,16712,0,35
1000000,16482,0,30
1000000,16621,0,23
1000000,16688,0,27
1000000,16626,0,29
1000000,16379,0,25
1000000,16713,0,28
1000000,16483,0,24
1000000,16646,0,27
1000000,16670,0,17
1000000,16661,0,25
1000000,16686,0,23
1000000,16799,0,19
1000000,16756,0,26
1000000,16555,0,28
1000000,16661,0,18
1000000,16512,0,17
1000000,16571,0,23
1000000,16672,0,21
1000000,16671,0,27
1000000,16808,0,16
1000000,16519,0,21
1000000,16623,0,29
1000000,16570,0,22
1000000,16885,0,22
1000000,16721,0,31
1000000,16681,0,21
1000000,16437,0,20
1000000,16494,0,19
1000000,16532,0,25
