total_shots,num_flagged,num_discarded,num_incorrect
1000000,12972,0,20
1000000,13229,0,25
1000000,13257,0,23
1000000,13223,0,18
1000000,13330,0,21
1000000,13349,0,16
1000000,13298,0,25
1000000,13257,0,26
1000000,13359,0,17
1000000,13268,0,25
1000000,13170,0,22
1000000,13076,0,30
1000000,13333,0,31
1000000,13285,0,25
1000000,13053,0,23
1000000,13193,0,28
1000000,13252,0,27
1000000,13375,0,27
1000000,13293,0,22
1000000,13172,0,30
1000000,13209,0,32
1000000,13201,0,20
1000000,13305,0,26
1000000,13179,0,17
1000000,13285,0,24
1000000,13232,0,21
1000000,13531,0,23
1000000,13231,0,17
1000000,13230,0,22
1000000,13189,0,24
1000000,13252,0,21
1000000,13419,0,31
1000000,13422,0,30
1000000,13177,0,18
1000000,13303,0,30
1000000,13342,0,23
1000000,13398,0,29
1000000,13547,0,19
1000000,13286,0,23
1000000,13290,0,25
1000000,13319,0,28
1000000,13053,0,17
1000000,13328,0,28
1000000,13283,0,27
1000000,13170,0,28
1000000,13219,0,21
1000000,13404,0,24
1000000,13029,0,29
1000000,13270,0,19
1000000,13065,0,24
1000000,13114,0,35
1000000,13133,0,18
1000000,13091,0,20
1000000,12911,0,24
1000000,13219,0,18
1000000,13220,0,23
1000000,13539,0,33
1000000,13330,0,30
1000000,13315,0,28
1000000,13099,0,26
1000000,13227,0,26
1000000,13263,0,18
1000000,13176,0,26
1000000,13332,0,25
1000000,13327,0,14
1000000,13298,0,17
1000000,13142,0,19
1000000,13312,0,25
1000000,13088,0,22
1000000,13329,0,16
1000000,13281,0,27
1000000,13289,0,22
1000000,13281,0,24
1000000,13427,0,20
1000000,13195,0,27
1000000,13218,0,31
1000000,13225,0,23
1000000,12970,0,26
1000000,13350,0,28
1000000,13240,0,25
1000000,13502,0,19
1000000,13193,0,21
1000000,13334,0,17
1000000,13363,0,26
1000000,13315,0,26
1000000,13358,0,31
1000000,13357,0,18
1000000,13209,0,31
1000000,13166,0,25
1000000,13104,0,26
1000000,13170,0,24
1000000,13125,0,33
1000000,13006,0,21
1000000,13270,0,23
1000000,13256,0,28
1000000,12970,0,27
1000000,13253,0,24
1000000,13368,0,14
1000000,13077,0,24
1000000,13189,0,22
