total_shots,num_flagged,num_discarded,num_incorrect
1000000,16899,0,30
1000000,16787,0,18
1000000,16838,0,25
1000000,17068,0,24
1000000,16844,0,26
1000000,16783,0,23
1000000,16962,0,26
1000000,16816,0,25
1000000,16840,0,23
1000000,16759,0,23
1000000,16932,0,19
1000000,16845,0,27
1000000,17056,0,22
1000000,16981,0,19
1000000,17053,0,38
1000000,16986,0,17
1000000,16925,0,24
1000000,16812,0,31
1000000,16806,0,28
1000000,16789,0,22
1000000,17059,0,29
1000000,16923,0,25
1000000,16781,0,31
1000000,16792,0,32
1000000,16905,0,21
1000000,16850,0,29
1000000,16855,0,24
1000000,16907,0,19
1000000,16745,0,22
1000000,16955,0,34
1000000,17026,0,19
1000000,17019,0,30
1000000,16993,0,22
1000000,16866,0,26
1000000,16829,0,20
1000000,17036,0,15
1000000,16886,0,27
1000000,17075,0,27
1000000,17093,0,28
1000000,16936,0,33
1000000,17037,0,31
1000000,16914,0,23
1000000,16890,0,17
1000000,17018,0,21
1000000,16832,0,15
1000000,17009,0,23
1000000,16781,0,29
1000000,16737,0,23
1000000,17029,0,19
1000000,16736,0,27
