total_shots,num_flagged,num_discarded,num_incorrect
1000000,16670,0,23
1000000,16684,0,30
1000000,16672,0,23
1000000,16877,0,25
1000000,16851,0,19
1000000,16736,0,29
1000000,16743,0,15
1000000,16509,0,34
1000000,17004,0,27
1000000,16642,0,20
1000000,16697,0,22
1000000,16819,0,30
1000000,16772,0,30
1000000,16471,0,19
1000000,16872,0,27
1000000,16797,0,21
1000000,16860,0,24
1000000,16670,0,26
1000000,16881,0,29
1000000,16768,0,21
1000000,16634,0,33
1000000,16843,0,22
1000000,16798,0,26
1000000,16755,0,22
1000000,17043,0,30
1000000,16770,0,27
1000000,16824,0,21
1000000,16781,0,26
1000000,16767,0,28
1000000,17060,0,19
1000000,16596,0,19
1000000,16565,0,25
1000000,16460,0,27
1000000,17024,0,17
1000000,16723,0,23
1000000,16663,0,22
1000000,16966,0,29
1000000,16747,0,30
1000000,16477,0,26
1000000,16738,0,22
1000000,16562,0,20
1000000,16667,0,22
1000000,16773,0,25
1000000,16616,0,20
1000000,16753,0,27
1000000,16823,0,23
1000000,16581,0,39
1000000,16803,0,25
1000000,16825,0,20
1000000,16934,0,32
1000000,16836,0,26
1000000,16799,0,28
1000000,16820,0,32
1000000,16953,0,19
1000000,16599,0,25
1000000,16695,0,28
1000000,16826,0,28
1000000,16754,0,36
1000000,16807,0,20
1000000,16807,0,28
1000000,16979,0,20
1000000,16805,0,27
1000000,16735,0,31
1000000,16667,0,35
1000000,16694,0,28
1000000,16969,0,19
1000000,16773,0,22
1000000,16806,0,19
1000000,16315,0,22
1000000,16838,0,20
1000000,16547,0,25
1000000,16655,0,19
1000000,16628,0,33
1000000,16647,0,28
1000000,16651,0,19
1000000,16728,0,33
1000000,16650,0,27
1000000,16496,0,20
1000000,16788,0,25
1000000,16688,0,22
1000000,16635,0,33
1000000,16586,0,26
1000000,16751,0,16
1000000,16698,0,33
1000000,16652,0,27
1000000,17000,0,20
1000000,16929,0,21
1000000,16763,0,24
1000000,16853,0,25
1000000,17035,0,20
1000000,16978,0,30
1000000,16679,0,23
1000000,16457,0,23
1000000,16528,0,29
1000000,16780,0,32
1000000,16876,0,27
1000000,16756,0,35
1000000,16746,0,30
1000000,16703,0,27
1000000,17053,0,23
1000000,16549,0,18
1000000,16726,0,38
1000000,16628,0,28
1000000,16443,0,27
1000000,16898,0,25
1000000,16707,0,35
1000000,16754,0,29
1000000,16667,0,17
1000000,16741,0,28
1000000,16599,0,21
1000000,16606,0,25
1000000,16675,0,24
1000000,16594,0,21
1000000,16603,0,22
1000000,16423,0,17
1000000,16679,0,20
1000000,16675,0,24
1000000,16654,0,18
1000000,16900,0,18
1000000,16613,0,29
1000000,16869,0,31
1000000,16692,0,25
1000000,16895,0,25
1000000,16599,0,21
1000000,16794,0,22
1000000,16707,0,24
1000000,16634,0,21
1000000,16623,0,20
1000000,16745,0,20
1000000,16789,0,22
1000000,16633,0,27
1000000,16774,0,26
1000000,16830,0,32
1000000,16481,0,20
1000000,16648,0,15
1000000,16735,0,24
1000000,16595,0,17
1000000,16765,0,34
1000000,16767,0,22
1000000,16617,0,21
1000000,16760,0,18
1000000,16603,0,33
1000000,16903,0,24
1000000,16877,0,30
1000000,16863,0,21
1000000,16841,0,26
1000000,16720,0,26
1000000,16839,0,21
1000000,16951,0,22
1000000,16688,0,17
1000000,16701,0,25
1000000,16736,0,15
1000000,16804,0,18
1000000,16623,0,24
1000000,16583,0,19
1000000,16903,0,29
1000000,16731,0,18
1000000,16716,0,15
1000000,16527,0,24
1000000,16862,0,25
1000000,16751,0,31
1000000,16825,0,31
1000000,16893,0,23
1000000,16684,0,23
1000000,16832,0,27
1000000,16751,0,19
1000000,16758,0,26
1000000,16530,0,24
1000000,16591,0,16
1000000,16743,0,30
1000000,16974,0,25
1000000,16750,0,26
1000000,16892,0,19
1000000,16414,0,26
1000000,16797,0,31
1000000,16867,0,21
1000000,16610,0,15
1000000,16885,0,20
1000000,16609,0,33
1000000,16626,0,31
1000000,16780,0,28
1000000,16654,0,21
1000000,16808,0,24
1000000,16792,0,25
1000000,16677,0,21
1000000,16700,0,32
1000000,16576,0,25
1000000,16807,0,26
1000000,16689,0,30
1000000,16659,0,15
1000000,16774,0,16
1000000,16611,0,18
1000000,16766,0,24
1000000,16792,0,26
1000000,16706,0,14
1000000,16967,0,24
1000000,16719,0,29
1000000,16671,0,27
1000000,16792,0,29
1000000,16872,0,15
1000000,16759,0,29
1000000,16727,0,21
1000000,16546,0,25
1000000,16839,0,31
1000000,16617,0,25
1000000,16609,0,12
1000000,16733,0,28
1000000,16693,0,24
1000000,16743,0,34
1000000,16865,0,24
1000000,16821,0,22
1000000,16689,0,26
1000000,16727,0,25
1000000,16800,0,16
1000000,16696,0,20
