total_shots,num_flagged,num_discarded,num_incorrect
1000000,16801,0,22
1000000,16882,0,29
1000000,16882,0,19
1000000,16847,0,19
1000000,16988,0,28
1000000,16975,0,25
1000000,17007,0,22
1000000,16763,0,25
1000000,17087,0,24
1000000,17130,0,18
1000000,16947,0,13
1000000,16962,0,24
1000000,16830,0,26
1000000,16858,0,26
1000000,17050,0,25
1000000,16902,0,27
1000000,16731,0,25
1000000,16958,0,30
1000000,17042,0,27
1000000,16727,0,28
1000000,17181,0,20
1000000,17071,0,15
1000000,16994,0,30
1000000,16922,0,30
1000000,16993,0,28
1000000,16791,0,29
1000000,16985,0,31
1000000,16856,0,24
1000000,16906,0,29
1000000,16890,0,30
1000000,16804,0,22
1000000,16989,0,23
1000000,16938,0,19
1000000,17005,0,25
1000000,17244,0,24
1000000,16802,0,27
1000000,16811,0,30
1000000,16989,0,14
1000000,17102,0,22
1000000,16985,0,22
1000000,17041,0,15
1000000,16788,0,29
1000000,16770,0,26
1000000,16721,0,16
1000000,16969,0,27
1000000,16735,0,26
1000000,16910,0,26
1000000,17048,0,26
1000000,16922,0,20
1000000,16999,0,23
1000000,16803,0,33
1000000,16783,0,17
1000000,17036,0,18
1000000,16908,0,24
1000000,16815,0,36
1000000,17043,0,17
1000000,16896,0,19
1000000,16935,0,22
1000000,17035,0,26
1000000,17038,0,24
1000000,17203,0,29
1000000,16953,0,23
1000000,16805,0,27
1000000,16698,0,18
1000000,16913,0,26
1000000,17014,0,25
1000000,16939,0,28
1000000,16940,0,22
1000000,16934,0,20
1000000,16950,0,26
1000000,16723,0,31
1000000,17165,0,24
1000000,17038,0,26
1000000,16732,0,25
1000000,16732,0,27
1000000,16947,0,27
1000000,17041,0,18
1000000,17317,0,25
1000000,16743,0,16
1000000,16863,0,18
1000000,16896,0,24
1000000,16786,0,25
1000000,17011,0,31
1000000,16988,0,18
1000000,16826,0,27
1000000,16794,0,27
1000000,16788,0,26
1000000,16958,0,28
1000000,16788,0,22
1000000,16880,0,23
1000000,16922,0,24
1000000,16972,0,24
1000000,16931,0,24
1000000,16655,0,17
1000000,16818,0,21
1000000,16955,0,23
1000000,16974,0,26
1000000,16924,0,17
1000000,17240,0,25
1000000,16773,0,21
1000000,16975,0,17
1000000,16918,0,25
1000000,16800,0,22
1000000,16854,0,30
1000000,17059,0,18
1000000,17018,0,37
1000000,16881,0,22
1000000,16965,0,27
1000000,16987,0,20
1000000,17049,0,29
1000000,16863,0,21
1000000,16945,0,18
1000000,17068,0,31
1000000,16985,0,27
1000000,17086,0,30
1000000,16881,0,20
1000000,16979,0,27
1000000,16936,0,30
1000000,16849,0,37
1000000,16981,0,22
1000000,16615,0,23
1000000,16998,0,26
1000000,16929,0,21
1000000,16988,0,26
1000000,17063,0,24
1000000,16839,0,23
1000000,16820,0,22
1000000,17148,0,25
1000000,17097,0,30
1000000,16935,0,24
1000000,16929,0,23
1000000,16705,0,31
1000000,16976,0,34
1000000,16999,0,18
1000000,17001,0,28
1000000,16878,0,21
1000000,16878,0,30
1000000,16847,0,24
1000000,16838,0,24
1000000,16835,0,22
1000000,16863,0,18
1000000,17032,0,21
1000000,17028,0,39
1000000,16878,0,21
1000000,16770,0,30
1000000,17154,0,23
1000000,16930,0,22
1000000,16855,0,31
1000000,17050,0,24
1000000,16990,0,21
1000000,16927,0,26
1000000,17103,0,25
1000000,16769,0,12
1000000,16883,0,23
1000000,17058,0,25
1000000,16869,0,24
1000000,17007,0,22
1000000,16768,0,23
1000000,16662,0,19
1000000,16971,0,31
1000000,16816,0,18
1000000,16758,0,23
1000000,17012,0,28
1000000,16792,0,21
1000000,16918,0,20
1000000,16994,0,22
1000000,17182,0,20
1000000,16991,0,23
1000000,17011,0,19
1000000,16887,0,26
1000000,16741,0,22
1000000,16843,0,30
1000000,16976,0,20
1000000,17199,0,22
1000000,16872,0,23
1000000,16851,0,40
1000000,16893,0,23
1000000,17041,0,21
1000000,16952,0,28
1000000,17034,0,20
1000000,16867,0,27
1000000,17071,0,25
1000000,16731,0,16
1000000,17029,0,28
1000000,16933,0,33
1000000,17206,0,26
1000000,16912,0,24
1000000,16910,0,24
1000000,16994,0,24
1000000,16996,0,15
1000000,16619,0,32
1000000,16939,0,29
1000000,16781,0,22
1000000,16817,0,22
1000000,17033,0,29
1000000,16868,0,24
1000000,16896,0,30
1000000,17354,0,19
1000000,16886,0,20
1000000,17193,0,33
1000000,17115,0,24
1000000,16827,0,24
1000000,16925,0,23
1000000,16722,0,19
1000000,16969,0,25
1000000,16830,0,24
1000000,17058,0,24
1000000,16556,0,33
1000000,16864,0,20
1000000,17040,0,30
1000000,17100,0,19
1000000,16842,0,26
1000000,16863,0,20
1000000,17007,0,21
1000000,17037,0,22
1000000,16978,0,16
1000000,16943,0,44
1000000,17137,0,18
1000000,16955,0,22
1000000,16858,0,28
1000000,17113,0,28
1000000,16930,0,21
1000000,16721,0,24
1000000,16878,0,25
1000000,16978,0,24
1000000,17052,0,35
1000000,16830,0,24
1000000,17121,0,21
1000000,17169,0,26
1000000,16933,0,24
1000000,17103,0,29
1000000,16873,0,26
1000000,16959,0,33
1000000,16716,0,25
1000000,17089,0,22
1000000,17035,0,26
1000000,16940,0,21
1000000,16826,0,21
1000000,16743,0,34
1000000,16884,0,23
1000000,16999,0,32
1000000,16846,0,29
1000000,16862,0,24
1000000,17071,0,25
1000000,16804,0,28
1000000,16872,0,19
1000000,16725,0,34
1000000,16941,0,27
1000000,16805,0,21
1000000,16954,0,20
1000000,17092,0,24
1000000,17044,0,32
1000000,17168,0,22
1000000,17098,0,23
1000000,16829,0,23
1000000,16933,0,22
1000000,17055,0,28
1000000,16906,0,27
1000000,16777,0,18
1000000,16879,0,23
1000000,16868,0,19
1000000,16987,0,23
1000000,17103,0,16
1000000,16937,0,29
1000000,16926,0,29
1000000,16828,0,23
1000000,16884,0,20
1000000,16886,0,27
1000000,17053,0,17
1000000,16928,0,34
1000000,16995,0,24
1000000,16913,0,23
1000000,16837,0,19
1000000,16978,0,24
1000000,16826,0,23
1000000,16699,0,17
1000000,17046,0,19
