total_shots,num_flagged,num_discarded,num_incorrect
1000000,8587,0,16
1000000,8704,0,18
1000000,8613,0,27
1000000,8749,0,13
1000000,8552,0,5
1000000,8706,0,22
1000000,8632,0,12
1000000,8691,0,13
1000000,8638,0,16
1000000,8626,0,15
1000000,8393,0,17
1000000,8622,0,20
1000000,8643,0,17
1000000,8637,0,21
1000000,8694,0,12
1000000,8642,0,14
1000000,8550,0,25
1000000,8534,0,16
1000000,8722,0,16
1000000,8762,0,18
1000000,8603,0,15
1000000,8556,0,12
1000000,8692,0,14
1000000,8585,0,17
1000000,8691,0,18
1000000,8494,0,8
1000000,8539,0,8
1000000,8687,0,25
1000000,8630,0,16
1000000,8726,0,24
1000000,8664,0,15
1000000,8452,0,22
1000000,8562,0,15
1000000,8749,0,9
1000000,8313,0,24
1000000,8628,0,17
1000000,8542,0,17
1000000,8647,0,15
1000000,8795,0,20
1000000,8596,0,21
1000000,8801,0,19
1000000,8693,0,12
1000000,8642,0,11
1000000,8515,0,14
1000000,8489,0,16
1000000,8561,0,20
1000000,8664,0,10
1000000,8688,0,16
1000000,8670,0,18
1000000,8730,0,13
1000000,8580,0,11
1000000,8737,0,19
1000000,8708,0,16
1000000,8442,0,14
1000000,8772,0,18
1000000,8548,0,19
1000000,8795,0,16
1000000,8686,0,17
1000000,8561,0,13
1000000,8680,0,24
1000000,8710,0,14
1000000,8744,0,14
1000000,8598,0,24
1000000,8732,0,12
1000000,8712,0,21
1000000,8620,0,21
1000000,8599,0,18
1000000,8635,0,17
1000000,8588,0,15
1000000,8593,0,20
1000000,8631,0,16
1000000,8815,0,23
1000000,8588,0,13
1000000,8710,0,14
1000000,8503,0,19
1000000,8769,0,13
1000000,8599,0,14
1000000,8603,0,18
1000000,8619,0,23
1000000,8495,0,19
1000000,8584,0,18
1000000,8700,0,17
1000000,8639,0,22
1000000,8594,0,19
1000000,8588,0,17
1000000,8680,0,11
1000000,8775,0,19
1000000,8646,0,14
1000000,8688,0,16
1000000,8527,0,11
1000000,8696,0,21
1000000,8790,0,23
1000000,8625,0,13
1000000,8646,0,13
1000000,8616,0,16
1000000,8682,0,22
1000000,8593,0,13
1000000,8597,0,17
1000000,8661,0,20
1000000,8733,0,15
1000000,8631,0,7
1000000,8535,0,15
1000000,8621,0,20
1000000,8802,0,15
1000000,8690,0,12
1000000,8508,0,10
1000000,8727,0,19
1000000,8739,0,17
1000000,8658,0,11
1000000,8559,0,17
1000000,8550,0,11
1000000,8566,0,15
1000000,8818,0,17
1000000,8717,0,21
1000000,8737,0,19
1000000,8509,0,11
1000000,8547,0,13
1000000,8634,0,15
1000000,8588,0,20
1000000,8565,0,24
1000000,8664,0,16
1000000,8624,0,15
1000000,8718,0,17
1000000,8711,0,13
1000000,8695,0,13
1000000,8486,0,18
1000000,8696,0,20
1000000,8750,0,12
1000000,8525,0,18
1000000,8760,0,12
1000000,8680,0,12
1000000,8793,0,19
1000000,8580,0,21
1000000,8652,0,17
1000000,8640,0,15
1000000,8534,0,16
1000000,8647,0,20
1000000,8478,0,14
1000000,8765,0,29
1000000,8700,0,22
1000000,8454,0,14
1000000,8714,0,24
1000000,8572,0,16
1000000,8619,0,14
1000000,8584,0,17
1000000,8695,0,16
1000000,8417,0,20
1000000,8647,0,14
1000000,8580,0,21
1000000,8661,0,14
1000000,8758,0,18
1000000,8652,0,19
1000000,8625,0,14
1000000,8729,0,20
1000000,8707,0,26
1000000,8512,0,10
1000000,8686,0,19
1000000,8724,0,18
1000000,8950,0,14
1000000,8745,0,18
1000000,8720,0,22
1000000,8626,0,21
1000000,8637,0,13
1000000,8424,0,17
1000000,8682,0,15
1000000,8528,0,19
1000000,8535,0,21
1000000,8608,0,17
1000000,8856,0,14
1000000,8590,0,12
1000000,8691,0,21
1000000,8777,0,15
1000000,8554,0,12
1000000,8509,0,16
1000000,8746,0,21
1000000,8706,0,11
1000000,8630,0,20
1000000,8655,0,17
1000000,8714,0,18
1000000,8645,0,21
1000000,8739,0,13
1000000,8763,0,15
1000000,8428,0,13
1000000,8542,0,13
1000000,8536,0,24
1000000,8755,0,19
1000000,8541,0,16
1000000,8632,0,14
1000000,8591,0,16
1000000,8840,0,17
1000000,8728,0,16
1000000,8713,0,23
1000000,8653,0,20
1000000,8675,0,19
1000000,8529,0,13
1000000,8511,0,19
1000000,8757,0,21
1000000,8806,0,16
1000000,8507,0,26
1000000,8626,0,21
1000000,8704,0,15
1000000,8811,0,15
1000000,8703,0,16
1000000,8740,0,15
1000000,8728,0,16
1000000,8705,0,18
1000000,8705,0,16
1000000,8832,0,11
1000000,8574,0,14
1000000,8586,0,12
1000000,8464,0,14
1000000,8672,0,18
1000000,8699,0,22
1000000,8752,0,14
1000000,8649,0,13
1000000,8637,0,24
1000000,8539,0,10
1000000,8757,0,17
1000000,8529,0,17
1000000,8733,0,18
1000000,8634,0,18
1000000,8668,0,23
1000000,8666,0,20
1000000,8634,0,16
1000000,8837,0,12
1000000,8760,0,20
1000000,8658,0,20
1000000,8606,0,23
1000000,8734,0,17
1000000,8538,0,17
1000000,8790,0,20
1000000,8884,0,17
1000000,8658,0,15
1000000,8649,0,12
1000000,8535,0,15
1000000,8747,0,14
1000000,8538,0,19
1000000,8602,0,20
1000000,8475,0,20
1000000,8560,0,10
1000000,8621,0,21
1000000,8533,0,19
1000000,8650,0,17
1000000,8635,0,17
1000000,8697,0,20
1000000,8807,0,20
1000000,8544,0,15
1000000,8495,0,23
1000000,8612,0,13
1000000,8670,0,20
1000000,8703,0,17
1000000,8628,0,21
1000000,8543,0,15
1000000,8700,0,19
1000000,8604,0,15
1000000,8635,0,24
1000000,8742,0,22
1000000,8661,0,19
1000000,8639,0,15
1000000,8702,0,16
1000000,8606,0,19
1000000,8721,0,13
1000000,8702,0,13
1000000,8910,0,14
1000000,8772,0,10
1000000,8670,0,25
1000000,8541,0,11
1000000,8576,0,15
1000000,8611,0,24
1000000,8534,0,10
1000000,8757,0,17
1000000,8723,0,15
1000000,8535,0,15
1000000,8570,0,19
1000000,8689,0,17
1000000,8760,0,17
1000000,8626,0,12
1000000,8546,0,22
1000000,8561,0,21
1000000,8594,0,14
1000000,8732,0,21
1000000,8726,0,24
1000000,8714,0,14
